Date,IDBI Bank,Amul India,Interglobe Aviation,Oil India,Tata Motors,Ultratech Cement,ONGC,Reliance Industries,SBI,TCS
2019-02-01,1041,450,1185.05,168,689,276.45,141,1222.37,296.05,2005
2019-03-01,1042,440.95,1115,176,651.7,282.55,149.85,1223.36,270,1990
2019-04-01,1162.5,409.05,1427.2,187,679,296.1,160.8,1355.65,322,2010
2019-05-01,1160.5,400,1512,182,646.85,309.4,169.75,1380.86,308,2260
2019-06-01,1217.25,397,1685.5,180.05,648.5,272,172.55,1322.42,352.05,2207.8
2019-07-01,1225.55,403,1560,177.05,658,278.4,170,1245.15,362.2,2239.65
2019-08-01,1116.5,422,1549,157.75,549.4,238,139.5,1158.77,331,2206
2019-09-01,1112.5,448.5,1695,150,519,214.9,121.2,1228.31,271.9,2259
2019-10-01,1234,445,1880,143.9,553,233,132.65,1322.42,273.8,2099.5
2019-11-01,1240,462.5,1470,172,614,229.45,140.85,1446.14,312.8,2270
2019-12-01,1275,460,1444,154,527.95,266.4,133,1579.97,343.35,2060
2020-01-01,1275,458.5,1335,153,534.4,271,128.65,1501.81,334.5,2170
2020-02-01,1218.25,492,1399.5,129.05,570,249.15,110.7,1393.69,319.9,2080
2020-03-01,1195,500,1332,109.85,456,241.9,94.4,1345.6,310.2,2025.1
2020-04-01,869.9,459,1045,81,284,146.45,67.75,1105.68,195.5,1830
2020-05-01,964,487.9,949,96.2,351.1,173.9,76.3,1428.41,184.7,1960
2020-06-01,970,470.25,968,86.5,440.25,185.75,84.6,1480,164,1995
2020-07-01,1065.7,470.5,1003,93.65,511.05,189.5,78.8,1718,179.7,2085.05
2020-08-01,1030,513.55,978,96.9,613.8,225,78.4,2059,194,2299
2020-09-01,1122,478.25,1192,94.8,610,269.05,82.5,2095,212.15,2265
2020-10-01,1085,515.15,1259,87,612.95,280,67.55,2264,187.7,2509.8
2020-11-01,1195,513,1311.2,85.4,596,310.5,65.15,2033.5,192.45,2665
2020-12-01,1440,505,1514.05,96.5,736.6,353.55,78.5,1935.25,244.8,2680
2021-01-01,1438,533,1715.05,109.5,726,387.3,93.85,1986.15,275,2879
2021-02-01,1400,517,1574,113.9,750.5,356,88.75,1845.2,284.55,3104
2021-03-01,1568.3,503.7,1615,127.95,817,402,114.4,2114.45,395.8,2930
2021-04-01,1502,539,1643,124.8,800.05,471.65,103.25,2019.7,366.65,3190
2021-05-01,1399,539,1601,122.55,748,712,108.15,1963.7,350,3034.7
2021-06-01,1517.2,543,1769.95,133.7,814.5,719,114.3,2164.1,426.4,3170
2021-07-01,1501.6,570.3,1728.95,156.55,785.5,685.5,118,2114.1,420,3359
2021-08-01,1437.8,603.5,1666.9,169.6,751,743.9,115.25,2047.2,435.4,3173.55
2021-09-01,1580,621,1909.9,182,793.05,692,121.7,2275,426.95,3790
2021-10-01,1582,617,2010.05,262,802.7,664,145.8,2506,448.9,3779
2021-11-01,1583,586.1,2175.55,221,890.45,678,150.25,2531.2,507.7,3438
2021-12-01,1490.55,598,1917,214,833,610.85,141.5,2425.5,464.4,3535.15
2022-01-01,1479.8,578.1,2005,200.7,843.5,657.7,142.35,2367.5,461,3744
2022-02-01,1500,544,1868.25,239,894.8,635.4,174.7,2410,545,3780
2022-03-01,1385,561,1850,231,790.95,622,166.5,2349.1,479.7,3560.1
2022-04-01,1474,538.95,2020,232.5,814.65,736.7,164,2641.3,492.3,3746.15
2022-05-01,1363,553.5,1805.6,229,916.8,721,159.5,2755.5,494,3513
2022-06-01,1383.85,519,1850,239.6,1039.8,553,151.7,2632.35,467.8,3385
2022-07-01,1346.5,494.5,1610.05,246.8,1090.1,556,149.05,2580,465,3262
2022-08-01,1435.25,581.05,1880,190.95,1195,635,134.5,2513,528.3,3327.05
2022-09-01,1468,565.95,2005.05,189.9,1282.9,662,134.7,2589.1,522,3189.6
2022-10-01,1410,571.75,1877,182.1,1266,627.3,131.4,2397,528.7,3004.6
2022-11-01,1500,555,1775,192.05,1358.5,667.45,133.5,2582,575.2,3209
2022-12-01,1618,586.55,1945.05,206.9,1315,745,141.15,2736,607.5,3421
2023-01-01,1622.05,562.95,2007,211.9,1250,768.1,147.6,2556.9,615,3265
2023-02-01,1616.25,558.1,2125.95,239.35,1383,720,145.25,2380,562.85,3380
2023-03-01,1606.5,533.05,1865.05,246.05,1279.85,668,151.55,2342.2,523.05,3326.5
2023-04-01,1604.3,546,1909.95,256.4,1162,688.25,153.55,2345.1,524.55,3225
2023-05-01,1688.25,533.15,2016.05,255.55,1226.65,726.2,159.25,2440,578.1,3217
2023-06-01,1622,555,2378,258.55,1319,697.15,154.85,2478,580.35,3310
2023-07-01,1714.9,573.15,2620.05,245,1465.05,786.1,160.1,2553.2,574,3306.7
2023-08-01,1652.6,575.55,2580.05,276.1,1476.3,823,176.45,2547.85,619.15,3408.15
2023-09-01,1570,552.1,2415.05,272.05,1578.95,779.85,174.3,2408,563,3359.05
2023-10-01,1526.55,552.05,2392,295,1585.6,779,189.8,2337,597.6,3531.05
2023-11-01,1465,529.85,2454.3,299.4,1466.15,737,186.1,2289.9,567.05,3354.75
2023-12-01,1559,539,2691.85,306.25,1657.95,807.95,195.35,2381,568.25,3495.1
2024-01-01,1709.65,560,2990.25,372.4,1726.2,879.95,206.45,2581.05,642.7,3792
