Date,Asian_Paints,Axis_Bank,Bajaj_Finance,DRL,ICICI_Bank,Induslnd_Bank,Nestle_India,Reliance_Industries,Sun_Pharma,Titan_Company,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,BSE Index
12/29/2023,3402.1,1102.95,7326.9,5797.9,996.45,1598.05,2659.55,2584.85,1260,3675.95,520.9,22203.8,6566.75,1367.95,5140.15,2967.1,4212.8,17366.05,4024.7,3541.65,72240.26
12/28/2023,3395.15,1108,7257.7,5848.2,1005.4,1610.2,2624.07,2605.8,1262,3716.45,514.25,22102.7,6464.55,1366.55,5149.1,2927,4197.55,17128.3,3959.85,3540.75,72410.38
12/27/2023,3403,1106.55,7235.55,5712.85,1001.75,1596.9,2572.14,2586.35,1251.75,3688.55,517,22008.45,6463.95,1361.55,5154.3,2927.5,4194.5,17484.85,3977.65,3650.65,72038.43
12/26/2023,3382.95,1094.25,7162.95,5637.5,995.1,1571.35,2555.84,2577.5,1246.35,3655.75,505.35,21905.9,6456.1,1361.8,5078.9,2921.1,4158.7,17168.45,4004.35,3608.3,71336.8
12/22/2023,3341.55,1087.85,7295.25,5633.35,993.85,1562.25,2536.37,2564.7,1243.75,3624.25,503.8,21633.95,6478.35,1351.8,5006.5,2871.4,4212.15,17001.25,3955.55,3588.1,71106.96
12/21/2023,3302.6,1095.4,7369.1,5556.9,1003.65,1569.7,2511.66,2562.2,1232.4,3579.5,503.9,21624.25,6521.65,1341.1,5005.1,2882.7,4197,16880.35,3966.95,3565.95,70865.1
12/20/2023,3306.55,1110.3,7489.35,5574.9,1006.25,1556,2509.22,2527.35,1231.65,3553.05,490.45,21494.15,6268.95,1335.6,4997.45,2859.35,4187.1,17052.85,3909.15,3559.75,70506.31
12/19/2023,3335.55,1119.3,7632.45,5637.8,1014.85,1566.15,2548.54,2558.45,1245.5,3612,522.35,21888.6,6366.2,1372.4,5206.85,2984.65,4373.7,17348.1,4019.6,3599.05,71437.19
12/18/2023,3332,1111.85,7586.95,5593.45,1020.6,1557.05,2435.62,2519.95,1251.55,3618.55,525.65,21970.45,6271.55,1345.85,5195.15,2975.55,4375.3,17351.5,4139.25,3664.25,71315.09
12/15/2023,3312,1120.5,7517.6,5592.25,1037.1,1570.95,2435.83,2495.2,1236.4,3600.75,522.4,21708.15,6316.9,1332.4,5220.85,2914.4,4360.75,17478.95,3907.3,3656.55,71483.75
12/14/2023,3242.75,1120.25,7467.45,5570.8,1034.35,1551.65,2479.13,2464.5,1231.5,3591.05,520.25,22061.85,6308.05,1333.65,5152.65,2980.2,4166,17159.1,3918.05,3711.55,70514.2
12/13/2023,3244.35,1115.05,7258.5,5593.8,1014.15,1506.95,2504.55,2433.4,1232.75,3602.4,509.05,21949.6,6290.65,1327.3,4813.65,2981.15,4069.95,17176.65,3934.4,3763.7,69584.6
12/12/23,3223.55,1131.1,7312.15,5540.35,1015.2,1497.5,2496.47,2423.95,1217.7,3568.75,501.35,21734.65,6356.5,1341.6,4788.05,2926.45,4108.8,16992.85,3856.45,3869.3,69551.03
12/11/23,3233.15,1116.85,7292.95,5472.9,1017.05,1521.5,2501.47,2459.05,1241.3,3630.9,504,21889.75,6372.65,1345,4882.95,2925.55,4212.95,17195.5,3886.25,3895.85,69928.53
12/08/23,3233.15,1131.1,7306.85,5763.5,1010.95,1509.15,2478.83,2456.2,1235.5,3634.7,494.35,21626.25,5964.9,1343,4745.65,2897.95,4131.35,17162.1,3827.2,3574.2,69825.6
12/07/23,3251.25,1118,7394.3,5784.05,999.35,1502,2499.75,2457.6,1239.75,3585.65,505.1,21665.95,5988.35,1349.5,4805.65,2878.35,4134.15,17469.2,3832.25,3412.6,69521.69
12/06/23,3252,1120.2,7426.5,5727.95,1002.95,1499.6,2496.18,2460.7,1239.95,3546.8,501.1,21592.55,5980.2,1324.45,4758,2872.15,4111.25,17444.35,3851.95,3334.25,69653.73
12/05/23,3226.2,1132.1,7349.75,5776.15,1013.15,1506.75,2460.55,2437.55,1240.1,3546.3,509.05,21652.95,6031.1,1317.55,4692.7,2836.1,4031.3,17435.05,3843.5,3318.25,69296.14
12/04/23,3194.35,1126.2,7404.8,5749.3,990.6,1514.15,2439.93,2421,1231.45,3487.7,474.55,21944.45,6002.2,1313.7,4596.35,2820.25,4052,17494.15,3807.2,3349,68865.12
12/01/23,3172.7,1103.8,7256.15,5747.4,946.35,1461.15,2434.38,2393.45,1231.25,3488.55,442,22083.55,5951.65,1312.45,4572.9,2744.95,4043.3,17393.15,3753.1,3291.7,67481.19
11/30/2023,3120,1074.65,7124.9,5787.75,935.2,1466.35,2421.72,2376.4,1227.15,3491.95,439.25,21599.55,5510.6,1302.65,4611,2705.35,4011,17239.9,3657.6,3366.3,66988.44
11/29/2023,3149.85,1060.4,7129.75,5715.55,939.35,1483.95,2406.55,2400.5,1200.85,3427.25,435.65,21663.9,5398.5,1288.05,4547.65,2689.55,4022.75,17280.75,3635.75,3453.25,66901.91
11/28/2023,3147.65,1020.4,7126.15,5671.25,926.05,1477.8,2420.89,2394.55,1191.4,3442.05,431.2,21273.6,5290.7,1281.25,4550,2642.45,4025.9,17579.4,3646.5,3421.75,66174.2
11/24/2023,3136.15,1008.15,7021.85,5642.95,929.15,1475.65,2413.39,2394.3,1196.4,3398.6,414.3,21036.25,5277.85,1294.3,4596.9,2568.35,4031.15,17904.5,3628.6,3460.95,65970.04
11/23/2023,3121.9,999.05,7072.25,5643.65,923.05,1486.8,2438.64,2395.15,1198.7,3407,415.6,21207.3,5345.35,1301.45,4617.15,2606.05,4095.05,17900.3,3619.2,3422.45,66017.81
11/22/2023,3132.6,998.2,7125.9,5663.25,922.6,1470.6,2434.49,2387.75,1204.3,3429.65,414.25,20821.3,5412.2,1306,4741.45,2604.35,4082.85,17907.85,3549,3730.35,66023.24
11/21/2023,3132.3,991.7,7104.15,5646.1,926.3,1502.1,2438.51,2378.5,1201.75,3394.15,420.15,20718.15,5461.5,1298.9,4739.05,2625.85,4153.7,17876.5,3589.05,3196.1,65930.77
11/20/2023,3139.6,988.55,7067.3,5604.55,921.45,1504.9,2430.05,2349.3,1187.7,3345.85,421.5,20579.2,5443.9,1275.75,4765.35,2631.25,4195,18211.7,3586.2,3170.25,65655.15
11/17/2023,3167.5,994.5,7219.3,5607.5,922,1498,2437.18,2355.85,1194.55,3338.25,421.1,20651.9,5426.85,1280.75,4805.3,2606.55,4180,18427.55,3570.75,3164.85,65794.73
11/16/2023,3130,1025.6,7365.85,5543.7,935.6,1499.4,2407.66,2363.35,1189.75,3335.4,419.9,20589.15,5426.95,1279.15,4760,2567.2,4139.7,18147.65,3525,3201.95,65982.48
11/15/2023,3115.1,1041.3,7223.95,5419.35,940.6,1494.2,2417.76,2356.9,1180.8,3296.3,418.15,19722.4,5254.25,1262.05,4743.6,2543.35,4051.45,18186.1,3495.5,3186.5,65675.93
11/13/2023,3088.95,1025.2,7359.55,5419.4,934.55,1510,2408.68,2314.3,1177.25,3264.75,419.4,19476.4,5233.8,1250.7,4512.75,2540.7,3998.25,17782,3418,3164.25,64933.87
11/12/23,3099.95,1029.65,7458.05,5451.35,942.3,1503.15,2428.81,2330.9,1178.55,3280,421.45,19593.15,5274.45,1264.4,4511.3,2524.75,4035,17854.1,3425.05,3199.7,65259.45
11/10/23,3075.9,1028.85,7445.6,5426.2,938.35,1498.55,2412.7,2314.3,1179.3,3256.35,418.1,19572.45,5274.9,1257.4,4510.8,2501.75,4019.15,17810.7,3407.35,3195.75,64904.68
