Date,Apollo_Hospitals,Bajaj_Auto,Britannia_Industries,Hero_MotoCorp,Infosys,ITC,LTIMindTree,Maruti_Suzuki,TCS,Wipro,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,NSE Index
12/29/2023,5704.1,6797.25,5338.45,4139.55,1542.9,462.1,6294.95,10302.35,3793.4,471.3,520.9,22203.8,6566.75,1367.95,5140.15,2967.1,4212.8,17366.05,4024.7,3541.65,21731.4
12/28/2023,5760.5,6703.3,5282,4173.25,1562.65,464.1,6253.15,10271.6,3799.9,469.45,514.25,22102.7,6464.55,1366.55,5149.1,2927,4197.55,17128.3,3959.85,3540.75,21778.7
12/27/2023,5687.45,6709.65,5216.8,4064.3,1567.1,457.1,6287.2,10288.5,3811.2,470.95,517,22008.45,6463.95,1361.55,5154.3,2927.5,4194.5,17484.85,3977.65,3650.65,21654.75
12/26/2023,5633.15,6464.55,5235.95,4067.45,1543.95,456.45,6259.7,10270.65,3795.55,470.1,505.35,21905.9,6456.1,1361.8,5078.9,2921.1,4158.7,17168.45,4004.35,3608.3,21441.35
12/22/2023,5541.4,6372.1,5161.1,3935.7,1562.9,455.2,6229.1,10217.15,3824,462.65,503.8,21633.95,6478.35,1351.8,5006.5,2871.4,4212.15,17001.25,3955.55,3588.1,21349.4
12/21/2023,5475.85,6246.35,5059.6,3850.15,1536,451.45,6111.05,10012.85,3787.5,434,503.9,21624.25,6521.65,1341.1,5005.1,2882.7,4197,16880.35,3966.95,3565.95,21255.05
12/20/2023,5402.2,6364.45,4954.95,3815.5,1536.4,451,6032.5,10081.25,3780.05,431.95,490.45,21494.15,6268.95,1335.6,4997.45,2859.35,4187.1,17052.85,3909.15,3559.75,21150.15
12/19/2023,5555.5,6419,4911.25,3821.85,1558.3,456.1,6112.75,10233.6,3816.2,438.7,522.35,21888.6,6366.2,1372.4,5206.85,2984.65,4373.7,17348.1,4019.6,3599.05,21453.1
12/18/2023,5498.65,6465.7,4879.5,3889.75,1564.35,451.65,6139.2,10319.6,3859.2,445.25,525.65,21970.45,6271.55,1345.85,5195.15,2975.55,4375.3,17351.5,4139.25,3664.25,21418.65
12/15/2023,5551.2,6275.2,4913.9,3896.55,1578.4,458.2,6129.3,10286.4,3861,446.55,522.4,21708.15,6316.9,1332.4,5220.85,2914.4,4360.75,17478.95,3907.3,3656.55,21456.65
12/14/2023,5515.9,6334.85,4946.65,3883.65,1501.45,460.1,5944.3,10353.2,3667.25,434.4,520.25,22061.85,6308.05,1333.65,5152.65,2980.2,4166,17159.1,3918.05,3711.55,21182.7
12/13/2023,5426.75,6316.1,4919.3,3863.3,1449,455.65,5727.5,10380.05,3593.55,419.65,509.05,21949.6,6290.65,1327.3,4813.65,2981.15,4069.95,17176.65,3934.4,3763.7,20926.35
12/12/23,5428.95,6254.2,4903.05,3747.15,1476.05,453.1,5758,10338.4,3672.1,422.2,501.35,21734.65,6356.5,1341.6,4788.05,2926.45,4108.8,16992.85,3856.45,3869.3,20906.4
12/11/23,5547.35,6138.4,4944.15,3704.65,1488.5,452.45,5770.65,10541.75,3642.9,420.6,504,21889.75,6372.65,1345,4882.95,2925.55,4212.95,17195.5,3886.25,3895.85,20997.1
12/08/23,5555.35,6075.7,4942.2,3715.75,1491.15,449.15,5708.7,10618.55,3626.7,422.6,494.35,21626.25,5964.9,1343,4745.65,2897.95,4131.35,17162.1,3827.2,3574.2,20969.4
12/07/23,5461.4,6093.6,5016,3772.65,1465.9,458.1,5567.2,10696.65,3614.9,418.25,505.1,21665.95,5988.35,1349.5,4805.65,2878.35,4134.15,17469.2,3832.25,3412.6,20901.15
12/06/23,5543.1,6069.95,5003.15,3761.05,1474.3,463.25,5639.85,10625.75,3604.1,418.75,501.1,21592.55,5980.2,1324.45,4758,2872.15,4111.25,17444.35,3851.95,3334.25,20937.7
12/05/23,5580.2,6140.1,4948.4,3806.75,1453.95,451.75,5487.65,10721.9,3531.6,404.35,509.05,21652.95,6031.1,1317.55,4692.7,2836.1,4031.3,17435.05,3843.5,3318.25,20855.1
12/04/23,5622.55,6201.7,4937.75,3797.1,1464.35,454.05,5577.4,10599.45,3512.45,407.45,474.55,21944.45,6002.2,1313.7,4596.35,2820.25,4052,17494.15,3807.2,3349,20686.8
12/01/23,5591.15,6046.05,4970.75,3760,1452.3,449.8,5577.05,10585.7,3511.65,407.65,442,22083.55,5951.65,1312.45,4572.9,2744.95,4043.3,17393.15,3753.1,3291.7,20267.9
11/30/2023,5528.95,6090.55,4852.65,3819.05,1455.15,435.8,5536.7,10608.7,3487.6,413.05,439.25,21599.55,5510.6,1302.65,4611,2705.35,4011,17239.9,3657.6,3366.3,20133.15
11/29/2023,5421.95,6069.95,4803.65,3746.9,1459.6,437.2,5588.5,10599.25,3513.75,406.25,435.65,21663.9,5398.5,1288.05,4547.65,2689.55,4022.75,17280.75,3635.75,3453.25,20096.6
11/28/2023,5366.8,5998.15,4713.45,3622,1442.7,435.25,5479.25,10537.55,3470.15,396.85,431.2,21273.6,5290.7,1281.25,4550,2642.45,4025.9,17579.4,3646.5,3421.75,19889.7
11/24/2023,5401.3,5930.3,4644.15,3548.6,1437.4,437.8,5472.6,10515.65,3457.1,396,414.3,21036.25,5277.85,1294.3,4596.9,2568.35,4031.15,17904.5,3628.6,3460.95,19794.7
11/23/2023,5493.95,5925.25,4705.8,3568,1449.25,440.35,5471.35,10488.5,3508.25,402.5,415.6,21207.3,5345.35,1301.45,4617.15,2606.05,4095.05,17900.3,3619.2,3422.45,19802
11/22/2023,5532,5751.55,4694.2,3413.6,1457.8,439.7,5553.65,10494.55,3530.15,400.25,414.25,20821.3,5412.2,1306,4741.45,2604.35,4082.85,17907.85,3549,3730.35,19811.85
11/21/2023,5466.8,5685.95,4699.75,3376.5,1439,436.25,5520.25,10535.15,3510.2,400.65,420.15,20718.15,5461.5,1298.9,4739.05,2625.85,4153.7,17876.5,3589.05,3196.1,19783.4
11/20/2023,5473.95,5650.15,4712,3346.35,1436.6,436.8,5556.1,10566.25,3519.6,400.2,421.5,20579.2,5443.9,1275.75,4765.35,2631.25,4195,18211.7,3586.2,3170.25,19694
11/17/2023,5478.95,5631.5,4718.3,3334.75,1437.55,439.25,5518.5,10523.5,3502.45,395.4,421.1,20651.9,5426.85,1280.75,4805.3,2606.55,4180,18427.55,3570.75,3164.85,19731.8
11/16/2023,5338.75,5550.9,4702.1,3280.05,1444.9,438.65,5519.5,10484.5,3497.85,397.1,419.9,20589.15,5426.95,1279.15,4760,2567.2,4139.7,18147.65,3525,3201.95,19765.2
11/15/2023,5224.95,5536.7,4710.8,3177.85,1410.5,441.95,5401.65,10456.05,3404.3,391.65,418.15,19722.4,5254.25,1262.05,4743.6,2543.35,4051.45,18186.1,3495.5,3186.5,19675.45
11/13/2023,5220.65,5425.2,4696.35,3118.8,1373.55,436,5261.1,10398.4,3331.55,381.65,419.4,19476.4,5233.8,1250.7,4512.75,2540.7,3998.25,17782,3418,3164.25,19443.55
11/12/23,5275.55,5442.55,4676.6,3113.85,1388.2,438.45,5259,10431.4,3358.9,382.45,421.45,19593.15,5274.45,1264.4,4511.3,2524.75,4035,17854.1,3425.05,3199.7,19525.55
11/10/23,5278.5,5392.05,4681.95,3105.2,1368.85,436.55,5262.15,10388.8,3333.45,379.3,418.1,19572.45,5274.9,1257.4,4510.8,2501.75,4019.15,17810.7,3407.35,3195.75,19425.35
11/09/23,5297.6,5418.9,4652.1,3173.9,1374.8,434.4,5254.7,10400.35,3347.45,380.85,418.3,19535,5305.85,1253.15,4569.1,2580.4,4060.55,17223.95,3389.35,3152.05,19395.3
11/08/23,5110.95,5397.6,4670.6,3132.1,1391,436.95,5233.4,10322.3,3381.55,382.2,421,19646.95,5357.3,1252.05,4505.8,2577.35,4080.25,17570.05,3423.9,3252.3,19443.5
11/07/23,5136.85,5419,4655.2,3130.25,1404.3,432.7,5186.95,10253.3,3370.45,383.3,419.55,19757.7,5253.05,1253,4340.05,2585.55,3960.95,17508.4,3347.6,3207.45,19406.7
11/06/23,5164.95,5406.85,4623.6,3166.9,1403.3,435.35,5149.65,10284.85,3380.25,384.65,421.25,19565.1,5266.25,1262.5,4311.55,2559.3,3981.6,17656.2,3367.2,3141.15,19411.75
11/03/23,5153.2,5368.95,4539.55,3089.4,1389.05,433.25,5134.95,10276.3,3350.9,383.55,420.9,19519.5,5274.2,1271,4250.35,2509.2,3933.9,17538.1,3367.55,3199.35,19230.6
11/02/23,4887,5318.4,4527.25,3052.1,1370.15,431.15,5020.05,10303.6,3360.1,383.65,419.7,19454.05,5330,1266,4139.15,2490.9,3909.2,17824.55,3370.9,3138.2,19133.25
11/01/23,4796.55,5344.35,4397.3,3092.45,1354.15,428.1,4998.7,10227.75,3330.65,380.95,406.65,19358.4,5181.3,1240.75,4096.65,2418.8,3916.05,17816.1,3325.65,3105.25,18989.15
10/31/2023,4819.9,5314.05,4426.5,3088.35,1368.4,428.4,5060.4,10392.3,3368.75,381.8,424.45,19450.95,5101.6,1246.15,4084.25,2453.85,3877.65,17540.7,3330.95,3150.2,19079.6
10/30/2023,4841.75,5308.9,4461.6,3110.35,1377.05,430.45,5149.2,10397.7,3378.55,382,421.95,19478.1,5103.85,1269.05,4078.45,2495.05,3885.3,16681.8,3430.6,3060.9,19140.9
10/27/2023,4830.2,5373.55,4514.3,3112.2,1380.35,433.75,5171,10560.7,3350.95,382.35,417.25,19742.65,5374.75,1259.9,4081.5,2471.25,3932.55,17000.5,3427,3063.4,19047.25
10/26/2023,4760.3,5259.35,4507.8,3111.95,1359.45,434.35,5170.5,10424.15,3336.75,378.25,416.3,19648.35,5340.95,1266.9,4048.85,2412.2,3902.6,16859.65,3406.75,2923.2,18857.25
10/25/2023,4859.9,5347.3,4533.75,3140.85,1370.05,432.7,5204.05,10588.85,3390.1,381.85,417.95,19696,5445.6,1267.15,4080.65,2428.95,3959.55,17181.75,3432.85,2947.85,19122.15
10/23/2023,4969.55,5405.4,4530.6,3149.85,1408.65,435.9,5201.75,10553.65,3410.15,383.15,415.95,19825.6,5418,1284.8,4072.75,2390.95,3933.9,16906.05,3414.75,2907.15,19281.75
10/20/2023,4977.55,5489.3,4580,3211.25,1427.25,438.3,5416.2,10725.65,3494.55,391.85,430.85,20088.7,5520.9,1292.95,4203,2439.05,3926.8,17140.6,3441.8,3026.15,19542.65
10/19/2023,4997.05,5482.6,4602.45,3265.85,1433.65,450.4,5457.8,10771.7,3455.65,395.3,437.45,20232.25,5501.8,1362.7,4178.95,2527.5,4011.45,17364,3463.75,2961.5,19624.7
10/18/2023,4977.25,5137.35,4607.7,3153.15,1440.55,451.65,5155.2,10788.45,3487.25,407.45,433,20121.1,5475.3,1340.35,4204.5,2571.55,4132.1,17274.55,3492.35,2993.8,19671.1
10/17/2023,5028.8,5141.25,4600.35,3172.95,1442.45,453.45,5213.75,10750.8,3507.05,411.4,442.65,20335.3,5474.35,1384.05,4127.55,2599.35,4170.5,17346.85,3593.05,2991.7,19811.5
10/16/2023,5021.7,5076.7,4586.05,3161,1434.15,448.95,5162.45,10704.5,3524.05,410.2,443.25,20674.05,5388.85,1414.25,4125.25,2593.55,4106.5,17598.7,3602.05,3010.85,19731.75
10/13/2023,5017.3,5052.4,4574.7,3098.45,1431.15,448.35,5095.15,10727.55,3570.85,411.05,439.9,20529.45,5339.95,1391,4137.3,2607.5,4100.15,17639,3592.2,2966.7,19751.05
10/12/23,4993.85,5106.6,4560.75,3088.25,1465.5,450.7,5154.75,10580.9,3542.55,417.1,445.6,20455.7,5290.3,1388.1,4239.9,2582.1,4099.2,17683.9,3601,2916.45,19794
10/11/23,5092.85,5064.4,4554.95,3100.85,1494.4,448.25,5244.45,10412.1,3609.9,421.15,445.1,19698.1,5254.7,1390.95,4265.3,2533.15,4161.9,17761.3,3558.5,2924.3,19811.35
10/10/23,5066.7,5037.5,4529.95,2976.8,1495.15,444.4,5266.35,10375,3628.9,407.75,437.2,19717.75,5170.45,1399.4,4234.35,2510.3,4161.6,17769.35,3591.05,2938.2,19689.85
10/09/23,5047.3,5007.3,4522.5,2955.1,1475.45,440.45,5206.45,10244.8,3638.35,405.6,430.2,19256.65,5104.65,1384.55,4213.6,2473.5,4093.25,17599.45,3541.95,2932,19512.35
10/06/23,5060.25,5014.6,4538.45,3038,1478.7,442.15,5239.2,10302.05,3621.4,407.85,435.7,19303.95,5128.75,1399.45,4212.9,2535.5,4102.2,17891.7,3533,2974.9,19653.5
10/05/23,5047.05,5011.05,4533.9,3016.65,1463.45,436.05,5226.25,10210.15,3589.35,406.8,432.85,18930.45,5148.1,1411.35,4209.05,2473.4,4017.4,17819.9,3519.7,3005.9,19545.75
10/04/23,5047.4,4918.6,4532.5,2989.05,1444.35,436.1,5186.2,10129.85,3537.75,404.9,429.65,18742.35,5216.45,1393.6,4058.65,2385,4041.85,17773.15,3501.4,3005.6,19436.1
10/03/23,5118.95,5016.45,4495.45,3015.6,1434,439.75,5212.75,10346.9,3513.85,405.45,432.2,18762.85,5297.45,1387.7,4114.5,2419.75,4087.15,17786.65,3569.65,3012.1,19528.75
09/29/2023,5137.75,5063.7,4537.15,3057.25,1435.45,444.4,5209.85,10610.6,3528.6,406.05,424.8,19019.7,5289.25,1388.95,4165.3,2381.2,4110.85,17952.45,3672.5,2988.3,19638.3
09/28/2023,5020.1,5006.6,4524.55,2970,1439.45,440.75,5264.9,10565.35,3536.75,405.35,419.9,19319.75,5218.35,1375.15,4177,2342.35,4067.3,17717.7,3626.55,3103.8,19523.55
09/27/2023,5105.35,5032.95,4627.35,3006.35,1467,449.15,5436.9,10680.75,3589.3,415.65,430.45,19218.55,5285.35,1406.65,4239.15,2388.15,4166.5,18367.6,3725.55,3099.4,19716.45
09/26/2023,5053.7,5069.2,4600.15,3034.35,1460.65,442.45,5363.05,10556.65,3585.7,412.9,429.75,19143.6,5098.15,1399.8,4238.45,2404.45,4132.45,17715.7,3680.3,3181.3,19664.7
09/25/2023,5097.05,5005.45,4570.05,2974.7,1474.15,442.6,5377.1,10588.2,3577.15,414.1,422.9,19105.55,4889.55,1396.8,4260.65,2378.8,4133.25,17562.8,3694.6,3207.45,19674.55
09/22/2023,4989.55,5001.05,4564.65,3022.7,1496.15,443.1,5427.5,10535.15,3603.65,418.5,420.95,19119.25,4808.4,1392.6,4300.35,2355.55,4195.3,17677.7,3689.05,3200.3,19674.25
09/21/2023,5020.05,5085.2,4558.55,3000.95,1501.75,447.5,5394.15,10284.3,3585.3,428.95,426.1,19187.85,4849.45,1413.35,4439.95,2387.15,4254.4,17163.35,3740,3284,19742.35
09/20/2023,5006.3,5182.95,4527.4,3061.85,1490.25,452.95,5473.45,10346.75,3606.05,430.1,428.15,19315.4,4877.55,1413.2,4464.9,2401.9,4220.85,17497.15,3774.1,3361.5,19901.4
09/18/2023,5075.15,5176.65,4596.2,3114.65,1491.8,452.05,5513.75,10522.1,3606.15,436.1,436.65,19586.7,4920.3,1425.9,4490.9,2400.55,4253.85,17480.65,3778.75,3346,20133.3
09/15/2023,5091.8,5130.5,4532.85,3064.85,1511.6,448.35,5532.8,10525.25,3598.3,441.05,445.05,19664.6,5059,1431.05,4484.6,2391.45,4298.95,17452.15,3810.85,3319.1,20192.35
09/14/2023,5084.55,4844.5,4574.35,2998.4,1506.95,449.95,5498.6,10488.15,3560.05,436.45,445.2,19489.75,5078.1,1391.9,4430.35,2464.65,4272.7,17230.85,3828.15,3376.6,20103.1
