Date,Price,Open,High,Low,Vol.,Change %
12/29/2023,72240.26,72351.81,72375.33,72085.02,19.83K,-0.23%
12/28/2023,72410.38,72269.55,72484.21,72139.77,7.76K,0.52%
12/27/2023,72038.43,71479.67,72119.00,71479.67,9.81K,0.98%
12/26/2023,71336.80,71098.86,71469.45,71012.08,7.74K,0.32%
12/22/2023,71106.96,71045.65,71259.55,70713.56,15.30M,0.34%
12/21/2023,70865.10,69917.68,70952.12,69917.68,8.77K,0.51%
12/20/2023,70506.31,71634.17,71910.14,70305.45,13.18K,-1.30%
12/19/2023,71437.19,71479.08,71622.91,71073.58,8.58K,0.17%
12/18/2023,71315.09,71437.35,71550.06,71146.14,12.46K,-0.24%
12/15/2023,71483.75,70807.07,71595.92,70657.65,25.05K,1.37%
12/14/2023,70514.20,70145.00,70602.11,70145.00,12.25K,1.34%
12/13/2023,69584.60,69648.56,69657.93,69100.56,7.05M,0.05%
12/12/23,69551.03,70020.68,70033.63,69446.26,7.00K,-0.54%
12/11/23,69928.53,69925.63,70057.83,69782.48,12.45M,0.15%
12/08/23,69825.60,69665.60,69890.34,69506.22,18.17K,0.44%
12/07/23,69521.69,69700.30,69700.30,69320.53,26.03K,-0.19%
12/06/23,69653.73,69532.11,69744.57,69398.33,10.36K,0.52%
12/05/23,69296.14,69168.53,69378.29,68961.88,9.62K,0.63%
12/04/23,68865.12,68435.34,68903.45,68282.01,30.87K,2.05%
12/01/23,67481.19,67181.15,67564.33,67149.07,21.68M,0.74%
11/30/2023,66988.44,66965.74,67067.04,66617.17,11.07K,0.13%
11/29/2023,66901.91,66380.80,66935.23,66377.35,8.33K,1.10%
11/28/2023,66174.20,66064.05,66255.33,65906.65,5.08K,0.31%
11/24/2023,65970.04,66000.29,66099.79,65894.68,10.84K,-0.07%
11/23/2023,66017.81,66083.28,66235.24,65981.81,7.52K,-0.01%
11/22/2023,66023.24,65955.09,66060.19,65665.01,4.29K,0.14%
11/21/2023,65930.77,65882.74,66081.91,65850.29,5.41K,0.42%
11/20/2023,65655.15,65787.51,65844.01,65547.80,7.15M,-0.21%
11/17/2023,65794.73,65772.66,66037.34,65650.46,10.89K,-0.28%
11/16/2023,65982.48,65629.50,66355.06,65512.54,11.56K,0.47%
11/15/2023,65675.93,65461.54,65747.65,65373.50,7.53M,1.14%
11/13/2023,64933.87,65158.31,65158.31,64854.12,7.70K,-0.50%
11/12/23,65259.45,65418.98,65418.98,65218.60,1.67M,0.55%
11/10/23,64904.68,64756.11,65011.44,64593.66,11.14K,0.11%
11/09/23,64832.20,65025.32,65044.77,64771.99,11.57K,-0.22%
11/08/23,64975.61,65101.95,65101.95,64852.01,6.37K,0.05%
11/07/23,64942.40,65020.60,65021.29,64638.24,7.70K,-0.03%
11/06/23,64958.69,64848.15,64991.88,64617.86,8.13K,0.92%
11/03/23,64363.78,64443.38,64534.02,64280.28,16.08K,0.44%
11/02/23,64080.90,64040.10,64201.93,63815.72,6.38K,0.77%
11/01/23,63591.33,63831.55,63881.42,63553.61,6.15K,-0.44%
10/31/2023,63874.93,64449.65,64449.65,63812.60,14.99K,-0.37%
10/30/2023,64112.65,63885.68,64183.62,63434.00,5.60K,0.52%
10/27/2023,63782.80,63559.32,63912.93,63396.12,12.61K,1.01%
10/26/2023,63148.15,63775.04,63775.04,63117.06,12.87K,-1.41%
10/25/2023,64049.06,64605.68,64786.61,63913.03,7.08K,-0.81%
10/23/2023,64571.88,65421.90,65447.97,64504.79,6.80K,-1.26%
10/20/2023,65397.62,65437.07,65555.14,65308.61,14.32M,-0.35%
10/19/2023,65629.24,65484.84,65828.06,65348.67,10.96K,-0.38%
10/18/2023,65877.02,66476.58,66476.58,65847.46,7.08K,-0.83%
10/17/2023,66428.09,66567.19,66567.19,66309.18,7.93K,0.39%
10/16/2023,66166.93,66246.37,66342.59,66047.36,6.56K,-0.17%
10/13/2023,66282.74,66034.21,66478.90,65895.41,13.40M,-0.19%
10/12/23,66408.39,66564.57,66577.60,66339.42,7.13M,-0.10%
10/11/23,66473.05,66381.24,66591.89,66311.31,16.76K,0.60%
10/10/23,66079.36,65661.70,66179.14,65661.70,5.15K,0.87%
10/09/23,65512.39,65560.07,65789.98,65434.61,7.27M,-0.73%
10/06/23,65995.63,65867.54,66095.81,65762.33,10.18M,0.55%
10/05/23,65631.57,65597.62,65751.97,65443.34,8.03K,0.62%
10/04/23,65226.04,65330.48,65330.65,64880.66,8.64K,-0.44%
10/03/23,65512.10,65826.35,65826.35,65344.74,8.65K,-0.48%
09/29/2023,65828.41,65743.93,66151.65,65570.38,8.43M,0.49%
09/28/2023,65508.32,66404.82,66406.01,65423.39,7.82K,-0.92%
09/27/2023,66118.69,65929.45,66172.20,65552.45,5.39K,0.26%
09/26/2023,65945.47,66074.04,66075.52,65865.67,6.50K,-0.12%
09/25/2023,66023.69,66084.95,66223.94,65771.99,6.80K,0.02%
09/22/2023,66009.15,66215.04,66445.47,65952.83,8.29M,-0.33%
09/21/2023,66230.24,66608.67,66608.67,66128.71,8.40K,-0.85%
09/20/2023,66800.84,67196.58,67289.57,66753.19,13.36K,-1.18%
09/18/2023,67596.84,67665.58,67801.43,67540.89,10.33K,-0.36%
09/15/2023,67838.63,67658.59,67925.56,67615.02,6.79K,0.47%
09/14/2023,67519.00,67627.03,67771.05,67336.46,8.09M,0.08%
09/13/2023,67466.99,67188.64,67562.63,67060.13,6.18K,0.37%
09/12/23,67221.13,67506.88,67539.10,66948.18,8.75M,0.14%
09/11/23,67127.08,66807.73,67172.13,66735.84,9.25M,0.79%
09/08/23,66598.91,66381.10,66766.88,66299.46,11.46K,0.50%
09/07/23,66265.56,65855.04,66293.44,65672.44,6.19K,0.58%
09/06/23,65880.52,65746.63,65970.57,65488.18,6.14K,0.15%
09/05/23,65780.26,65671.60,65815.98,65601.47,6.58K,0.23%
09/04/23,65628.14,65525.47,65682.39,65285.56,13.75K,0.37%
09/01/23,65387.16,64855.51,65472.46,64825.05,21.62K,0.86%
08/31/2023,64831.41,65177.51,65262.16,64726.88,48.56K,-0.39%
08/30/2023,65087.25,65311.58,65452.06,65054.80,17.71K,0.02%
08/29/2023,65075.82,65204.77,65204.77,64956.67,48.52K,0.12%
08/28/2023,64996.60,64905.52,65208.28,64820.44,20.80K,0.17%
