Date,Price,Open,High,Low,,
12/29/2023,3402.1,3400.15,3422,3383.8,,
12/28/2023,3395.15,3403,3418,3373.3,,
12/27/2023,3403,3384.45,3412.4,3354.55,,
12/26/2023,3382.95,3346.5,3391,3344.05,,
12/22/2023,3341.55,3306.55,3351,3287.8,,
12/21/2023,3302.6,3260.8,3319.55,3260.8,,
12/20/2023,3306.55,3325.35,3359.65,3282.05,,
12/19/2023,3335.55,3335,3353.15,3300.55,,
12/18/2023,3332,3314,3335,3296.4,,
12/15/2023,3312,3243.05,3326,3242.75,,
12/14/2023,3242.75,3251.65,3254.95,3217.3,,
12/13/2023,3244.35,3236.65,3246,3190,,
12/12/23,3223.55,3226.65,3257.7,3208.4,,
12/11/23,3233.15,3233,3245,3185.2,,
12/08/23,3233.15,3275.8,3275.8,3227.1,,
12/07/23,3251.25,3297.95,3300.5,3246.6,,
12/06/23,3252,3255.05,3289,3234,,
12/05/23,3226.2,3194.55,3248.05,3178.65,,
12/04/23,3194.35,3190,3204.5,3166.45,,
12/01/23,3172.7,3141,3190,3139.15,,
11/30/2023,3120,3145.05,3149.85,3112.5,,
11/29/2023,3149.85,3140.05,3170,3140.05,,
11/28/2023,3147.65,3140.45,3159.6,3134.6,,
11/24/2023,3136.15,3130,3139.4,3111.85,,
11/23/2023,3121.9,3150,3170.85,3116.5,,
11/22/2023,3132.6,3135,3156,3121.45,,
11/21/2023,3132.3,3141.05,3147.95,3127.95,,
11/20/2023,3139.6,3168,3170,3133.05,,
11/17/2023,3167.5,3145.05,3228,3145.05,,
11/16/2023,3130,3116.4,3140.3,3098.35,,
11/15/2023,3115.1,3081.05,3118,3078.2,,
11/13/2023,3088.95,3099.5,3099.5,3066,,
11/12/23,3099.95,3100,3100,3093.7,,
11/10/23,3075.9,3079.95,3087.55,3041.05,,
11/09/23,3080.15,3106,3110.2,3073,,
11/08/23,3092.9,3050.05,3098.8,3045,,
11/07/23,3033.5,3039.95,3040,3003,,
11/06/23,3027.9,3013.95,3033,2985.4,,
11/03/23,2977.85,2960,2983.1,2943,,
11/02/23,2955.7,2964.1,2964.1,2934.35,,
11/01/23,2935.35,2999,3004.95,2930.05,,
10/31/2023,2996.35,2987.95,3013,2965.1,,
10/30/2023,2967.45,2979.55,2991.1,2940,,
10/27/2023,2954.3,2950,2975,2932,,
10/26/2023,2958.4,3059.95,3060,2941.25,,
10/25/2023,3061.1,3090.3,3107,3052.75,,
10/23/2023,3071.4,3104.95,3108.05,3063,,
10/20/2023,3105.35,3094.6,3116.1,3066.05,,
10/19/2023,3100.35,3093.05,3111.65,3076.55,,
10/18/2023,3096.05,3110,3116,3091,,
10/17/2023,3112.15,3130.05,3135.05,3092.7,,
10/16/2023,3112.6,3134.95,3134.95,3097.9,,
10/13/2023,3148.75,3150,3171.65,3128.1,,
10/12/23,3159.35,3195.5,3195.5,3150.45,,
10/11/23,3163.55,3169.95,3185,3155,,
10/10/23,3151.65,3149,3163.55,3140.9,,
10/09/23,3153.25,3147.25,3163,3134.2,,
10/06/23,3193.65,3222.45,3222.45,3186.8,,
10/05/23,3205.4,3208,3232.85,3175,,
10/04/23,3169.55,3169.95,3188.6,3153.15,,
10/03/23,3166.6,3169.95,3226,3161.4,,
09/29/2023,3161.35,3209.95,3209.95,3134.4,,
09/28/2023,3169.6,3298.95,3298.95,3155.6,,
09/27/2023,3300.7,3262.9,3307,3262.9,,
09/26/2023,3293.85,3323.4,3323.4,3260.1,,
09/25/2023,3323.3,3277.05,3333.5,3270.25,,
09/22/2023,3276.05,3220.05,3283.95,3220.05,,
09/21/2023,3242.35,3206.65,3259.8,3182,,
09/20/2023,3215.55,3205,3227.7,3195.05,,
09/18/2023,3205.45,3196.6,3229.05,3190,,
09/15/2023,3196.6,3240,3240,3185,,
09/14/2023,3239.4,3287.95,3291.15,3223.9,,
09/13/2023,3276.55,3247.6,3283.8,3225.5,,
09/12/23,3257.05,3257.45,3280,3242.95,,
09/11/23,3259.15,3233.05,3265,3233.05,,
09/08/23,3236.65,3246.05,3262.4,3233.05,,
09/07/23,3244.75,3213.9,3252,3203,,
09/06/23,3223.85,3212,3230,3192.75,,
09/05/23,3223.7,3235.6,3249.5,3217.5,,
09/04/23,3235.2,3259.55,3265,3216.3,,
09/01/23,3259.95,3240,3263.8,3217.35,,
08/31/2023,3250.65,3308.95,3308.95,3227.6,,
08/30/2023,3294.3,3304.75,3304.75,3276.05,,
08/29/2023,3285.05,3250.05,3288,3250.05,,
08/28/2023,3260.45,3260.05,3271,3231.05,,
08/25/2023,3259.95,3244.95,3264.25,3216.35,,
08/24/2023,3226.25,3180.15,3234,3172,,
08/23/2023,3168.7,3180.5,3196.3,3165.05,,
08/22/2023,3180.15,3194.65,3194.85,3171.5,,
08/21/2023,3182.05,3161.5,3187,3154,,
08/18/2023,3161.45,3178,3185.5,3157,,
08/17/2023,3182.85,3220,3223,3162.5,,
08/16/2023,3193.8,3195,3207.85,3177,,
08/14/2023,3199.8,3185.2,3209.95,3152,,
08/11/23,3185.2,3230.05,3248.95,3178.75,,
08/10/23,3234.25,3315,3318.6,3228,,
08/09/23,3330.4,3330,3356.6,3302.45,,
08/08/23,3346.25,3342,3359,3333,,
08/07/23,3341.7,3321.3,3349.65,3320.15,,
08/04/23,3339.9,3335,3372.8,3305,,
08/03/23,3335.55,3365.05,3371.1,3317.7,,
08/02/23,3363.25,3335.05,3371.95,3330.65,,
08/01/23,3341.85,3374.95,3384.45,3337.9,,
07/31/2023,3374.95,3350,3386.1,3330,,
07/28/2023,3390.1,3370.95,3396.6,3364.8,,
07/27/2023,3370.95,3380.05,3413.4,3352.3,,
07/26/2023,3371.85,3400.1,3414.45,3365,,
07/25/2023,3400.1,3554.75,3554.75,3351,,
07/24/2023,3542.1,3500.05,3566.9,3500,,
07/21/2023,3516.85,3523.75,3537.6,3505.5,,
07/20/2023,3523.7,3501.05,3534.3,3494.9,,
07/19/2023,3516.8,3513.5,3529,3481.45,,
07/18/2023,3512.75,3450.05,3521.05,3450.05,,
07/17/2023,3460.65,3422.1,3472.9,3422.1,,
07/14/2023,3429.55,3398.6,3435,3386.55,,
07/13/2023,3398.6,3416.5,3421.15,3385,,
07/12/23,3407.2,3400.65,3413.85,3363,,
07/11/23,3392.1,3345.15,3399,3345.15,,
07/10/23,3342.35,3344.05,3370,3292.85,,
07/07/23,3344.05,3375,3412.25,3337.55,,
07/06/23,3395.9,3400.1,3407.45,3367.75,,
07/05/23,3374.15,3343.05,3400,3343.05,,
07/04/23,3347.9,3358.3,3386.55,3331.2,,
07/03/23,3358.3,3362.6,3374.15,3337.95,,
06/30/2023,3361.7,3347.2,3449.75,3345,,
06/28/2023,3347.15,3330,3355,3324.15,,
06/27/2023,3325.3,3280.05,3343.05,3278.2,,
06/26/2023,3308.35,3290.75,3314.95,3272,,
06/23/2023,3297.7,3250.15,3303,3250.15,,
06/22/2023,3247.95,3330,3330,3241.7,,
06/21/2023,3314.55,3306.05,3331.4,3300,,
06/20/2023,3318.4,3309.9,3326.45,3276.3,,
06/19/2023,3309.85,3310,3344.7,3304.5,,
06/16/2023,3315.2,3237.85,3323.2,3237.85,,
06/15/2023,3294,3272.3,3303.2,3272.3,,
06/14/2023,3269.15,3260.05,3288.95,3253.3,,
06/13/2023,3262.2,3202,3272.35,3202,,
06/12/23,3193.45,3180,3202.5,3152.3,,
06/09/23,3180.4,3212,3238,3168.25,,
06/08/23,3210.75,3223.85,3245.2,3192.3,,
06/07/23,3223.85,3214,3228.45,3208.05,,
06/06/23,3212.2,3199.1,3238.3,3195.85,,
06/05/23,3199.05,3235.2,3237,3195.95,,
06/02/23,3235.15,3240,3250,3217.4,,
06/01/23,3240.45,3226,3249,3206.45,,
05/31/2023,3198.2,3145,3218.35,3139.4,,
05/30/2023,3143.5,3139.1,3154.7,3128.9,,
05/29/2023,3136.3,3150,3153.8,3115.65,,
05/26/2023,3127.2,3117.05,3136.15,3112,,
05/25/2023,3122.3,3100,3128,3086,,
05/24/2023,3102,3120,3133.15,3098,,
05/23/2023,3118.3,3082.15,3127.8,3082.15,,
05/22/2023,3085.3,3061.55,3105,3046.4,,
05/19/2023,3083.95,3109,3128.35,3068.15,,
05/18/2023,3108.7,3099.9,3124.35,3093,,
05/17/2023,3093,3130,3143.7,3075,,
05/16/2023,3138.1,3149.9,3165,3124,,
05/15/2023,3131.5,3120.05,3167.6,3120.05,,
05/12/23,3131.3,3139,3179,3088,,
05/11/23,3138.6,3057.95,3155,3031.2,,
05/10/23,3040.65,3048.95,3056.95,3017.7,,
05/09/23,3035.4,3005.05,3074,3005.05,,
05/08/23,3018.7,3015,3034.9,2992.55,,
05/05/23,3011.9,2965,3024.2,2950.7,,
05/04/23,2982.55,2957.95,2986.9,2923,,
05/03/23,2929.35,2910.6,2962.8,2899,,
05/02/23,2899,2902.05,2934.45,2892.7,,
04/28/2023,2901.3,2914.9,2914.9,2847.7,,
04/27/2023,2898.45,2912,2932.6,2894,,
04/26/2023,2909.25,2878.7,2916,2878.7,,
04/25/2023,2897.6,2896,2901.65,2864.6,,
04/24/2023,2890.1,2880,2896,2854,,
04/21/2023,2880.05,2844.5,2886,2844.5,,
04/20/2023,2843.85,2815,2851.15,2814.35,,
04/19/2023,2809,2854.7,2855,2801.25,,
04/18/2023,2857.6,2842.5,2860,2831.5,,
04/17/2023,2842.5,2812,2845,2807.3,,
04/13/2023,2808.3,2781.05,2812.6,2781.05,,
04/12/23,2786.85,2754,2805.55,2753,,
04/11/23,2753.65,2790,2790,2750.2,,
04/10/23,2776.45,2814.95,2814.95,2755.35,,
04/06/23,2809.35,2808,2825,2775.5,,
04/05/23,2808.65,2763,2811.65,2752.2,,
04/03/23,2777.4,2755,2781,2705.9,,
03/31/2023,2761.65,2769,2774,2747.45,,
03/29/2023,2769,2783.7,2793.1,2756,,
03/28/2023,2783.7,2789,2810,2765,,
03/27/2023,2802.9,2798.5,2818.4,2786.2,,
03/24/2023,2798.7,2790.25,2815.75,2773.25,,
03/23/2023,2797.4,2823.75,2823.75,2768.65,,
03/22/2023,2839.75,2802,2854.15,2802,,
03/21/2023,2837.65,2864.95,2886.15,2830.7,,
03/20/2023,2855.85,2861.9,2886.1,2833,,
03/17/2023,2861.9,2910.65,2920,2855.2,,
03/16/2023,2894.95,2842.6,2900,2828.05,,
03/15/2023,2829.4,2778,2865,2768.6,,
03/14/2023,2746.25,2777.05,2784,2740.35,,
03/13/2023,2783.05,2828.95,2849,2773,,
03/10/23,2829.55,2825.05,2840.35,2807,,
03/09/23,2853.2,2869.95,2871.65,2838.4,,
03/08/23,2859.4,2852.05,2867,2827,,
03/06/23,2867,2835.05,2883.8,2831.95,,
03/03/23,2828.2,2845.2,2850,2811.65,,
03/02/23,2833.55,2838.95,2849,2810.6,,
03/01/23,2841.4,2828.5,2853.9,2816.5,,
02/28/2023,2829.5,2754.95,2838.95,2730,,
02/27/2023,2749.75,2738.7,2758.05,2725,,
02/24/2023,2738.7,2709.3,2762,2709.3,,
02/23/2023,2706.35,2791,2803.05,2701,,
02/22/2023,2795.9,2814.95,2814.95,2780,,
02/21/2023,2817,2836,2840.95,2805,,
02/20/2023,2827.35,2842,2851.9,2814,,
02/17/2023,2835.3,2790.05,2845,2786.4,,
02/16/2023,2806.95,2798,2834.75,2790.6,,
02/15/2023,2788.95,2776,2799,2755.25,,
02/14/2023,2777.3,2791.05,2803.15,2765,,
02/13/2023,2790.05,2818,2828.95,2780.1,,
02/10/23,2804.9,2835.4,2835.4,2792.95,,
02/09/23,2815.3,2784,2819.25,2768.55,,
02/08/23,2765.55,2762.15,2784.45,2744,,
02/07/23,2758.25,2760,2774.6,2748.55,,
02/06/23,2755.7,2760.15,2766.35,2718.05,,
02/03/23,2760.15,2710,2764,2700.45,,
02/02/23,2705.85,2773.65,2773.65,2694.05,,
02/01/23,2743.7,2758.25,2777.85,2705.6,,
01/31/2023,2726.6,2770,2781.95,2719.2,,
01/30/2023,2766.2,2726.6,2776.5,2693.95,,
01/27/2023,2726.6,2774,2774,2686.15,,
01/25/2023,2774,2810.3,2812,2767.85,,
01/24/2023,2810.3,2791.05,2827.75,2785.05,,
01/23/2023,2785.75,2789.55,2800,2766.5,,
01/20/2023,2788.1,2850.1,2850.1,2782.5,,
01/19/2023,2868.05,2957,2972.1,2853,,
01/18/2023,2945.85,2951,2960,2930.75,,
01/17/2023,2941.35,2925,2944.95,2912.2,,
01/16/2023,2917.05,2933.95,2933.95,2897,,
01/13/2023,2909.2,2917,2924.7,2872.45,,
01/12/23,2915.8,2940.6,2941.05,2897,,
01/11/23,2940.15,2975.15,2975.15,2936.3,,
01/10/23,2960.45,2989.95,2989.95,2953.05,,
01/09/23,2982.9,2999.95,3017.35,2951.2,,
01/06/23,2979.3,3005.05,3023.85,2953,,
01/05/23,3004.9,3035.1,3047,2995.95,,
01/04/23,3016.05,3038.9,3048,3001,,
01/03/23,3028.5,3054.9,3060.2,3025,,
01/02/23,3046.35,3091.9,3091.9,3021.1,,
12/30/2022,3091.8,3123.05,3135.25,3072.3,,
12/29/2022,3115.3,3101,3120,3093,,
12/28/2022,3124,3112,3142,3104.9,,
12/27/2022,3109.8,3062,3130,3057,,
12/26/2022,3057.5,3057,3071.35,3030,,
12/23/2022,3056.75,3055,3085,3035.6,,
12/22/2022,3090.85,3066,3094.4,3038.05,,
12/21/2022,3070.95,3090,3111.7,3050.4,,
12/20/2022,3081.35,3080,3088.9,3018,,
