Date,Price,Open,High,Low,,
12/29/2023,1102.95,1106.75,1106.75,1093.8,,
12/28/2023,1108,1109.85,1112.5,1098.15,,
12/27/2023,1106.55,1093.95,1110,1090,,
12/26/2023,1094.25,1089.05,1100.7,1086.3,,
12/22/2023,1087.85,1097.95,1106,1085.9,,
12/21/2023,1095.4,1102.8,1102.8,1077.3,,
12/20/2023,1110.3,1122.65,1123.95,1103.8,,
12/19/2023,1119.3,1121.55,1126.7,1114.1,,
12/18/2023,1111.85,1120,1120,1107.4,,
12/15/2023,1120.5,1123.95,1127.55,1109,,
12/14/2023,1120.25,1130,1138.2,1118.1,,
12/13/2023,1115.05,1144.05,1150,1111.5,,
12/12/23,1131.1,1121.15,1133.75,1109.1,,
12/11/23,1116.85,1130.9,1138.75,1114,,
12/08/23,1131.1,1117.95,1134.15,1111.55,,
12/07/23,1118,1119.95,1129,1108.65,,
12/06/23,1120.2,1133.15,1145.35,1118.2,,
12/05/23,1132.1,1130.05,1151.5,1127.05,,
12/04/23,1126.2,1116.05,1128.85,1099.05,,
12/01/23,1103.8,1071.4,1108.7,1070.3,,
11/30/2023,1074.65,1061.05,1080.85,1055.35,,
11/29/2023,1060.4,1022.05,1063.8,1020.8,,
11/28/2023,1020.4,1010.35,1021.8,1009.45,,
11/24/2023,1008.15,1001,1010.5,999.8,,
11/23/2023,999.05,998.25,1003.45,995.5,,
11/22/2023,998.2,991.65,999.85,988,,
11/21/2023,991.7,988.75,997.05,986.6,,
11/20/2023,988.55,984.8,994.65,981.4,,
11/17/2023,994.5,1017.4,1020.45,991.5,,
11/16/2023,1025.6,1035.05,1043.85,1022.35,,
11/15/2023,1041.3,1045,1045,1032.65,,
11/13/2023,1025.2,1039.15,1039.15,1023.55,,
11/12/23,1029.65,1029.25,1032.35,1027.65,,
11/10/23,1028.85,1015.25,1031.4,1015.25,,
11/09/23,1022,1021.7,1028.5,1016.85,,
11/08/23,1020.7,1022.6,1026.35,1015.7,,
11/07/23,1021.1,1009.25,1022,1005.5,,
11/06/23,1009.3,990.6,1015.9,990.6,,
11/03/23,988.85,986.05,991.85,982,,
11/02/23,982.35,978.8,988.05,974.6,,
11/01/23,971.45,979.85,979.85,968,,
10/31/2023,981.9,996.75,996.75,978.2,,
10/30/2023,988.65,1001.75,1002.15,979.5,,
10/27/2023,1001.75,981.65,1004.5,973.35,,
10/26/2023,971.95,959.85,975,953.3,,
10/25/2023,955.35,963.45,974,951.55,,
10/23/2023,963.45,980,985,961.25,,
10/20/2023,980.3,990.05,992.95,977.95,,
10/19/2023,990.95,979.4,998.9,979.35,,
10/18/2023,992.95,1010.7,1014,989.35,,
10/17/2023,1008.35,1006.55,1014.5,1003.5,,
10/16/2023,1005.2,991.95,1009.3,991.05,,
10/13/2023,993.95,1010.55,1011.2,992,,
10/12/23,1017.65,1019.3,1030.9,1015.5,,
10/11/23,1019.3,1018,1025.6,1012.1,,
10/10/23,1012.4,996.25,1014.7,996.25,,
10/09/23,996.15,991.3,999.5,988.4,,
10/06/23,1000.95,1006.95,1007.85,999.1,,
10/05/23,1003.6,998.3,1008.9,988.85,,
10/04/23,994.4,1036.95,1036.95,988.3,,
10/03/23,1040,1035.95,1044.4,1032.5,,
09/29/2023,1036.75,1031.95,1040.3,1024.55,,
09/28/2023,1031.25,1027.75,1037.55,1025.2,,
09/27/2023,1025.1,1015.8,1027.85,1004.5,,
09/26/2023,1014.1,1017.25,1020,1011,,
09/25/2023,1019,1012.05,1025.9,1005.3,,
09/22/2023,1018.2,1010.05,1027,1008.35,,
09/21/2023,1014.95,1026.15,1033.4,1012.15,,
09/20/2023,1027.25,1014.85,1047.45,1012.8,,
09/18/2023,1025,1023.95,1029.8,1019,,
09/15/2023,1026.8,1021,1031.4,1014.4,,
09/14/2023,1020.7,1015.2,1022.1,1009.05,,
09/13/2023,1015.2,1000.55,1017.5,993.9,,
09/12/23,999.6,1005.05,1009.95,998,,
09/11/23,1000.2,985,1003.85,979.5,,
09/08/23,980.65,978.25,987.25,972.7,,
09/07/23,978.05,963.2,979.25,963.2,,
09/06/23,965.25,981.95,983.05,962.1,,
09/05/23,981.5,986.4,986.4,978,,
09/04/23,982.1,992.6,994.6,979.85,,
09/01/23,991.35,974,993,968.75,,
08/31/2023,974,982.9,994.95,969.05,,
08/30/2023,982.55,981.1,997.85,979.7,,
08/29/2023,980.3,991,991,977.5,,
08/28/2023,989.8,983,992,921,,
08/25/2023,983.15,976.95,988,971,,
08/24/2023,981.65,983.7,994.55,979.25,,
08/23/2023,978.8,960.6,980.3,958.05,,
08/22/2023,957.45,953,959.05,948.95,,
08/21/2023,952.5,945.95,954.25,944,,
08/18/2023,942.95,936.4,945.95,930.8,,
08/17/2023,936.65,934.4,942.9,933,,
08/16/2023,933.4,936,939.85,931.4,,
08/14/2023,939.7,936.65,943.05,929,,
08/11/23,936.85,938.75,945.45,933,,
08/10/23,939.65,949,951.6,937.8,,
08/09/23,950.3,950.05,953.3,944.5,,
08/08/23,952.6,948.05,959.9,944.75,,
08/07/23,947.1,950,954.3,944.5,,
08/04/23,952.1,943.05,954.75,934.7,,
08/03/23,936.6,942.05,946.7,927.25,,
08/02/23,945.65,952.2,958.85,936.75,,
08/01/23,960.45,954.35,963.1,952.4,,
07/31/2023,954,953.35,958.2,948.25,,
07/28/2023,950,959.75,969,942.1,,
07/27/2023,959.75,985,989.2,956,,
07/26/2023,976.85,965,979.85,963,,
07/25/2023,962.85,976.25,976.7,953.95,,
07/24/2023,971.55,973.4,984.8,968.7,,
07/21/2023,971.4,970.6,985,967.55,,
07/20/2023,977.9,961.7,979.8,958,,
07/19/2023,964.05,963.1,969.7,956.8,,
07/18/2023,963.45,965.2,979.8,951.45,,
07/17/2023,965.2,958.55,968.4,950.5,,
07/14/2023,957.75,961.7,966.5,948,,
07/13/2023,960,957.95,965.9,952.7,,
07/12/23,949.95,955.45,957.65,947,,
07/11/23,953.4,966.25,971.7,950.7,,
07/10/23,964.1,977.35,985.75,960.45,,
07/07/23,978.7,979.95,989.2,971.95,,
07/06/23,981.6,962.5,985.9,962,,
07/05/23,966.55,970,975.25,962,,
07/04/23,970.55,983.15,984.85,969,,
07/03/23,982.1,988.05,989.15,978,,
06/30/2023,987.8,974.95,989.9,974.95,,
06/28/2023,978.3,976.05,984,967.05,,
06/27/2023,973.45,966.05,975.7,961,,
06/26/2023,959.8,957.05,963.45,953.1,,
06/23/2023,958.3,961,965.6,955,,
06/22/2023,965.05,963.7,973,958.8,,
06/21/2023,965.85,977,977.25,963.25,,
06/20/2023,974.45,965.8,976.85,958.75,,
06/19/2023,965.75,982.25,986,961.2,,
06/16/2023,980.9,982,985.2,977.5,,
06/15/2023,977.25,985,988.15,972,,
06/14/2023,977.75,986.4,988.3,976,,
06/13/2023,986.4,973.45,989.5,973.45,,
06/12/23,974.25,974.45,977.95,968.85,,
06/09/23,974.45,965.65,981.7,963.2,,
06/08/23,962.45,972,973.3,960.3,,
06/07/23,976.4,972,981.25,968.1,,
06/06/23,968.9,950.2,970.5,950.2,,
06/05/23,950.8,926,953.8,926,,
06/02/23,926,920.05,930.55,920.05,,
06/01/23,919.5,920.05,930.8,916.25,,
05/31/2023,914.7,933.75,939.25,910.45,,
05/30/2023,937.6,932,939,928.2,,
05/29/2023,929.2,928.15,937.75,928,,
05/26/2023,926.95,917.25,927.8,915.1,,
05/25/2023,921,915.55,923.4,912.6,,
05/24/2023,918.95,912,921.05,909.55,,
05/23/2023,915.1,916.5,922.4,912.4,,
05/22/2023,917.5,917.6,928.15,915,,
05/19/2023,924.5,919.6,927,909.45,,
05/18/2023,914.65,922.75,929.25,912.4,,
05/17/2023,915,915.05,918.55,911.45,,
05/16/2023,917.75,917,922.2,911.95,,
05/15/2023,915.3,913.8,919.45,909.1,,
05/12/23,910.8,896.05,913.45,894.2,,
05/11/23,895.65,891,899.85,889.05,,
05/10/23,890.05,891,892.25,877.35,,
05/09/23,888.3,883,889.95,880,,
05/08/23,878.75,867.95,881,865.25,,
05/05/23,864.95,863.55,885,863,,
05/04/23,865.75,861.45,867,857.05,,
05/03/23,859.9,862.35,866.5,854.1,,
05/02/23,870.55,868,876,864.35,,
04/28/2023,860,882.1,889.15,853.75,,
04/27/2023,881.05,886.6,889.8,877.6,,
04/26/2023,887.8,878,889.5,875,,
04/25/2023,878.35,887.35,895.55,874.45,,
04/24/2023,882.45,866.05,884.6,860.65,,
04/21/2023,863.75,868.55,873.8,857.7,,
04/20/2023,868.8,872.55,875.1,864.4,,
04/19/2023,873.15,866.85,874.4,862.55,,
04/18/2023,864.1,861.25,871.65,857.3,,
04/17/2023,864.4,880,880.1,850,,
04/13/2023,864.6,860.85,867.55,845.15,,
04/12/23,850.85,855.95,856.45,847,,
04/11/23,853.25,847,855.35,844.25,,
04/10/23,847.05,858.95,858.95,844.05,,
04/06/23,851.8,861.65,863.3,849.25,,
04/05/23,860.75,868.3,870,857.2,,
04/03/23,864.45,863.05,866.5,856.55,,
03/31/2023,858.45,858,861,848.7,,
03/29/2023,843,830.2,848.5,830.15,,
03/28/2023,833.35,836.5,836.5,826.6,,
03/27/2023,832.95,844.95,844.95,828.75,,
03/24/2023,840.5,844,852.4,837.8,,
03/23/2023,848.75,848,861.25,845,,
03/22/2023,849.5,854.55,859.9,847.2,,
03/21/2023,855.15,841.75,857.05,838.7,,
03/20/2023,837.2,833.05,840.9,825.5,,
03/17/2023,837.55,839.65,841.3,823,,
03/16/2023,830.85,818,837.55,814.25,,
03/15/2023,823.7,840,843.3,819.9,,
03/14/2023,832.8,825.3,835.65,818,,
03/13/2023,832.25,848.95,856.95,828.4,,
03/10/23,851.75,858,860,845.6,,
03/09/23,868.2,863.8,874.2,861.9,,
03/08/23,860.45,858,862.5,853.1,,
03/06/23,859.45,856.5,863.8,855.85,,
03/03/23,853.05,850,858.55,846,,
03/02/23,845.4,872,872,844,,
03/01/23,865.25,846,868.9,845.25,,
02/28/2023,843.8,857,857.6,841,,
02/27/2023,854.4,846.6,858.15,846,,
02/24/2023,851.05,853.8,854.65,844.7,,
02/23/2023,845.15,833.15,848.4,830.05,,
02/22/2023,833.15,841,843.05,830,,
02/21/2023,844.05,850.35,850.35,837.5,,
02/20/2023,846.55,856.3,860,843.05,,
02/17/2023,854.6,859.3,868,850,,
02/16/2023,865.15,873,874.1,861.05,,
02/15/2023,867.8,872.95,872.95,861.8,,
02/14/2023,870.05,860.05,871.75,854.85,,
02/13/2023,858.85,865.85,870.6,856.65,,
02/10/23,867.15,870.15,872.3,864.2,,
02/09/23,867.85,872.1,876.05,862.7,,
02/08/23,872.1,881.2,886,868.45,,
02/07/23,878.95,885.55,888.05,871.75,,
02/06/23,882.55,879.55,898.85,871.35,,
02/03/23,882.75,872.05,885,859.35,,
02/02/23,868.45,853.9,871.85,837.9,,
02/01/23,857.15,876,895,833.4,,
01/31/2023,871.65,872.3,879.3,861.3,,
01/30/2023,871.7,869.95,885,846.35,,
01/27/2023,873.25,893.25,893.25,851.1,,
01/25/2023,891.7,906,910.05,884.4,,
01/24/2023,910.05,934.25,934.3,903.75,,
01/23/2023,933.35,936,939.6,924.4,,
01/20/2023,930.7,933.95,934.6,924.75,,
01/19/2023,928.45,924.1,937.95,920.8,,
01/18/2023,924.1,920,925.25,913.1,,
01/17/2023,917.7,921.6,921.6,906.95,,
01/16/2023,913.1,942,942,911.8,,
01/13/2023,934.2,937.95,937.95,922.5,,
01/12/23,935.35,949.9,950.35,923.85,,
01/11/23,950,950.25,955.75,942.9,,
01/10/23,951.9,964.15,964.15,943,,
01/09/23,958.9,945,960,941.1,,
01/06/23,939.95,948,950.1,934.15,,
01/05/23,949.5,963,963,938.5,,
01/04/23,957.4,964,970.45,955.05,,
01/03/23,962.65,942.1,965.85,942.1,,
01/02/23,941.45,930.05,945,930.05,,
12/30/2022,933.85,943,943.5,930.4,,
12/29/2022,935,921.6,942,915.5,,
12/28/2022,924.95,931.95,937.3,921.15,,
12/27/2022,932.55,933,937.85,922.55,,
12/26/2022,928.75,904.3,932.85,904.3,,
12/23/2022,906.6,906.2,916.65,903.75,,
12/22/2022,919.15,934.35,935.65,913,,
12/21/2022,932.35,954.6,958.9,927.6,,
12/20/2022,950.05,946.2,952.9,940.55,,
12/19/2022,946.2,933.4,947.95,932.45,,
12/16/2022,935.15,933.1,945,929,,
12/15/2022,938.4,937.55,944.65,933,,
12/14/2022,942.3,945,950,938.55,,
12/13/2022,944.6,942.4,949,936.4,,
12/12/22,938.85,928.55,940.75,921.7,,
12/09/22,933.7,943.5,945.45,927.55,,
12/08/22,939.45,917.65,944,914,,
12/07/22,914.7,903.95,918.2,900,,
12/06/22,904.6,896.1,906,895.85,,
12/05/22,899.3,905.05,906.5,897.65,,
12/02/22,904.8,897.15,906.95,891.5,,
12/01/22,903,905,907.8,899.25,,
11/30/2022,901.5,899,905,885.2,,
11/29/2022,891.85,891.7,901.8,890,,
11/28/2022,891.4,887.65,899.55,885.55,,
11/25/2022,887.65,881,891.8,881,,
11/24/2022,879,877.25,881,873.2,,
11/23/2022,874.85,871.35,877.95,869,,
11/22/2022,870.05,875.4,877,868.4,,
11/21/2022,869.7,859.25,871.1,858.9,,
11/18/2022,859.25,859.7,865.85,855.2,,
11/17/2022,857.5,854.05,861.5,852.7,,
11/16/2022,854.65,856,861.5,850.7,,
11/15/2022,858.4,850,859.8,847.3,,
11/14/2022,851.25,849.1,853.95,847.65,,
11/11/22,850.95,847.2,854.8,844.2,,
11/10/22,843.4,846,856.9,841,,
11/09/22,874.35,874.6,880.45,868,,
11/07/22,872.9,878.45,878.45,861,,
11/04/22,867.25,869,872.6,862.45,,
11/03/22,863.95,854.1,880.45,854.1,,
11/02/22,863.2,873.35,876,861.65,,
11/01/22,871.75,903,903.35,869,,
10/31/2022,905.85,907.35,917.8,902.35,,
10/28/2022,903,911.15,917.95,898.8,,
10/27/2022,915.25,906.45,919.95,901.4,,
10/25/2022,902.9,905.8,910.7,891.75,,
10/24/2022,909.1,919.2,919.2,905.15,,
10/21/2022,900.25,860,905,855.7,,
10/20/2022,826.2,828.9,831.85,816.85,,
10/19/2022,829.65,819.9,838,817.15,,
10/18/2022,815.9,819.05,822.85,811.5,,
10/17/2022,814.35,805.7,817,796.9,,
10/14/2022,800.35,813.1,820.5,794.25,,
10/13/2022,802.25,807,814.7,795.6,,
10/12/22,808.4,788,810.4,783.55,,
10/11/22,785.7,781,795.3,774.55,,
10/10/22,776.75,747.3,778.8,745,,
10/07/22,755.9,755.8,759.1,742.65,,
10/06/22,755.2,748.6,760.3,746.5,,
10/04/22,742.95,732.5,744.5,732.5,,
10/03/22,722.95,730.15,741.75,720.8,,
09/30/2022,733.5,719,737.45,714.45,,
09/29/2022,718.65,734.75,734.75,710.85,,
09/28/2022,716.35,736.45,736.45,706,,
09/27/2022,737.3,744,753.8,731,,
09/26/2022,742.45,757.5,763.05,740.85,,
09/23/2022,768.6,788,788.7,764.3,,
09/22/2022,789.1,805,808.7,784.3,,
09/21/2022,805.95,810,815.85,804.5,,
09/20/2022,812.5,805.35,816,803.3,,
09/19/2022,798.85,786.2,802,786.2,,
09/16/2022,789.4,786,792.4,776.15,,
09/15/2022,789.7,805,806.65,787.5,,
09/14/2022,801.35,789.5,811.25,789.5,,
09/13/2022,805.45,801.5,809,801.5,,
09/12/22,801.15,785.5,805.15,785.5,,
09/09/22,784.85,787,787.1,780.05,,
09/08/22,779.85,757,782,757,,
09/07/22,755.5,745.7,757.95,739,,
09/06/22,749.95,756.7,761.7,748.75,,
09/05/22,755.95,751.1,758.6,749.6,,
09/02/22,751.1,745.2,754.5,740.1,,
09/01/22,744.25,730,754.8,730,,
08/30/2022,751.15,733,753.5,733,,
08/29/2022,728.6,725,735,722.05,,
08/26/2022,744.3,745.5,755,741.5,,
08/25/2022,743,752,758.4,739.9,,
08/24/2022,750.9,745,752.05,742.5,,
08/23/2022,746.75,741.7,750.65,733.75,,
08/22/2022,741.7,751.25,755,739.15,,
08/19/2022,758.9,772.75,772.75,750.15,,
08/18/2022,764.95,773.9,776,762.1,,
08/17/2022,772,773.05,773.55,766.15,,
08/16/2022,765.45,765,772,758.7,,
08/12/22,760.45,759.4,761.95,753.5,,
08/11/22,759.2,742,760.6,742,,
08/10/22,738.85,746,747.85,735.8,,
08/08/22,745.75,733.5,747.4,728.25,,
08/05/22,728.25,722.7,731,721.25,,
08/04/22,721.75,736,736.5,712.3,,
08/03/22,730.3,731,738.45,727.55,,
08/02/22,730.25,727,734.1,721.2,,
08/01/22,730.95,725,732,720.6,,
07/29/2022,724.8,733,734.7,722.95,,
07/28/2022,725.25,729.85,733.65,721.9,,
07/27/2022,718.95,706.5,720.5,703.6,,
07/26/2022,706.35,726.5,726.5,702.15,,
07/25/2022,728.2,734,738.75,722.45,,
07/22/2022,730.95,716.6,735,715.25,,
07/21/2022,715.65,706.15,718,704.25,,
07/20/2022,705.05,708.7,714.55,702.45,,
07/19/2022,700.55,680,703.8,679.4,,
07/18/2022,684.45,662.25,687.8,662.25,,
07/15/2022,662.5,666.3,674.15,659.1,,
07/14/2022,668.05,678,680.15,665.75,,
07/13/2022,679.9,682.8,684.85,677.05,,
07/12/22,675.45,677,685.2,670,,
07/11/22,680,664,681.95,664,,
07/08/22,669.1,665.35,676.6,661.3,,
07/07/22,658.45,664.4,664.65,651.85,,
07/06/22,658.05,649.1,659.35,649.1,,
07/05/22,648.4,654.45,659.85,646.45,,
07/04/22,654.45,644.1,655.3,640.3,,
07/01/22,645.15,634,646.55,631.8,,
