Date,Price,Open,High,Low,,
12/29/2023,7326.9,7240,7344,7205.05,,
12/28/2023,7257.7,7237.15,7291.35,7205,,
12/27/2023,7235.55,7227,7320,7190.8,,
12/26/2023,7162.95,7302.05,7344.1,7147.45,,
12/22/2023,7295.25,7401.25,7437.55,7243.4,,
12/21/2023,7369.1,7420.4,7477.5,7307,,
12/20/2023,7489.35,7641.2,7693.85,7466.4,,
12/19/2023,7632.45,7640,7646.4,7537,,
12/18/2023,7586.95,7530.05,7607,7522.75,,
12/15/2023,7517.6,7500.1,7525,7445.5,,
12/14/2023,7467.45,7353,7508,7301,,
12/13/2023,7258.5,7307.25,7307.25,7207.65,,
12/12/23,7312.15,7267.65,7353,7267.65,,
12/11/23,7292.95,7348.35,7350.25,7269.25,,
12/08/23,7306.85,7395,7397.95,7275,,
12/07/23,7394.3,7399.95,7439.5,7325,,
12/06/23,7426.5,7371.25,7459,7369,,
12/05/23,7349.75,7434,7435,7322.9,,
12/04/23,7404.8,7350,7420,7318.5,,
12/01/23,7256.15,7155,7281,7142.55,,
11/30/2023,7124.9,7130.1,7152,7090,,
11/29/2023,7129.75,7130.05,7169.9,7115,,
11/28/2023,7126.15,7022.2,7133,7022.2,,
11/24/2023,7021.85,7100,7110,7012.85,,
11/23/2023,7072.25,7145,7161,7058,,
11/22/2023,7125.9,7099.95,7174.7,7069.05,,
11/21/2023,7104.15,7098.65,7129.3,7031.15,,
11/20/2023,7067.3,7164,7239,7050,,
11/17/2023,7219.3,7150,7260.55,7122.05,,
11/16/2023,7365.85,6940,7380,6937.15,,
11/15/2023,7223.95,7436,7473.95,7122.8,,
11/13/2023,7359.55,7458.05,7458.05,7320,,
11/12/23,7458.05,7487.95,7515.45,7447.7,,
11/10/23,7445.6,7379.95,7453.8,7350,,
11/09/23,7383.95,7465.05,7479.45,7370,,
11/08/23,7458.8,7549.95,7549.95,7410,,
11/07/23,7498.75,7615,7635,7446.7,,
11/06/23,7560.05,7467.95,7573,7447.3,,
11/03/23,7420.2,7530,7534.95,7375.15,,
