Date,Price,Open,High,Low,,
12/29/2023,5797.9,5869.95,5869.95,5764.05,,
12/28/2023,5848.2,5716,5889.9,5672.1,,
12/27/2023,5712.85,5634,5720,5602.9,,
12/26/2023,5637.5,5633.35,5695,5605.05,,
12/22/2023,5633.35,5583.65,5655,5563,,
12/21/2023,5556.9,5559.6,5586.55,5474.4,,
12/20/2023,5574.9,5630.15,5674.8,5551.25,,
12/19/2023,5637.8,5607.55,5649,5593,,
12/18/2023,5593.45,5595.85,5685,5574.35,,
12/15/2023,5592.25,5628.75,5628.75,5542.5,,
12/14/2023,5570.8,5604.5,5628.75,5566.5,,
12/13/2023,5593.8,5550.4,5608,5528.6,,
12/12/23,5540.35,5506.5,5634.9,5479.4,,
12/11/23,5472.9,5519,5559.95,5371.75,,
12/08/23,5763.5,5780.15,5781.6,5712,,
12/07/23,5784.05,5786.75,5848.5,5750.4,,
12/06/23,5727.95,5799.95,5814.85,5709.25,,
12/05/23,5776.15,5767,5820.35,5742.6,,
12/04/23,5749.3,5827.95,5827.95,5730.05,,
12/01/23,5747.4,5780.05,5854.75,5735.3,,
11/30/2023,5787.75,5738.95,5798.95,5731.75,,
11/29/2023,5715.55,5700,5742.45,5654.55,,
11/28/2023,5671.25,5643,5713.8,5643,,
11/24/2023,5642.95,5643.7,5754.05,5617.6,,
11/23/2023,5643.65,5689.95,5689.95,5611.85,,
11/22/2023,5663.25,5660,5729.15,5653.85,,
11/21/2023,5646.1,5639.95,5676,5605.55,,
11/20/2023,5604.55,5623.95,5654.55,5590,,
11/17/2023,5607.5,5544.25,5636,5544.25,,
11/16/2023,5543.7,5450,5572.2,5431,,
11/15/2023,5419.35,5420.05,5451.6,5405.4,,
11/13/2023,5419.4,5440,5480,5383,,
11/12/23,5451.35,5496.95,5496.95,5432.5,,
11/10/23,5426.2,5449.95,5449.95,5375,,
11/09/23,5452.8,5496,5498,5442,,
11/08/23,5441.45,5406.1,5499.55,5406.1,,
11/07/23,5401.2,5345.05,5473.65,5322.6,,
11/06/23,5339,5304.3,5349.5,5288.6,,
11/03/23,5261.05,5389.35,5389.35,5246.8,,
11/02/23,5334.35,5385,5411,5325,,
11/01/23,5347.6,5398.2,5417.2,5312.8,,
10/31/2023,5361.9,5444.95,5444.95,5353.95,,
10/30/2023,5341.75,5397,5397,5212.1,,
10/27/2023,5385.55,5424.55,5449.8,5358.85,,
10/26/2023,5424.55,5459.05,5512.8,5345,,
10/25/2023,5512.25,5566.5,5608.35,5500.5,,
10/23/2023,5544,5583.95,5665.3,5526.6,,
10/20/2023,5571.5,5649.95,5649.95,5553,,
10/19/2023,5624.5,5635.3,5669,5610.25,,
10/18/2023,5675.85,5540,5692,5540,,
10/17/2023,5548.85,5471.05,5570,5471.05,,
10/16/2023,5490.15,5514.95,5514.95,5461,,
10/13/2023,5461,5400.05,5520.55,5400.05,,
10/12/23,5529.9,5599.95,5599.95,5518.35,,
10/11/23,5567.25,5487,5588,5487,,
10/10/23,5477.25,5475.05,5485.3,5425.8,,
10/09/23,5496.3,5420.95,5525.15,5407.3,,
10/06/23,5421,5410.05,5488.05,5410,,
10/05/23,5407.8,5474.95,5477.75,5400,,
10/04/23,5413.25,5474.95,5497.35,5401.45,,
10/03/23,5459.8,5578,5583.95,5450,,
09/29/2023,5586.75,5430.05,5629.55,5430.05,,
09/28/2023,5425.55,5500.05,5507.4,5412,,
09/27/2023,5494.85,5500,5604.75,5484,,
09/26/2023,5468.1,5445,5525,5445,,
09/25/2023,5439.4,5520.35,5531.15,5430,,
09/22/2023,5516.35,5631.4,5692.95,5502.1,,
09/21/2023,5671.65,5621,5694.3,5613,,
