Date,Price,Open,High,Low,,
12/29/2023,996.45,1005.05,1008.7,993.25,,
12/28/2023,1005.4,1009.65,1011.9,999.05,,
12/27/2023,1001.75,996.2,1004,992.05,,
12/26/2023,995.1,995,997.5,990,,
12/22/2023,993.85,1005.45,1009.3,991.8,,
12/21/2023,1003.65,992.55,1010.6,989.25,,
12/20/2023,1006.25,1021.95,1021.95,1002.7,,
12/19/2023,1014.85,1029,1029,1012.7,,
12/18/2023,1020.6,1031.75,1031.75,1018,,
12/15/2023,1037.1,1041,1042.65,1026,,
12/14/2023,1034.35,1023.65,1039.95,1021.55,,
12/13/2023,1014.15,1015.2,1020.5,1009.45,,
12/12/23,1015.2,1019.5,1021,1008.25,,
12/11/23,1017.05,1006.7,1020.45,1005,,
12/08/23,1010.95,998,1012.65,993.2,,
12/07/23,999.35,998,1002,988.2,,
12/06/23,1002.95,1013.2,1015.45,1001.05,,
12/05/23,1013.15,999.25,1015.7,995.1,,
12/04/23,990.6,960.15,995,960.15,,
12/01/23,946.35,936,951.95,933.25,,
11/30/2023,935.2,940.95,941.05,928.65,,
11/29/2023,939.35,928.55,941.15,926.15,,
11/28/2023,926.05,927.55,931.45,921.65,,
11/24/2023,929.15,922.25,930.6,920.35,,
11/23/2023,923.05,924.35,925,918.35,,
11/22/2023,922.6,921,925.3,914.8,,
11/21/2023,926.3,923.5,927.75,922,,
11/20/2023,921.45,922,926.55,917.45,,
11/17/2023,922,927.8,938.45,920.45,,
11/16/2023,935.6,938.05,946.15,933.7,,
11/15/2023,940.6,942.1,944,938.6,,
11/13/2023,934.55,943,943,931.9,,
11/12/23,942.3,944.95,944.95,940,,
11/10/23,938.35,935.95,941.5,932.3,,
11/09/23,937.45,935.8,942.5,933,,
11/08/23,934.65,948.4,948.95,934,,
11/07/23,948.35,944.35,950.8,930.7,,
11/06/23,945.25,941.95,948,937.25,,
11/03/23,933.45,927.35,934.75,926.35,,
11/02/23,919.25,919.25,924.7,913,,
11/01/23,914.4,915.9,917.75,909.6,,
10/31/2023,915.4,927.95,930.05,914.25,,
10/30/2023,924.7,912,926.4,908.4,,
10/27/2023,912.6,924.5,924.5,911.25,,
10/26/2023,909.15,915.9,916.45,898.85,,
10/25/2023,916.05,927,934.35,911.45,,
10/23/2023,929.75,944.7,944.8,925.6,,
10/20/2023,932.45,933.95,939.8,930.5,,
10/19/2023,935.05,937.35,944.75,934,,
10/18/2023,943.5,953.05,953.05,939.25,,
10/17/2023,954.95,953.4,960.75,951.75,,
10/16/2023,951.05,946.25,954.65,946,,
10/13/2023,951.75,950,957,944.5,,
10/12/23,954.35,954.45,959.85,949.65,,
10/11/23,952.65,953.25,962,950.8,,
10/10/23,950.95,938.45,957.4,938.45,,
10/09/23,937.65,934.6,941.95,934.6,,
10/06/23,945.25,945,946.4,938,,
10/05/23,940.85,935,944,934.6,,
10/04/23,930.7,935.9,935.9,925,,
10/03/23,940.35,953,953,939,,
09/29/2023,952.05,945.75,956,944,,
09/28/2023,942.7,947.95,947.95,934.9,,
09/27/2023,943.15,947.95,947.95,934.6,,
09/26/2023,948.55,959.7,959.7,947.05,,
09/25/2023,956.45,959.95,961,941.5,,
09/22/2023,950.3,956.55,960.7,947.75,,
09/21/2023,959.35,981.35,989,957.9,,
09/20/2023,987.05,982,996,980.65,,
09/18/2023,990.45,990.65,996,987.4,,
09/15/2023,992.35,991,997.4,988.6,,
09/14/2023,987.3,991.5,992.55,982.45,,
09/13/2023,989.75,990,994.75,980.8,,
09/12/23,990.9,988.8,995.05,982.6,,
09/11/23,978.35,974,981.5,969.5,,
09/08/23,970.55,967,975,961.4,,
09/07/23,965.45,958.6,969,955,,
