Date,Price,Open,High,Low,,
12/29/2023,1598.05,1615,1618.7,1587.65,,
12/28/2023,1610.2,1600,1618.8,1592.1,,
12/27/2023,1596.9,1571.55,1600,1569.25,,
12/26/2023,1571.35,1561.35,1582,1557.4,,
12/22/2023,1562.25,1575.95,1590.8,1558,,
12/21/2023,1569.7,1531.1,1573,1528.7,,
12/20/2023,1556,1572.3,1581,1549.5,,
12/19/2023,1566.15,1557.05,1585.7,1542.2,,
12/18/2023,1557.05,1574.95,1574.95,1551.45,,
12/15/2023,1570.95,1554.65,1578.25,1547.8,,
12/14/2023,1551.65,1520,1554.35,1515.7,,
12/13/2023,1506.95,1503.6,1512.15,1495.5,,
12/12/23,1497.5,1530,1530,1490.8,,
12/11/23,1521.5,1511.2,1538,1511.2,,
12/08/23,1509.15,1516.05,1520.7,1494.3,,
12/07/23,1502,1501.05,1513.95,1496.3,,
12/06/23,1499.6,1515.05,1521.05,1493.15,,
12/05/23,1506.75,1527.9,1527.9,1487,,
12/04/23,1514.15,1482.5,1517.95,1474.8,,
12/01/23,1461.15,1478.15,1493.15,1458.5,,
11/30/2023,1466.35,1495.05,1496,1450.05,,
11/29/2023,1483.95,1492.95,1492.95,1471.15,,
11/28/2023,1477.8,1475.95,1486.3,1467.85,,
11/24/2023,1475.65,1498.95,1498.95,1474.1,,
11/23/2023,1486.8,1475.3,1496.2,1472.1,,
11/22/2023,1470.6,1502.35,1505.1,1459.05,,
11/21/2023,1502.1,1505,1506.75,1494.75,,
11/20/2023,1504.9,1490.6,1509.5,1490.6,,
11/17/2023,1498,1491.95,1509,1485.95,,
11/16/2023,1499.4,1496.05,1506.75,1493.7,,
11/15/2023,1494.2,1529,1536.95,1490.25,,
11/13/2023,1510,1509.95,1515.95,1496.3,,
11/12/23,1503.15,1509.95,1509.95,1498.05,,
11/10/23,1498.55,1507.35,1509.25,1493,,
11/09/23,1507.55,1481.15,1516.15,1481.15,,
11/08/23,1488.45,1497.95,1497.95,1481.75,,
11/07/23,1486.3,1470.8,1489,1463.75,,
11/06/23,1470.2,1477.95,1477.95,1455.55,,
11/03/23,1449.55,1470.25,1474.75,1447.85,,
11/02/23,1461,1449.95,1479.1,1445.05,,
11/01/23,1431.8,1447,1447,1427.2,,
10/31/2023,1441.15,1455,1459.95,1436.95,,
10/30/2023,1454.95,1439.5,1461.5,1428.5,,
10/27/2023,1439.5,1415.7,1444.75,1413.5,,
10/26/2023,1414.15,1410.55,1428.3,1393.7,,
10/25/2023,1412.7,1443.55,1447,1410.3,,
10/23/2023,1438.3,1465.15,1469.7,1428.55,,
10/20/2023,1469.2,1450.3,1471.75,1444.15,,
10/19/2023,1450.3,1455,1464.25,1423.55,,
10/18/2023,1420.8,1439.95,1443.75,1416,,
10/17/2023,1434.7,1450.05,1458.15,1426.25,,
10/16/2023,1446.8,1467.95,1467.95,1444.5,,
10/13/2023,1463.55,1424.95,1467,1419.15,,
10/12/23,1424.2,1436.95,1443.45,1422,,
10/11/23,1421.15,1426,1431,1415.5,,
10/10/23,1420.95,1430.25,1436.4,1412.25,,
10/09/23,1428.25,1420,1445,1409.6,,
10/06/23,1434.65,1403.05,1438.5,1402.15,,
10/05/23,1401.35,1410,1415.15,1394.9,,
10/04/23,1401.5,1415.05,1428,1386.55,,
10/03/23,1435.65,1412.4,1438.5,1412.4,,
09/29/2023,1428.8,1413.45,1439.4,1399.8,,
09/28/2023,1413.4,1448.95,1448.95,1409.75,,
09/27/2023,1436.8,1423.55,1439.3,1418.65,,
09/26/2023,1423.5,1442,1443.25,1412,,
09/25/2023,1442.05,1454.95,1454.95,1434.8,,
09/22/2023,1452.75,1422,1463.05,1413.1,,
09/21/2023,1411.55,1434.95,1442.7,1406.15,,
09/20/2023,1440.7,1437.6,1475.5,1422,,
