Date,Price,Open,High,Low,
12/29/2023,2659.55,2627,2666.1,2616.66,
12/28/2023,2624.07,2585.7,2637.39,2577.2,
12/27/2023,2572.14,2560,2577.47,2560,
12/26/2023,2555.84,2554.91,2559.69,2537,
12/22/2023,2536.37,2521.47,2541.62,2511,
12/21/2023,2511.66,2509.22,2524.5,2473.61,
12/20/2023,2509.22,2575,2576.59,2505.89,
12/19/2023,2548.54,2456,2569.9,2454.64,
12/18/2023,2435.62,2444.6,2458.03,2431,
12/15/2023,2435.83,2499.99,2499.99,2424,
12/14/2023,2479.13,2515,2515,2475.56,
12/13/2023,2504.55,2495.11,2507.5,2482.5,
12/12/23,2496.47,2505.45,2524,2481,
12/11/23,2501.47,2480.03,2511,2466.22,
12/08/23,2478.83,2518.57,2518.57,2476.03,
12/07/23,2499.75,2491.11,2516.45,2483,
12/06/23,2496.18,2468.01,2510.38,2468.01,
12/05/23,2460.55,2447.99,2467.66,2443.59,
12/04/23,2439.93,2435.5,2452.4,2414.6,
12/01/23,2434.38,2425.01,2436.47,2416.79,
11/30/2023,2421.72,2407.9,2434.75,2396.4,
11/29/2023,2406.55,2434.9,2434.9,2401.5,
11/28/2023,2420.89,2413.4,2424.4,2388.8,
11/24/2023,2413.39,2430.01,2447.8,2410.41,
11/23/2023,2438.64,2442.51,2459.11,2437.05,
11/22/2023,2434.49,2442.49,2450,2425.4,
11/21/2023,2438.51,2428.51,2440.97,2418.2,
11/20/2023,2430.05,2439.99,2439.99,2417.53,
11/17/2023,2437.18,2411.5,2446.43,2407.3,
11/16/2023,2407.66,2420,2425,2405,
11/15/2023,2417.76,2416,2421.51,2401,
11/13/2023,2408.68,2430,2430,2405,
11/12/23,2428.81,2435,2435,2425,
11/10/23,2412.7,2422.8,2423.13,2408.72,
11/09/23,2422.8,2438,2439.9,2419.74,
11/08/23,2427.84,2439.59,2440.61,2421.41,
11/07/23,2436.23,2431.99,2447.26,2420.55,
11/06/23,2426.73,2423.49,2438.89,2408.38,
11/03/23,2398.49,2422.15,2422.15,2393.66,
11/02/23,2411.3,2398,2413.5,2377.28,
11/01/23,2386.93,2417.01,2419.12,2378.36,
10/31/2023,2423.93,2434.99,2439.99,2415.09,
10/30/2023,2416.84,2409.6,2421.49,2387,
10/27/2023,2405.8,2355.5,2422.5,2343.55,
10/26/2023,2356.76,2424.81,2424.81,2344.16,
10/25/2023,2424.81,2430,2453.6,2418.07,
10/23/2023,2418.99,2434.89,2465.68,2408.66,
10/20/2023,2426.66,2413.99,2473.55,2401.65,
10/19/2023,2412.2,2327.99,2422.88,2310,
10/18/2023,2326.97,2325.61,2345,2318.84,
10/17/2023,2331.78,2314.7,2335,2314.4,
10/16/2023,2310.87,2354.11,2354.2,2298.51,
10/13/2023,2354.27,2309.89,2359.9,2294.68,
10/12/23,2307.63,2324,2327.88,2297.93,
10/11/23,2319.8,2300,2325.24,2294.74,
10/10/23,2295.18,2295.01,2300,2283.38,
10/09/23,2287.53,2284.93,2297.93,2279.27,
10/06/23,2291.59,2296,2306.19,2281.24,
10/05/23,2292.33,2314.99,2314.99,2277.87,
10/04/23,2298.86,2289.99,2333.36,2255.17,
10/03/23,2233.82,2249.32,2257.88,2226.09,
09/29/2023,2249.32,2252.26,2269,2242.88,
09/28/2023,2252.25,2309.89,2309.89,2245.05,
09/27/2023,2286.27,2297.28,2299.27,2275.3,
09/26/2023,2300.27,2266.5,2305,2260,
09/25/2023,2264.53,2253.25,2270,2244.99,
09/22/2023,2254.3,2260,2263.16,2240,
09/21/2023,2252.61,2255.66,2259.26,2237.91,
09/20/2023,2267.76,2269.99,2282.62,2260,
09/18/2023,2280.86,2255.01,2283.84,2245.17,
09/15/2023,2261.41,2257.45,2270,2232.12,
09/14/2023,2248.09,2225.77,2249.99,2216.57,
09/13/2023,2218.66,2227.24,2257.74,2215,
09/12/23,2232.07,2210.01,2239.49,2201.01,
09/11/23,2211.35,2190.01,2218.58,2188,
09/08/23,2187.76,2190.2,2193.64,2180.78,
09/07/23,2189.61,2199.99,2199.99,2184.01,
09/06/23,2198.84,2195.45,2210,2177.61,
09/05/23,2195.47,2177.99,2199.14,2177.99,
09/04/23,2173.78,2191.55,2197.74,2165,
09/01/23,2190.45,2200.01,2210,2185.43,
08/31/2023,2199.18,2220,2228.88,2167.8,
08/30/2023,2219.68,2216,2225,2198.32,
08/29/2023,2206.89,2208.85,2214.08,2193.55,
08/28/2023,2203.45,2218.85,2218.85,2199.55,
08/25/2023,2221.45,2220.2,2225.09,2211.74,
08/24/2023,2223.93,2220.01,2228.74,2214.73,
08/23/2023,2218.86,2204.4,2224.9,2196.97,
08/22/2023,2202.8,2206.99,2209.15,2190.43,
08/21/2023,2203.82,2181.4,2215,2180,
08/18/2023,2183.26,2169,2187.7,2145.28,
08/17/2023,2166.85,2193.23,2199.9,2161.89,
08/16/2023,2195.28,2200.01,2200.2,2180,
08/14/2023,2190.02,2185,2204.91,2172.5,
08/11/23,2182.95,2198.51,2200.29,2174.45,
08/10/23,2200.28,2220.69,2220.69,2190,
08/09/23,2220.69,2222.45,2234.92,2217.38,
08/08/23,2222.45,2248.59,2248.6,2210.59,
08/07/23,2242.28,2245,2253.5,2215,
08/04/23,2246.05,2246.11,2267.95,2241.68,
08/03/23,2246.01,2285,2285,2239.66,
08/02/23,2287.5,2261.51,2293.62,2251,
08/01/23,2261.51,2256.11,2269.45,2241.84,
07/31/2023,2256.07,2255.12,2265.05,2243.34,
07/28/2023,2248.69,2233,2262.26,2220,
07/27/2023,2232.94,2289.9,2289.9,2208.18,
07/26/2023,2280.45,2275.01,2291.7,2270.5,
07/25/2023,2275.84,2310.01,2310.07,2268.53,
07/24/2023,2283.4,2290.01,2303.57,2270.52,
07/21/2023,2297.51,2299.4,2320.05,2292.12,
07/20/2023,2299.41,2292.01,2307.01,2276,
07/19/2023,2293.72,2298.03,2300.3,2281,
07/18/2023,2298.81,2315.01,2317.66,2284.16,
07/17/2023,2306.88,2306.03,2339,2297.44,
07/14/2023,2312.52,2287.6,2319.99,2260,
07/13/2023,2282.07,2305,2311.5,2277.55,
07/12/23,2305.6,2296,2309.69,2281.14,
07/11/23,2290.97,2256.01,2296.57,2255.26,
07/10/23,2257.86,2288.01,2302.81,2255.04,
07/07/23,2288.22,2299.9,2322,2284.35,
07/06/23,2309.66,2287.09,2338.89,2287.09,
07/05/23,2288.2,2256,2294.88,2256,
07/04/23,2262.26,2269.6,2283.43,2252.6,
07/03/23,2262.92,2291.51,2294.04,2256.7,
06/30/2023,2288.3,2273.66,2293.41,2263.55,
06/28/2023,2273.66,2268,2280,2259.28,
06/27/2023,2262.21,2261.01,2281.09,2250.72,
06/26/2023,2262.8,2251.14,2270.62,2250.78,
06/23/2023,2251.14,2250,2261.5,2247.62,
06/22/2023,2252.88,2279.99,2294.93,2249.26,
06/21/2023,2286.41,2300,2305.64,2277.24,
06/20/2023,2294.55,2277.34,2299.9,2272.66,
06/19/2023,2278.46,2297.8,2314.28,2275.62,
06/16/2023,2297.27,2300,2320,2289.31,
06/15/2023,2296,2272.45,2298.01,2270,
06/14/2023,2272.45,2250,2274.3,2250,
06/13/2023,2249.53,2230,2267,2230,
06/12/23,2229.01,2198.01,2235.62,2198.01,
06/09/23,2208.8,2215.89,2228.39,2204.72,
06/08/23,2213.75,2239.6,2255.33,2211.55,
06/07/23,2238.01,2173.6,2242.88,2173.6,
06/06/23,2170.13,2183.41,2193.53,2163.2,
06/05/23,2183.2,2204.06,2211.6,2178.99,
06/02/23,2204.06,2191.11,2208.11,2182.1,
06/01/23,2185.89,2175,2191.51,2158.24,
05/31/2023,2169.36,2157,2185.58,2152.02,
05/30/2023,2157.29,2171.3,2171.3,2151.68,
05/29/2023,2172.09,2155.11,2184,2155.11,
05/26/2023,2158.99,2140.01,2161.59,2137.47,
05/25/2023,2147.24,2149.9,2162.87,2131.86,
05/24/2023,2138.84,2140,2149.95,2128,
05/23/2023,2139.26,2145.4,2169.01,2136.41,
05/22/2023,2147.91,2165.01,2166.86,2125.64,
05/19/2023,2169.88,2188.2,2188.2,2150.61,
05/18/2023,2166.99,2176.11,2192.62,2165.22,
05/17/2023,2173.09,2178.24,2188.72,2160.01,
05/16/2023,2178.24,2179.6,2199.02,2172.02,
05/15/2023,2178.01,2180,2201.5,2175.72,
05/12/23,2180.01,2200.01,2205.26,2176,
05/11/23,2202.25,2206.68,2222,2194.22,
05/10/23,2206.05,2191.51,2212.3,2191.51,
05/09/23,2196.76,2200,2208.8,2189,
05/08/23,2197.62,2200.01,2229.59,2177,
05/05/23,2200.86,2175.5,2207.69,2175.5,
05/04/23,2170.39,2168.01,2199.61,2165,
05/03/23,2186.52,2160.01,2193.59,2159.53,
05/02/23,2173.28,2175.9,2209.99,2166.51,
04/28/2023,2175.89,2115,2185,2112.44,
04/27/2023,2115.03,2108.8,2119,2100.7,
04/26/2023,2100.26,2049.01,2109.36,2048.55,
04/25/2023,2066.3,2069,2090.95,2031.54,
04/24/2023,2066.55,2045.01,2070.6,2040.39,
04/21/2023,2048.24,2021.52,2058.27,2021.52,
04/20/2023,2047.2,2055.11,2070.02,2040,
04/19/2023,2060.46,2065.37,2065.37,2040,
04/18/2023,2065.37,2010.02,2070,2010.02,
04/17/2023,2025.07,1953.02,2040.6,1952.9,
04/13/2023,1947.39,1950,1967.75,1941.45,
04/12/23,1944.6,1960.01,1962.62,1937.47,
04/11/23,1967.19,1963.74,1968.82,1946.86,
04/10/23,1953.54,1965.01,1971.39,1951.01,
04/06/23,1970.32,1979.01,1983.3,1960.79,
04/05/23,1979.96,1969.99,1984.99,1960.28,
04/03/23,1969.82,1979,1979,1939.93,
03/31/2023,1969.18,1910.01,1975,1910.01,
03/29/2023,1906.35,1890.01,1912.49,1887.49,
03/28/2023,1892.86,1890.66,1901,1885.61,
03/27/2023,1894.56,1901.14,1912.1,1884.19,
03/24/2023,1895.16,1904.5,1910,1889.63,
