Date,Price,Open,High,Low,
12/29/2023,2584.85,2608.05,2614.8,2579.15,
12/28/2023,2605.8,2587,2611.35,2587,
12/27/2023,2586.35,2578.5,2599.35,2572.25,
12/26/2023,2577.5,2570,2592.9,2563,
12/22/2023,2564.7,2562.2,2580.55,2548,
12/21/2023,2562.2,2510.45,2572.5,2510.45,
12/20/2023,2527.35,2560.3,2597.85,2520,
12/19/2023,2558.45,2537.7,2573,2525.85,
12/18/2023,2519.95,2494.2,2534.4,2491.05,
12/15/2023,2495.2,2472.15,2499.95,2469.05,
12/14/2023,2464.5,2453,2475,2442.7,
12/13/2023,2433.4,2427.75,2438,2406.3,
12/12/23,2423.95,2458,2464.9,2420.25,
12/11/23,2459.05,2452.15,2467.4,2452.15,
12/08/23,2456.2,2461.2,2475.7,2444.5,
12/07/23,2457.6,2460.7,2461.05,2442,
12/06/23,2460.7,2443.25,2473.6,2440.3,
12/05/23,2437.55,2433,2440.5,2421.35,
12/04/23,2421,2440.05,2445,2395,
12/01/23,2393.45,2381,2396.9,2380,
11/30/2023,2376.4,2398,2400.5,2371.25,
11/29/2023,2400.5,2405.15,2411.75,2398.25,
11/28/2023,2394.55,2393,2398.8,2375,
11/24/2023,2394.3,2390.2,2402.4,2390.2,
11/23/2023,2395.15,2387.75,2401.25,2387.75,
11/22/2023,2387.75,2372.7,2394.75,2372.4,
11/21/2023,2378.5,2362.05,2387.65,2359.4,
11/20/2023,2349.3,2349,2358,2336.85,
11/17/2023,2355.85,2357.35,2373,2353,
11/16/2023,2363.35,2349.95,2373.7,2346.8,
11/15/2023,2356.9,2335.5,2362.35,2326.8,
11/13/2023,2314.3,2325,2325,2311.65,
11/12/23,2330.9,2329.7,2332.55,2324.1,
11/10/23,2314.3,2308,2317,2298.15,
11/09/23,2310.65,2330.55,2336.55,2305,
11/08/23,2336.6,2333.7,2341,2322.6,
11/07/23,2324.2,2337.75,2339.45,2320,
11/06/23,2339.05,2334.95,2340,2326.05,
11/03/23,2319.05,2328.65,2335,2314.9,
11/02/23,2319.85,2309,2324,2306.5,
11/01/23,2296.65,2289.9,2317.5,2275.25,
10/31/2023,2288.55,2332.95,2332.95,2282.8,
10/30/2023,2311.35,2283.95,2324.6,2272,
10/27/2023,2265.25,2242,2274.05,2236.05,
10/26/2023,2226.2,2257.95,2258,2221.05,
10/25/2023,2258,2252.95,2281.5,2242.4,
10/23/2023,2262.65,2292,2306.7,2254.25,
10/20/2023,2299.15,2302.45,2314.8,2296.05,
10/19/2023,2305.55,2314.95,2321.4,2301.55,
10/18/2023,2323.6,2355.25,2367.15,2320.2,
10/17/2023,2355.6,2352.45,2360,2342,
10/16/2023,2342.9,2348,2354,2336,
10/13/2023,2350.7,2342.9,2358,2330,
10/12/23,2348.85,2347.65,2359,2338.05,
10/11/23,2345,2314.9,2349.5,2314,
10/10/23,2308.55,2305.05,2317.9,2303.45,
10/09/23,2297.75,2309.95,2312.55,2295,
10/06/23,2317.9,2322.95,2325,2312,
