Date,Price,Open,High,Low,,
12/29/2023,1260,1264.05,1272,1252.65,,
12/28/2023,1262,1253.15,1264,1249.8,,
12/27/2023,1251.75,1250,1255.45,1241.35,,
12/26/2023,1246.35,1243.75,1249.75,1240,,
12/22/2023,1243.75,1238.8,1251,1236.95,,
12/21/2023,1232.4,1225.4,1236.75,1209,,
12/20/2023,1231.65,1247.95,1254.1,1228.85,,
12/19/2023,1245.5,1267.95,1267.95,1236.95,,
12/18/2023,1251.55,1238.8,1267.9,1235,,
12/15/2023,1236.4,1231.6,1246.55,1231.6,,
12/14/2023,1231.5,1237.7,1240.1,1224.5,,
12/13/2023,1232.75,1226.2,1239,1212.5,,
12/12/23,1217.7,1252.65,1252.65,1212.35,,
12/11/23,1241.3,1237.5,1246.15,1217.7,,
12/08/23,1235.5,1237.3,1246.95,1230.15,,
12/07/23,1239.75,1234.75,1241.75,1229.1,,
12/06/23,1239.95,1249.95,1257.4,1233.05,,
12/05/23,1240.1,1231.4,1242,1221.1,,
12/04/23,1231.45,1232.05,1239.65,1220.7,,
12/01/23,1231.25,1238.95,1241.5,1224.5,,
11/30/2023,1227.15,1198.95,1231.55,1198.4,,
11/29/2023,1200.85,1189.1,1208,1185.25,,
11/28/2023,1191.4,1195.05,1200.2,1189.25,,
11/24/2023,1196.4,1200,1209.75,1192.4,,
11/23/2023,1198.7,1204.25,1209.9,1195.45,,
11/22/2023,1204.3,1206.85,1214.9,1199.1,,
11/21/2023,1201.75,1180.1,1205,1180.1,,
11/20/2023,1187.7,1199.95,1199.95,1185.65,,
11/17/2023,1194.55,1190,1198.9,1188.55,,
11/16/2023,1189.75,1175.05,1194.7,1175.05,,
11/15/2023,1180.8,1176.05,1184.35,1171.35,,
11/13/2023,1177.25,1175.3,1187.1,1173.85,,
11/12/23,1178.55,1182,1187.45,1178.55,,
11/10/23,1179.3,1175.95,1181.25,1170.1,,
11/09/23,1176.7,1176.3,1183.6,1167.05,,
11/08/23,1176.1,1177.75,1182.95,1172,,
11/07/23,1171.65,1150,1175,1148.3,,
11/06/23,1149.55,1149.95,1151,1141,,
11/03/23,1140.75,1139.95,1146.1,1134.7,,
11/02/23,1131.9,1130.8,1137.45,1110.85,,
11/01/23,1116.15,1091.65,1120.3,1082.8,,
10/31/2023,1088.7,1115.05,1118,1069,,
10/30/2023,1115.3,1113,1118.7,1104,,
10/27/2023,1111.35,1113.45,1119.3,1108.45,,
10/26/2023,1103.45,1107.7,1117.5,1097.55,,
10/25/2023,1120.45,1126.15,1128.7,1112.7,,
10/23/2023,1122.2,1142.3,1146.05,1118.6,,
10/20/2023,1142.35,1141.65,1145.25,1133.3,,
10/19/2023,1140.3,1149.75,1149.85,1135,,
10/18/2023,1152.55,1137.3,1161.75,1134,,
10/17/2023,1135.9,1139.95,1143.55,1133.85,,
10/16/2023,1134.9,1144.7,1147.25,1134,,
10/13/2023,1145.6,1129.75,1147.45,1121.75,,
10/12/23,1130.55,1137.95,1137.95,1122,,
10/11/23,1128.6,1126.45,1134.1,1122.8,,
10/10/23,1126.2,1110.05,1130,1110.05,,
10/09/23,1123.2,1104.8,1133.5,1104.8,,
10/06/23,1126.9,1126.05,1130.8,1123.3,,
10/05/23,1119.9,1127.65,1128,1112,,
10/04/23,1121.75,1139.95,1139.95,1113.05,,
10/03/23,1141.95,1160.95,1160.95,1139.2,,
09/29/2023,1159.1,1148,1167,1135.5,,
09/28/2023,1132.15,1149.85,1152,1129.45,,
09/27/2023,1140.1,1125.85,1146.15,1124.5,,
09/26/2023,1124.75,1127.65,1130,1118.4,,
09/25/2023,1124.05,1127.6,1135,1122,,
