Date,Price,Open,High,Low,,
12/29/2023,3675.95,3719.75,3719.75,3660.45,,
12/28/2023,3716.45,3700,3736.3,3680.6,,
12/27/2023,3688.55,3669,3695,3645.45,,
12/26/2023,3655.75,3627.35,3665.9,3627,,
12/22/2023,3624.25,3583.65,3638.25,3561.95,,
12/21/2023,3579.5,3520.5,3597.65,3520.4,,
12/20/2023,3553.05,3620.1,3651,3540.7,,
12/19/2023,3612,3618.5,3628,3600,,
12/18/2023,3618.55,3600.75,3666,3593.05,,
12/15/2023,3600.75,3613.1,3616.5,3585.65,,
12/14/2023,3591.05,3605.6,3648.7,3583.85,,
12/13/2023,3602.4,3573.8,3609.5,3554,,
12/12/23,3568.75,3639.95,3643.2,3561.55,,
12/11/23,3630.9,3638.2,3644.8,3598,,
12/08/23,3634.7,3578.5,3646.75,3573.9,,
12/07/23,3585.65,3559.95,3595,3520.05,,
12/06/23,3546.8,3545.05,3572,3536.1,,
12/05/23,3546.3,3499.7,3550,3478.35,,
12/04/23,3487.7,3515.05,3549.65,3478.3,,
12/01/23,3488.55,3507.95,3507.95,3470,,
11/30/2023,3491.95,3439.85,3499.65,3425,,
11/29/2023,3427.25,3455,3470,3423.6,,
11/28/2023,3442.05,3410.05,3445.6,3397,,
11/24/2023,3398.6,3407.25,3418.8,3383.3,,
11/23/2023,3407,3434.3,3441.75,3396.55,,
11/22/2023,3429.65,3424.95,3434,3400,,
11/21/2023,3394.15,3355.2,3400,3355.2,,
11/20/2023,3345.85,3359.95,3359.95,3312.35,,
11/17/2023,3338.25,3336,3365.95,3327,,
11/16/2023,3335.4,3299.95,3357.85,3260,,
11/15/2023,3296.3,3260,3301.05,3260,,
11/13/2023,3264.75,3270.05,3278.05,3251.45,,
11/12/23,3280,3318.95,3318.95,3272.05,,
11/10/23,3256.35,3264.95,3272,3230,,
11/09/23,3284.45,3315.55,3319.95,3275.45,,
11/08/23,3311.2,3298.95,3323.45,3272.7,,
11/07/23,3270.55,3299.95,3299.95,3250.25,,
11/06/23,3266.45,3338,3338,3247.25,,
11/03/23,3272.55,3214,3286.7,3210,,
11/02/23,3201.3,3191.75,3228.5,3181,,
11/01/23,3173.85,3198,3213.5,3169.55,,
10/31/2023,3188.75,3116.9,3204.1,3088,,
10/30/2023,3116.9,3111.65,3121.55,3075,,
10/27/2023,3120.2,3094,3139.8,3086.4,,
10/26/2023,3100.6,3155.6,3180.45,3093.85,,
10/25/2023,3188.7,3219.95,3235.95,3178.3,,
10/23/2023,3220.35,3250,3275.25,3209.7,,
10/20/2023,3265.85,3278.5,3291.15,3243.85,,
10/19/2023,3284.3,3280,3300,3240.1,,
10/18/2023,3283.05,3312.95,3323.15,3278.2,,
10/17/2023,3309.6,3311.05,3327.4,3303.65,,
10/16/2023,3300.1,3284,3328,3279.25,,
10/13/2023,3284,3289.95,3305.05,3266.45,,
10/12/23,3284.3,3280.55,3294.55,3262.9,,
10/11/23,3279.7,3290,3295,3263.75,,
10/10/23,3267.85,3296,3299,3259.55,,
10/09/23,3266.75,3308.95,3308.95,3250,,
10/06/23,3311.15,3225,3319.15,3225,,
10/05/23,3215.4,3190,3229.45,3166.7,,
10/04/23,3166.7,3196.85,3206.35,3151,,
10/03/23,3196.85,3148.8,3212.95,3112.95,,
09/29/2023,3149.6,3174.95,3176,3142.9,,
09/28/2023,3160.55,3249.2,3249.2,3141.3,,
09/27/2023,3213.9,3250,3267.55,3187,,
09/26/2023,3262.3,3283,3307.85,3256.25,,
09/25/2023,3286.8,3273.1,3315.35,3262.4,,
09/22/2023,3273.1,3302.45,3302.45,3262,,
09/21/2023,3302.45,3301,3322,3286,,
09/20/2023,3307.25,3323.2,3349,3298.9,,
09/18/2023,3339.2,3250.5,3351.55,3245.45,,
09/15/2023,3250.45,3255.05,3264.7,3239.05,,
09/14/2023,3260.65,3280,3299.7,3240.5,,
09/13/2023,3262.85,3184.2,3269,3182.25,,
09/12/23,3185.9,3210.5,3220,3177.85,,
09/11/23,3213.1,3200.45,3221,3189,,
09/08/23,3199.35,3175,3205.3,3174.45,,
09/07/23,3172.3,3165.05,3180,3151.25,,
09/06/23,3175.25,3137.95,3181.35,3125,,
09/05/23,3135.95,3110.05,3156.9,3110.05,,
09/04/23,3099.25,3116,3125,3086.4,,
09/01/23,3115.95,3112,3124.45,3100,,
08/31/2023,3107.15,3078.4,3117.6,3078.4,,
08/30/2023,3078.35,3079,3110,3066.1,,
08/29/2023,3079,3050,3089,3045,,
08/28/2023,3049.3,3067.05,3075.1,3041.9,,
08/25/2023,3066.25,3059.95,3073.15,3038.85,,
08/24/2023,3059.5,3079.95,3099,3057,,
08/23/2023,3068,3070.05,3083.8,3056.85,,
08/22/2023,3075.1,3078.65,3090,3040.5,,
08/21/2023,3078.6,3050,3081.2,3049.95,,
08/18/2023,3049.15,3072.4,3079,3036,,
08/17/2023,3072.4,3016,3078.8,3012.1,,
08/16/2023,3009.35,3010.65,3015.6,2980.95,,
08/14/2023,3009.75,3025,3025,2989.35,,
08/11/23,3015.85,2990,3066,2981,,
08/10/23,2989.6,2960,2996,2916.7,,
08/09/23,2955.4,2923.05,2962.9,2919.95,,
08/08/23,2920.8,2910,2931,2905.05,,
08/07/23,2904.95,2905,2916,2882.6,,
08/04/23,2903.6,2949.95,2949.95,2900,,
08/03/23,2902.3,2940,2986.1,2883.3,,
08/02/23,2978.45,3001.15,3006.8,2961,,
08/01/23,3001.1,3010.05,3027,2989,,
07/31/2023,3005.8,2960,3017,2955,,
07/28/2023,2988.2,3000.7,3003.7,2952,,
07/27/2023,3000.65,3002.05,3024.4,2983.2,,
07/26/2023,3008.5,3038.25,3040,2995.2,,
07/25/2023,3029.45,2961.05,3032.7,2961.05,,
07/24/2023,2978.85,2970.05,2992.35,2951.15,,
07/21/2023,2975.8,2986,3004.25,2970.2,,
07/20/2023,2988.35,3013.95,3015,2967.1,,
07/19/2023,2996.45,3003.2,3015,2987,,
07/18/2023,2995.15,3031,3034.95,2965.3,,
07/17/2023,3034,3068.05,3076.9,3022,,
07/14/2023,3055.4,3071.05,3096.35,3043,,
07/13/2023,3085.35,3119,3119,3078.95,,
07/12/23,3095.45,3109,3125,3088,,
07/11/23,3088.35,3054.15,3096,3044.8,,
07/10/23,3044.1,3152.05,3152.5,3031,,
07/07/23,3144.75,3149,3211.1,3130,,
07/06/23,3105.7,3095.05,3111.95,3081.35,,
07/05/23,3100.05,3089.85,3113.7,3063.1,,
07/04/23,3074.6,3049.95,3090.95,3039.05,,
07/03/23,3037.85,3049,3053.05,3027,,
06/30/2023,3048.6,3037,3067.7,3029.05,,
06/28/2023,3024.95,2980,3044,2980,,
06/27/2023,2976.2,2972.55,2992.25,2941.35,,
06/26/2023,2972.55,2930.05,2980,2930.05,,
06/23/2023,2939.15,2950.05,2983.75,2932.15,,
06/22/2023,2968.55,2999.9,2999.9,2955.25,,
06/21/2023,2969.75,2988.95,2988.95,2958.95,,
06/20/2023,2968.8,2971.05,2987.35,2947.65,,
06/19/2023,2969.55,2963,3023.8,2963,,
06/16/2023,2954.15,2924.6,2960,2919.75,,
06/15/2023,2905.6,2919.95,2923.65,2900.3,,
06/14/2023,2905.25,2912.5,2944,2896.7,,
06/13/2023,2912.4,2861.2,2917,2856.35,,
06/12/23,2853.2,2880.05,2883.05,2834,,
06/09/23,2876.85,2876.85,2919.95,2862.65,,
06/08/23,2876.8,2914.95,2922.15,2870.35,,
06/07/23,2904.65,2894,2910,2870.8,,
06/06/23,2881.15,2856.05,2893.15,2856.05,,
06/05/23,2854.8,2870,2875,2840,,
06/02/23,2859.6,2826.7,2871.5,2826.7,,
06/01/23,2826.7,2821,2836.1,2815.55,,
05/31/2023,2822.4,2797.45,2832.95,2789.8,,
05/30/2023,2801.85,2836.6,2840.6,2796.85,,
05/29/2023,2810.05,2742,2820.05,2742,,
05/26/2023,2741.95,2705,2759,2700,,
05/25/2023,2704.45,2731,2731,2681.3,,
05/24/2023,2707,2678,2722.05,2669.25,,
05/23/2023,2682.9,2701.1,2727.4,2678,,
05/22/2023,2713.1,2690.05,2733.45,2690.05,,
05/19/2023,2702.6,2705.05,2716.25,2683.95,,
05/18/2023,2720.65,2780,2780,2717,,
05/17/2023,2762.5,2775.05,2789.95,2748.6,,
05/16/2023,2790.95,2779.2,2800,2777.45,,
05/15/2023,2779.2,2769.8,2801,2745.7,,
05/12/23,2773.25,2745.4,2785,2745.4,,
05/11/23,2757,2758.9,2765,2744.55,,
05/10/23,2744.55,2755,2765,2735.1,,
05/09/23,2748.8,2759.95,2789.5,2738.75,,
05/08/23,2750.45,2728.05,2770,2728.05,,
05/05/23,2734.95,2675,2765,2666.55,,
05/04/23,2669.7,2675.1,2693,2656.6,,
05/03/23,2654.35,2670,2683,2645,,
05/02/23,2661.15,2645.05,2674.75,2636,,
04/28/2023,2640.4,2663.5,2679.3,2620.05,,
04/27/2023,2659.55,2642,2674.65,2633.2,,
04/26/2023,2640.65,2630,2646,2626,,
04/25/2023,2633.65,2630,2636,2615.15,,
04/24/2023,2627.65,2570,2635,2570,,
04/21/2023,2568.35,2578.5,2596,2559.3,,
04/20/2023,2578.5,2593.25,2617.7,2573.9,,
04/19/2023,2566.05,2599.65,2599.65,2561.6,,
04/18/2023,2576.4,2607.95,2607.95,2561,,
04/17/2023,2605.6,2583.9,2612.45,2583,,
04/13/2023,2583.9,2587.1,2599.9,2577.55,,
04/12/23,2587.1,2580,2593.45,2564.15,,
04/11/23,2580.55,2576.05,2603.65,2576,,
04/10/23,2583.25,2565,2602.1,2560.05,,
04/06/23,2548.75,2585,2589.65,2545,,
04/05/23,2572.7,2550,2581.2,2550,,
04/03/23,2537.45,2513.05,2543.95,2513.05,,
03/31/2023,2515.1,2516.55,2534.35,2500,,
03/29/2023,2516.35,2485.05,2525,2485.05,,
03/28/2023,2499.65,2494.95,2507.05,2494.4,,
03/27/2023,2494.9,2475,2510,2467.45,,
03/24/2023,2492.95,2517.95,2518.15,2474.2,,
03/23/2023,2517.95,2503.05,2526.95,2494,,
03/22/2023,2507.7,2516.05,2523.25,2494.95,,
03/21/2023,2514,2499.9,2520.6,2467.85,,
03/20/2023,2461.15,2455.9,2474.9,2442.35,,
03/17/2023,2455.9,2463,2473.75,2448,,
03/16/2023,2451,2414.05,2481.95,2412.85,,
03/15/2023,2398.05,2383.95,2413.3,2382.1,,
03/14/2023,2356.55,2335.05,2391.95,2328.45,,
03/13/2023,2334.75,2374,2377.7,2320,,
03/10/23,2375.35,2360,2380.2,2337.6,,
03/09/23,2369.55,2408.95,2408.95,2365,,
03/08/23,2396.7,2401.95,2401.95,2372,,
03/06/23,2404.15,2406.05,2425.95,2391.3,,
03/03/23,2396.2,2361.05,2401.5,2358.8,,
03/02/23,2359.6,2375.1,2391.55,2352,,
03/01/23,2382.2,2364.35,2396.2,2364.35,,
02/28/2023,2374.2,2408.95,2424.65,2365,,
02/27/2023,2401.15,2392.1,2411.2,2374,,
02/24/2023,2399.65,2395.05,2414,2378,,
02/23/2023,2394.6,2426,2430,2380,,
02/22/2023,2424.45,2444.05,2462.8,2414.55,,
02/21/2023,2464.05,2475.1,2485.45,2450.95,,
02/20/2023,2474.5,2500.8,2507,2466.95,,
02/17/2023,2500.8,2519.95,2545.5,2496.4,,
02/16/2023,2522.1,2530,2545.5,2518.9,,
02/15/2023,2524.1,2506.9,2528.35,2484.55,,
02/14/2023,2506.9,2527.9,2530.95,2481,,
02/13/2023,2519.45,2472,2524,2472,,
02/10/23,2468.3,2460,2472.2,2442.75,,
02/09/23,2462.15,2465.1,2475.75,2451.55,,
02/08/23,2465.1,2450,2479.9,2447.25,,
02/07/23,2448.2,2452.05,2458.25,2433,,
02/06/23,2457.85,2470.05,2479.45,2446.25,,
02/03/23,2463.2,2315.05,2470,2315.05,,
02/02/23,2304.95,2345.95,2385,2268.9,,
02/01/23,2347.15,2411.5,2411.5,2301.1,,
01/31/2023,2377.45,2350,2386.05,2336.1,,
01/30/2023,2335.45,2329,2343.25,2286.95,,
01/27/2023,2331.75,2360,2367,2303,,
01/25/2023,2356.45,2367,2368.75,2335,,
01/24/2023,2371.55,2370,2390,2364,,
01/23/2023,2365.75,2380,2383,2356,,
01/20/2023,2371.9,2380.05,2397.25,2353,,
01/19/2023,2385.35,2400,2410.05,2368.75,,
01/18/2023,2423.95,2408.55,2429.95,2408.55,,
01/17/2023,2408.5,2401.1,2418.25,2385,,
01/16/2023,2405.8,2435.75,2435.75,2392.2,,
01/13/2023,2417.65,2450.05,2453.05,2401,,
01/12/23,2445.65,2459.95,2474.55,2432.5,,
01/11/23,2437.6,2467.35,2488.8,2431.1,,
01/10/23,2467.3,2494.4,2498.75,2456.55,,
01/09/23,2483.2,2539,2539,2470.7,,
01/06/23,2536.95,2568.5,2584.1,2517.45,,
01/05/23,2563.1,2595,2620,2545,,
