Date,Price,Open,High,Low,Vol.,Change %
12/29/2023,21731.40,21737.65,21770.30,21676.90,270.92B,-0.22%
12/28/2023,21778.70,21715.00,21801.45,21678.00,393.08B,0.57%
12/27/2023,21654.75,21497.65,21675.75,21495.80,256.54B,1.00%
12/26/2023,21441.35,21365.20,21477.15,21329.45,219.47B,0.43%
12/22/2023,21349.40,21295.85,21390.50,21232.45,284.71B,0.44%
12/21/2023,21255.05,21033.95,21288.35,20976.80,277.55B,0.50%
12/20/2023,21150.15,21543.50,21593.00,21087.35,363.89B,-1.41%
12/19/2023,21453.10,21477.65,21505.05,21337.75,249.75B,0.16%
12/18/2023,21418.65,21434.80,21482.80,21365.35,249.67B,-0.18%
12/15/2023,21456.65,21287.45,21492.30,21235.30,508.76B,1.29%
12/14/2023,21182.70,21110.40,21210.90,21074.45,334.41B,1.23%
12/13/2023,20926.35,20929.75,20950.00,20769.50,260.27B,0.10%
12/12/23,20906.40,21018.55,21037.90,20867.15,244.87B,-0.43%
12/11/23,20997.10,20965.30,21026.10,20923.70,212.92B,0.13%
12/08/23,20969.40,20934.10,21006.10,20862.70,292.44B,0.33%
12/07/23,20901.15,20932.40,20941.25,20850.80,274.99B,-0.17%
12/06/23,20937.70,20950.75,20961.95,20852.15,359.21B,0.40%
12/05/23,20855.10,20808.90,20864.05,20711.15,421.01B,0.81%
12/04/23,20686.80,20601.95,20702.65,20507.75,381.11B,2.07%
12/01/23,20267.90,20194.10,20291.55,20183.70,265.81B,0.67%
11/30/2023,20133.15,20108.50,20158.70,20015.85,486.59B,0.18%
11/29/2023,20096.60,19976.55,20104.65,19956.30,236.24B,1.04%
11/28/2023,19889.70,19844.65,19916.85,19800.00,229.60B,0.48%
11/24/2023,19794.70,19809.60,19832.85,19768.85,145.90B,-0.04%
11/23/2023,19802.00,19828.45,19875.15,19786.75,170.02B,-0.05%
11/22/2023,19811.85,19784.00,19825.55,19703.85,184.50B,0.14%
11/21/2023,19783.40,19770.90,19829.10,19754.05,194.97B,0.45%
11/20/2023,19694.00,19731.15,19756.45,19670.50,173.78B,-0.19%
11/17/2023,19731.80,19674.75,19806.00,19667.45,236.83B,-0.17%
11/16/2023,19765.20,19674.70,19875.25,19627.00,282.69B,0.46%
11/15/2023,19675.45,19651.40,19693.20,19579.65,291.47B,1.19%
11/13/2023,19443.55,19486.75,19494.40,19414.75,189.28B,-0.42%
11/12/23,19525.55,19547.25,19547.25,19510.25,37.31B,0.52%
11/10/23,19425.35,19351.85,19451.30,19329.45,152.22B,0.15%
11/09/23,19395.30,19457.40,19463.90,19378.35,208.42B,-0.25%
11/08/23,19443.50,19449.60,19464.40,19401.50,194.97B,0.19%
11/07/23,19406.70,19404.05,19423.50,19329.10,198.66B,-0.03%
11/06/23,19411.75,19345.85,19423.00,19309.70,180.69B,0.94%
11/03/23,19230.60,19241.00,19276.25,19210.90,189.52B,0.51%
11/02/23,19133.25,19120.00,19175.25,19064.15,245.60B,0.76%
11/01/23,18989.15,19064.05,19096.05,18973.70,194.10B,-0.47%
10/31/2023,19079.60,19232.95,19233.70,19056.45,206.05B,-0.32%
10/30/2023,19140.90,19053.40,19158.50,18940.00,180.13B,0.49%
10/27/2023,19047.25,18928.75,19076.15,18926.65,205.20B,1.01%
10/26/2023,18857.25,19027.25,19041.70,18837.85,300.36B,-1.39%
10/25/2023,19122.15,19286.45,19347.30,19074.15,225.29B,-0.83%
10/23/2023,19281.75,19521.60,19556.85,19257.85,176.04B,-1.34%
10/20/2023,19542.65,19542.15,19593.80,19518.70,198.34B,-0.42%
10/19/2023,19624.70,19545.20,19681.80,19512.35,230.31B,-0.24%
10/18/2023,19671.10,19820.45,19840.95,19659.95,198.94B,-0.71%
10/17/2023,19811.50,19843.20,19849.75,19775.65,185.85B,0.40%
10/16/2023,19731.75,19737.25,19781.30,19691.85,180.96B,-0.10%
10/13/2023,19751.05,19654.55,19805.40,19635.30,254.96B,-0.22%
10/12/23,19794.00,19822.70,19843.30,19772.65,217.90B,-0.09%
10/11/23,19811.35,19767.00,19839.20,19756.95,213.73B,0.62%
10/10/23,19689.85,19565.60,19717.80,19565.45,216.56B,0.91%
10/09/23,19512.35,19539.45,19588.95,19480.50,165.09B,-0.72%
10/06/23,19653.50,19621.20,19675.75,19589.40,159.05B,0.55%
10/05/23,19545.75,19521.85,19576.95,19487.30,234.87B,0.56%
10/04/23,19436.10,19446.30,19457.80,19333.60,277.15B,-0.47%
