Date,Price,Open,High,Low,,
12/29/2023,5704.10,5740.00,5758.95,5677.30,,
12/28/2023,5760.50,5675.00,5770.00,5674.75,,
12/27/2023,5687.45,5635.00,5715.00,5615.60,,
12/26/2023,5633.15,5541.40,5645.00,5526.15,,
12/22/2023,5541.40,5510.00,5549.00,5462.70,,
12/21/2023,5475.85,5344.00,5553.00,5284.85,,
12/20/2023,5402.20,5555.50,5605.80,5375.10,,
12/19/2023,5555.50,5508.80,5675.35,5503.70,,
12/18/2023,5498.65,5550.50,5607.75,5494.00,,
12/15/2023,5551.20,5530.00,5588.00,5500.00,,
12/14/2023,5515.90,5494.80,5532.95,5452.10,,
12/13/2023,5426.75,5402.95,5452.00,5369.40,,
12/12/23,5428.95,5550.00,5550.00,5403.20,,
12/11/23,5547.35,5550.00,5555.35,5490.00,,
12/08/23,5555.35,5495.00,5572.55,5439.05,,
12/07/23,5461.40,5490.25,5519.80,5441.50,,
12/06/23,5543.10,5534.15,5639.00,5508.75,,
12/05/23,5580.20,5610.00,5689.00,5525.00,,
12/04/23,5622.55,5626.00,5658.25,5569.60,,
12/01/23,5591.15,5550.00,5687.65,5530.35,,
11/30/2023,5528.95,5382.00,5550.00,5382.00,,
11/29/2023,5421.95,5372.10,5435.00,5364.50,,
11/28/2023,5366.80,5401.30,5424.85,5341.00,,
11/24/2023,5401.30,5493.00,5493.00,5395.00,,
11/23/2023,5493.95,5530.00,5550.00,5473.30,,
11/22/2023,5532.00,5467.00,5539.95,5439.15,,
11/21/2023,5466.80,5500.00,5520.30,5422.40,,
11/20/2023,5473.95,5475.00,5595.00,5455.05,,
11/17/2023,5478.95,5332.20,5493.35,5306.15,,
11/16/2023,5338.75,5224.00,5368.00,5201.75,,
11/15/2023,5224.95,5283.85,5295.00,5207.00,,
11/13/2023,5220.65,5250.00,5279.00,5200.20,,
11/12/23,5275.55,5300.00,5300.00,5265.05,,
11/10/23,5278.50,5300.00,5338.00,5218.65,,
11/09/23,5297.60,5147.50,5313.00,5122.05,,
11/08/23,5110.95,5135.00,5153.65,5087.45,,
11/07/23,5136.85,5150.00,5181.95,5121.05,,
11/06/23,5164.95,5141.05,5228.00,5127.50,,
11/03/23,5153.20,4950.75,5165.50,4937.05,,
11/02/23,4887.00,4837.80,4895.00,4810.20,,
11/01/23,4796.55,4835.00,4856.00,4790.00,,
10/31/2023,4819.90,4832.00,4899.65,4805.20,,
10/30/2023,4841.75,4840.00,4868.40,4783.05,,
10/27/2023,4830.20,4779.95,4860.55,4776.80,,
10/26/2023,4760.30,4859.90,4859.90,4726.00,,
10/25/2023,4859.90,4960.00,4971.35,4831.50,,
10/23/2023,4969.55,4977.00,5010.55,4944.15,,
10/20/2023,4977.55,4990.10,4999.95,4940.50,,
10/19/2023,4997.05,4977.25,5019.95,4935.15,,
10/18/2023,4977.25,5021.00,5039.95,4938.45,,
10/17/2023,5028.80,5050.00,5068.00,5012.20,,
10/16/2023,5021.70,5030.00,5049.45,4986.40,,
10/13/2023,5017.30,4988.95,5029.10,4933.75,,
10/12/23,4993.85,5092.80,5113.95,4871.70,,
10/11/23,5092.85,5072.95,5140.00,5065.00,,
