Date,Price,Open,High,Low,,
12/29/2023,6797.25,6729.95,6833.95,6666.00,,
12/28/2023,6703.30,6709.65,6738.65,6666.00,,
12/27/2023,6709.65,6470.00,6740.25,6465.20,,
12/26/2023,6464.55,6379.85,6475.00,6370.05,,
12/22/2023,6372.10,6288.00,6395.00,6264.25,,
12/21/2023,6246.35,6333.20,6345.00,6232.00,,
12/20/2023,6364.45,6434.00,6466.00,6350.00,,
12/19/2023,6419.00,6470.00,6470.25,6395.90,,
12/18/2023,6465.70,6275.20,6486.75,6262.15,,
12/15/2023,6275.20,6368.95,6402.10,6256.15,,
12/14/2023,6334.85,6325.00,6360.00,6284.20,,
12/13/2023,6316.10,6259.90,6329.00,6224.35,,
12/12/23,6254.20,6164.00,6299.95,6149.95,,
12/11/23,6138.40,6085.00,6145.00,6018.30,,
12/08/23,6075.70,6115.00,6120.00,6048.05,,
12/07/23,6093.60,6069.95,6154.45,6063.10,,
12/06/23,6069.95,6089.05,6096.00,5987.85,,
12/05/23,6140.10,6194.05,6194.05,6111.10,,
12/04/23,6201.70,6090.55,6217.70,6087.45,,
12/01/23,6046.05,6050.00,6090.00,6003.30,,
11/30/2023,6090.55,6095.00,6128.90,6031.00,,
11/29/2023,6069.95,6010.00,6096.40,5973.30,,
11/28/2023,5998.15,5969.80,6039.65,5912.00,,
11/24/2023,5930.30,5940.00,5960.00,5900.00,,
11/23/2023,5925.25,5800.00,5945.00,5783.10,,
11/22/2023,5751.55,5680.00,5764.90,5661.30,,
11/21/2023,5685.95,5640.50,5707.35,5640.00,,
11/20/2023,5650.15,5610.05,5675.95,5606.00,,
11/17/2023,5631.50,5556.90,5674.95,5479.35,,
11/16/2023,5550.90,5520.00,5583.30,5496.95,,
11/15/2023,5536.70,5525.00,5555.00,5461.10,,
11/13/2023,5425.20,5435.00,5439.80,5395.55,,
11/12/23,5442.55,5425.00,5454.00,5360.10,,
11/10/23,5392.05,5409.95,5427.05,5349.05,,
11/09/23,5418.90,5421.80,5455.00,5382.15,,
11/08/23,5397.60,5434.00,5435.25,5381.25,,
11/07/23,5419.00,5406.85,5445.00,5405.30,,
11/06/23,5406.85,5380.00,5427.50,5377.10,,
11/03/23,5368.95,5357.00,5377.05,5316.60,,
11/02/23,5318.40,5383.90,5392.85,5285.00,,
11/01/23,5344.35,5305.00,5449.50,5305.00,,
10/31/2023,5314.05,5340.00,5366.15,5292.60,,
10/30/2023,5308.90,5388.00,5397.75,5275.00,,
10/27/2023,5373.55,5265.00,5423.70,5265.00,,
10/26/2023,5259.35,5333.85,5347.45,5236.00,,
10/25/2023,5347.30,5385.00,5423.95,5332.30,,
10/23/2023,5405.40,5453.05,5493.40,5395.05,,
10/20/2023,5489.30,5450.00,5510.00,5436.90,,
10/19/2023,5482.60,5300.00,5495.00,5245.00,,
10/18/2023,5137.35,5150.00,5198.75,5125.65,,
10/17/2023,5141.25,5083.00,5150.00,5070.00,,
10/16/2023,5076.70,5035.00,5099.40,5032.00,,
