Date,Price,Open,High,Low,,
12/29/2023,5338.45,5260.55,5386.05,5238.65,,
12/28/2023,5282.00,5224.95,5338.65,5186.75,,
12/27/2023,5216.80,5242.00,5245.00,5160.00,,
12/26/2023,5235.95,5155.00,5244.50,5146.00,,
12/22/2023,5161.10,5075.00,5183.70,5050.05,,
12/21/2023,5059.60,4930.00,5113.30,4877.55,,
12/20/2023,4954.95,4920.00,5051.95,4916.00,,
12/19/2023,4911.25,4891.35,4927.45,4858.70,,
12/18/2023,4879.50,4913.85,4925.50,4837.05,,
12/15/2023,4913.90,4938.00,4969.85,4880.50,,
12/14/2023,4946.65,4932.20,4965.00,4897.00,,
12/13/2023,4919.30,4910.00,4928.00,4860.00,,
12/12/23,4903.05,4968.00,4971.45,4875.00,,
12/11/23,4944.15,4959.90,4974.50,4900.05,,
12/08/23,4942.20,5024.00,5060.00,4931.00,,
12/07/23,5016.00,5003.15,5025.00,4963.15,,
12/06/23,5003.15,4953.00,5022.70,4952.30,,
12/05/23,4948.40,4937.75,4975.00,4933.00,,
12/04/23,4937.75,4990.00,4994.95,4915.00,,
12/01/23,4970.75,4873.00,4984.00,4860.05,,
11/30/2023,4852.65,4815.00,4875.95,4797.50,,
11/29/2023,4803.65,4715.95,4832.10,4701.40,,
11/28/2023,4713.45,4632.25,4722.90,4626.00,,
11/24/2023,4644.15,4705.80,4715.00,4640.50,,
11/23/2023,4705.80,4699.00,4710.95,4678.95,,
11/22/2023,4694.20,4709.90,4712.85,4662.75,,
11/21/2023,4699.75,4730.00,4730.00,4665.00,,
11/20/2023,4712.00,4691.25,4739.45,4690.90,,
11/17/2023,4718.30,4703.00,4745.60,4690.10,,
11/16/2023,4702.10,4710.00,4729.00,4679.60,,
11/15/2023,4710.80,4723.00,4725.00,4667.40,,
11/13/2023,4696.35,4662.30,4703.15,4644.00,,
11/12/23,4676.60,4694.65,4699.00,4662.15,,
11/10/23,4681.95,4657.45,4685.85,4621.00,,
11/09/23,4652.10,4670.60,4685.50,4630.50,,
11/08/23,4670.60,4670.95,4686.50,4650.50,,
11/07/23,4655.20,4610.10,4670.00,4590.85,,
11/06/23,4623.60,4554.90,4628.15,4546.05,,
11/03/23,4539.55,4528.00,4582.40,4524.15,,
11/02/23,4527.25,4512.10,4568.80,4454.25,,
11/01/23,4397.30,4442.60,4456.00,4347.70,,
10/31/2023,4426.50,4460.10,4479.75,4401.90,,
10/30/2023,4461.60,4500.00,4508.70,4441.00,,
10/27/2023,4514.30,4512.00,4544.00,4491.00,,
10/26/2023,4507.80,4517.60,4524.80,4476.75,,
10/25/2023,4533.75,4470.00,4585.60,4470.00,,
10/23/2023,4530.60,4572.70,4600.00,4516.35,,
10/20/2023,4580.00,4603.00,4608.00,4558.75,,
10/19/2023,4602.45,4600.05,4616.00,4561.70,,
10/18/2023,4607.70,4605.00,4623.00,4586.25,,
10/17/2023,4600.35,4586.20,4609.90,4562.20,,
10/16/2023,4586.05,4559.95,4591.45,4555.00,,
10/13/2023,4574.70,4550.00,4582.00,4515.00,,
10/12/23,4560.75,4582.00,4591.60,4531.00,,
10/11/23,4554.95,4522.00,4568.95,4520.65,,
10/10/23,4529.95,4522.20,4541.95,4503.00,,
10/09/23,4522.50,4511.00,4535.00,4493.50,,
10/06/23,4538.45,4533.85,4549.45,4515.00,,
10/05/23,4533.90,4540.25,4548.20,4500.00,,
10/04/23,4532.50,4490.00,4540.00,4466.75,,
10/03/23,4495.45,4524.80,4553.25,4486.60,,
09/29/2023,4537.15,4555.00,4560.45,4501.55,,
09/28/2023,4524.55,4627.35,4634.30,4505.05,,
09/27/2023,4627.35,4601.20,4634.05,4569.00,,
09/26/2023,4600.15,4570.25,4609.00,4549.45,,
09/25/2023,4570.05,4574.05,4585.00,4510.55,,
09/22/2023,4564.65,4558.55,4572.00,4510.00,,
09/21/2023,4558.55,4520.00,4565.70,4478.00,,
09/20/2023,4527.40,4596.20,4597.00,4507.70,,
09/18/2023,4596.20,4540.00,4603.00,4520.00,,
09/15/2023,4532.85,4583.00,4589.25,4518.60,,
09/14/2023,4574.35,4619.00,4631.95,4552.65,,
09/13/2023,4608.25,4567.15,4630.45,4549.10,,
09/12/23,4567.15,4568.55,4574.40,4508.90,,
09/11/23,4568.55,4540.90,4574.00,4540.00,,
09/08/23,4540.50,4540.70,4548.60,4513.80,,
09/07/23,4530.70,4590.00,4590.40,4521.00,,
09/06/23,4569.15,4520.00,4590.00,4503.05,,
09/05/23,4514.95,4507.20,4539.00,4485.00,,
09/04/23,4507.20,4484.35,4511.00,4449.75,,
09/01/23,4484.35,4475.00,4491.95,4426.00,,
08/31/2023,4467.75,4564.90,4575.00,4442.00,,
08/30/2023,4550.80,4552.95,4558.55,4511.70,,
08/29/2023,4530.75,4510.95,4540.00,4486.10,,
08/28/2023,4510.95,4525.00,4525.80,4485.60,,
08/25/2023,4525.80,4544.60,4560.05,4506.20,,
08/24/2023,4542.80,4538.30,4559.50,4515.45,,
08/23/2023,4512.45,4555.00,4555.00,4484.70,,
08/22/2023,4511.65,4524.80,4524.95,4490.00,,
08/21/2023,4510.50,4555.95,4560.00,4498.50,,
08/18/2023,4535.05,4499.00,4554.80,4461.00,,
08/17/2023,4501.60,4498.50,4525.00,4472.30,,
08/16/2023,4498.50,4488.60,4512.55,4421.40,,
08/14/2023,4499.60,4519.70,4525.00,4455.00,,
08/11/23,4510.30,4540.00,4561.00,4489.65,,
08/10/23,4540.45,4601.00,4618.65,4531.30,,
08/09/23,4600.90,4619.90,4633.35,4575.00,,
08/08/23,4605.35,4632.75,4677.45,4596.05,,
08/07/23,4659.75,4751.00,4815.00,4618.20,,
08/04/23,4798.50,4790.00,4832.00,4766.65,,
08/03/23,4798.95,4809.95,4818.60,4770.00,,
08/02/23,4809.45,4839.00,4839.00,4770.00,,
08/01/23,4817.35,4825.10,4843.50,4750.10,,
07/31/2023,4793.95,4905.10,4910.40,4765.25,,
07/28/2023,4903.35,4904.00,4959.40,4851.00,,
07/27/2023,4873.40,4965.00,5016.00,4763.80,,
07/26/2023,4983.60,4900.00,4994.95,4880.00,,
07/25/2023,4885.60,5007.00,5007.00,4875.00,,
07/24/2023,4968.90,5047.00,5048.00,4944.20,,
07/21/2023,5047.00,5061.55,5108.95,5000.00,,
07/20/2023,5052.55,5070.00,5094.00,5016.05,,
07/19/2023,5065.90,5081.95,5144.00,5050.10,,
07/18/2023,5064.15,5150.00,5160.55,5052.00,,
07/17/2023,5143.45,5149.95,5199.00,5121.10,,
07/14/2023,5133.20,5118.00,5150.00,5085.10,,
07/13/2023,5090.35,5089.90,5148.00,5071.45,,
07/12/23,5073.90,5083.90,5114.85,5042.35,,
07/11/23,5083.90,5050.00,5157.20,5050.00,,
07/10/23,5031.85,5073.00,5099.45,4991.50,,
07/07/23,5054.50,5173.55,5189.55,5042.90,,
07/06/23,5173.55,5199.00,5270.35,5121.00,,
07/05/23,5096.10,5024.80,5115.40,4960.50,,
07/04/23,5010.15,5008.30,5024.90,4972.55,,
07/03/23,5008.30,5035.00,5048.60,4990.10,,
06/30/2023,5024.55,4990.20,5032.35,4955.05,,
06/28/2023,4992.15,4989.00,5019.95,4959.90,,
06/27/2023,4954.25,5000.55,5037.80,4949.15,,
06/26/2023,5009.20,4978.95,5022.00,4952.30,,
06/23/2023,4970.80,4972.05,4986.95,4945.30,,
06/22/2023,4987.05,5065.00,5071.90,4975.00,,
06/21/2023,5069.55,5070.60,5085.25,5045.65,,
06/20/2023,5056.45,5021.05,5062.50,5008.05,,
06/19/2023,5021.05,5050.00,5064.40,5002.30,,
06/16/2023,5044.70,4975.45,5058.60,4970.00,,
06/15/2023,4975.45,4950.00,5019.90,4914.30,,
06/14/2023,4941.65,4947.00,4977.00,4922.00,,
06/13/2023,4940.10,4904.95,4951.65,4892.30,,
06/12/23,4900.25,4899.00,4910.00,4865.00,,
06/09/23,4878.75,4886.30,4980.00,4836.10,,
06/08/23,4875.05,4901.90,4914.75,4856.50,,
06/07/23,4893.15,4715.00,4907.95,4715.00,,
06/06/23,4705.40,4682.60,4717.70,4673.05,,
06/05/23,4682.60,4659.90,4712.50,4657.05,,
06/02/23,4654.15,4637.00,4718.70,4635.35,,
06/01/23,4635.25,4655.00,4655.00,4587.55,,
05/31/2023,4657.05,4571.00,4683.30,4565.25,,
05/30/2023,4573.25,4583.00,4623.50,4563.00,,
05/29/2023,4575.25,4611.45,4625.10,4566.00,,
05/26/2023,4596.20,4582.00,4624.20,4563.15,,
05/25/2023,4563.30,4580.00,4705.45,4533.25,,
05/24/2023,4519.80,4538.20,4569.90,4501.35,,
05/23/2023,4521.65,4487.00,4581.55,4486.00,,
05/22/2023,4498.95,4500.00,4540.25,4485.00,,
05/19/2023,4499.85,4588.00,4593.10,4484.15,,
05/18/2023,4564.35,4650.00,4655.50,4558.00,,
05/17/2023,4631.90,4610.00,4639.20,4583.65,,
05/16/2023,4606.90,4632.00,4660.20,4565.00,,
05/15/2023,4630.85,4647.85,4679.00,4621.45,,
05/12/23,4616.50,4634.00,4675.00,4601.85,,
05/11/23,4635.15,4610.20,4652.00,4605.00,,
05/10/23,4604.95,4629.70,4667.80,4586.50,,
05/09/23,4595.15,4624.00,4633.25,4582.55,,
05/08/23,4598.40,4640.00,4700.00,4573.55,,
05/05/23,4626.00,4594.65,4636.95,4584.40,,
05/04/23,4587.05,4527.05,4596.00,4510.00,,
05/03/23,4527.10,4490.00,4548.00,4443.35,,
05/02/23,4511.05,4565.25,4605.75,4500.00,,
04/28/2023,4553.55,4415.95,4564.85,4408.65,,
04/27/2023,4415.85,4407.00,4429.35,4397.00,,
04/26/2023,4405.00,4400.00,4422.85,4370.80,,
04/25/2023,4402.55,4313.00,4411.00,4311.00,,
04/24/2023,4311.00,4327.80,4339.45,4297.00,,
04/21/2023,4327.80,4259.00,4335.00,4248.30,,
04/20/2023,4256.40,4295.00,4318.50,4246.30,,
04/19/2023,4293.85,4326.00,4326.00,4270.45,,
04/18/2023,4301.85,4350.95,4374.90,4290.00,,
04/17/2023,4338.60,4278.00,4405.00,4259.70,,
04/13/2023,4264.20,4239.00,4350.00,4222.55,,
04/12/23,4271.30,4277.35,4298.80,4263.00,,
04/11/23,4277.35,4266.40,4305.30,4258.25,,
04/10/23,4266.40,4299.80,4299.80,4243.00,,
04/06/23,4299.80,4327.80,4327.80,4288.30,,
04/05/23,4327.55,4334.00,4358.90,4295.00,,
04/03/23,4324.05,4344.00,4346.00,4282.35,,
03/31/2023,4322.15,4277.45,4333.80,4257.05,,
03/29/2023,4276.20,4205.00,4297.95,4198.95,,
03/28/2023,4200.00,4229.50,4229.50,4153.00,,
03/27/2023,4214.80,4224.05,4245.30,4198.80,,
03/24/2023,4199.95,4242.00,4242.00,4189.85,,
03/23/2023,4242.70,4250.00,4255.50,4196.75,,
03/22/2023,4244.45,4279.00,4279.00,4230.00,,
03/21/2023,4264.70,4355.00,4386.00,4260.00,,
03/20/2023,4331.85,4364.60,4366.60,4262.50,,
03/17/2023,4362.55,4325.95,4370.00,4305.60,,
03/16/2023,4311.20,4263.95,4320.00,4250.00,,
03/15/2023,4243.10,4315.00,4323.65,4237.60,,
03/14/2023,4292.95,4315.00,4343.90,4277.00,,
03/13/2023,4307.60,4309.00,4346.05,4290.00,,
03/10/23,4311.00,4307.40,4361.75,4282.75,,
03/09/23,4291.70,4339.65,4350.00,4275.20,,
03/08/23,4339.65,4319.85,4370.00,4305.75,,
03/06/23,4319.85,4389.00,4389.00,4279.90,,
03/03/23,4411.95,4400.00,4444.75,4380.40,,
03/02/23,4394.20,4390.00,4405.00,4343.05,,
03/01/23,4379.80,4439.00,4454.55,4355.15,,
02/28/2023,4461.75,4390.00,4475.25,4380.00,,
02/27/2023,4388.25,4428.55,4470.00,4375.00,,
02/24/2023,4442.55,4460.00,4495.55,4419.65,,
02/23/2023,4451.50,4490.00,4496.00,4424.80,,
02/22/2023,4484.50,4505.00,4540.90,4477.70,,
02/21/2023,4503.35,4454.95,4527.85,4450.60,,
02/20/2023,4453.80,4535.25,4545.00,4444.00,,
02/17/2023,4533.25,4570.00,4588.00,4514.80,,
02/16/2023,4572.00,4597.00,4617.90,4567.00,,
02/15/2023,4588.45,4599.85,4599.85,4530.20,,
02/14/2023,4599.85,4590.30,4624.00,4581.00,,
02/13/2023,4588.00,4600.00,4636.00,4579.00,,
02/10/23,4622.70,4660.00,4669.20,4597.05,,
02/09/23,4637.35,4594.85,4656.10,4575.15,,
02/08/23,4594.80,4604.95,4640.25,4578.00,,
02/07/23,4606.85,4639.00,4664.00,4596.70,,
02/06/23,4625.65,4605.00,4635.30,4600.00,,
02/03/23,4628.85,4590.00,4659.75,4570.10,,
02/02/23,4573.05,4518.95,4596.00,4370.00,,
02/01/23,4370.95,4329.90,4444.50,4326.85,,
01/31/2023,4317.60,4418.00,4418.00,4264.00,,
01/30/2023,4406.75,4396.50,4418.00,4320.00,,
01/27/2023,4380.40,4435.00,4439.00,4353.80,,
01/25/2023,4388.15,4384.00,4444.00,4360.00,,
01/24/2023,4396.05,4350.80,4408.95,4323.20,,
01/23/2023,4337.85,4330.00,4357.45,4319.15,,
01/20/2023,4318.95,4362.00,4362.00,4312.85,,
01/19/2023,4372.40,4379.80,4399.95,4357.10,,
01/18/2023,4393.70,4360.00,4422.00,4355.55,,
01/17/2023,4362.05,4309.00,4372.95,4291.75,,
01/16/2023,4309.60,4336.10,4346.45,4300.00,,
01/13/2023,4336.10,4304.00,4370.70,4287.45,,
01/12/23,4299.25,4319.30,4340.90,4284.00,,
01/11/23,4314.30,4326.00,4358.65,4298.00,,
01/10/23,4326.85,4360.00,4363.00,4317.30,,
01/09/23,4364.30,4380.00,4387.90,4336.20,,
01/06/23,4359.05,4313.20,4369.00,4310.00,,
01/05/23,4313.20,4235.00,4387.00,4235.00,,
01/04/23,4235.00,4254.95,4276.00,4216.35,,
01/03/23,4241.85,4255.10,4295.65,4206.30,,
01/02/23,4292.15,4379.95,4379.95,4275.10,,
12/30/2022,4307.45,4355.20,4374.95,4298.55,,
12/29/2022,4348.30,4375.00,4389.75,4296.55,,
12/28/2022,4385.95,4362.00,4407.45,4362.00,,
12/27/2022,4369.25,4380.70,4400.00,4350.00,,
12/26/2022,4375.35,4315.50,4399.90,4313.80,,
12/23/2022,4331.90,4375.15,4398.95,4324.10,,
12/22/2022,4391.45,4444.00,4446.35,4377.00,,
12/21/2022,4418.85,4509.05,4530.00,4406.15,,
12/20/2022,4509.05,4529.00,4533.95,4467.05,,
12/19/2022,4526.50,4455.00,4537.00,4423.50,,
12/16/2022,4444.70,4459.50,4477.15,4416.70,,
12/15/2022,4465.45,4428.30,4485.00,4412.00,,
12/14/2022,4409.70,4440.00,4446.00,4390.10,,
12/13/2022,4426.55,4452.00,4452.00,4410.00,,
12/12/22,4432.55,4419.05,4439.05,4384.00,,
12/09/22,4410.30,4402.00,4426.40,4384.20,,
12/08/22,4394.90,4393.55,4442.65,4384.20,,
12/07/22,4393.55,4424.35,4435.00,4383.35,,
12/06/22,4424.35,4398.90,4451.65,4382.05,,
12/05/22,4403.35,4422.85,4427.65,4370.00,,
12/02/22,4432.90,4400.00,4444.05,4380.30,,
12/01/22,4401.25,4364.55,4410.50,4335.35,,
11/30/2022,4362.30,4297.95,4387.90,4290.05,,
11/29/2022,4285.35,4225.00,4302.00,4225.00,,
11/28/2022,4213.05,4168.85,4229.30,4161.00,,
11/25/2022,4183.70,4212.00,4212.00,4148.30,,
11/24/2022,4191.20,4172.00,4209.55,4155.15,,
11/23/2022,4155.15,4160.00,4194.05,4139.50,,
11/22/2022,4157.60,4133.95,4164.25,4107.60,,
11/21/2022,4120.05,4118.00,4149.00,4095.10,,
11/18/2022,4106.05,4138.00,4138.00,4061.10,,
11/17/2022,4125.20,4120.00,4150.00,4105.15,,
11/16/2022,4131.50,4126.75,4145.00,4093.75,,
11/15/2022,4139.35,4124.50,4153.60,4083.25,,
11/14/2022,4103.95,4100.00,4153.50,4074.60,,
11/11/22,4098.65,4155.35,4177.00,4085.00,,
11/10/22,4134.65,4152.60,4189.65,4108.30,,
11/09/22,4175.35,4140.00,4237.00,4140.00,,
11/07/22,4139.25,3930.05,4190.00,3930.05,,
11/04/22,3804.20,3748.05,3814.95,3746.15,,
11/03/22,3748.05,3707.00,3760.55,3705.45,,
11/02/22,3723.95,3788.00,3794.40,3714.30,,
11/01/22,3788.00,3780.00,3808.60,3755.05,,
10/31/2022,3766.55,3788.00,3800.00,3739.35,,
10/28/2022,3777.70,3767.00,3792.00,3732.00,,
10/27/2022,3755.30,3714.00,3769.90,3701.30,,
10/25/2022,3713.10,3804.00,3804.90,3690.00,,
10/24/2022,3801.85,3799.00,3835.60,3712.00,,
10/21/2022,3792.70,3793.00,3814.55,3761.60,,
10/20/2022,3790.15,3763.00,3802.90,3747.65,,
10/19/2022,3768.50,3770.00,3789.50,3742.00,,
10/18/2022,3766.85,3796.60,3804.95,3748.60,,
10/17/2022,3777.70,3801.90,3801.90,3752.55,,
10/14/2022,3796.25,3800.10,3814.90,3769.25,,
10/13/2022,3784.60,3771.50,3794.00,3748.90,,
10/12/22,3763.00,3746.55,3774.40,3726.35,,
10/11/22,3727.90,3816.85,3820.70,3718.00,,
10/10/22,3797.85,3750.00,3812.00,3717.00,,
10/07/22,3785.65,3776.00,3795.00,3732.25,,
10/06/22,3767.55,3837.25,3847.65,3760.70,,
10/04/22,3818.15,3807.00,3826.65,3775.55,,
10/03/22,3768.95,3862.00,3878.20,3753.80,,
09/30/2022,3843.05,3870.00,3887.65,3820.05,,
09/29/2022,3864.50,3871.45,3873.00,3810.00,,
