Date,Price,Open,High,Low,
12/29/2023,4139.55,4176,4193.4,4111.55,
12/28/2023,4173.25,4064.3,4189,4054.15,
12/27/2023,4064.3,4064,4096.95,4022,
12/26/2023,4067.45,3949.95,4079,3935.1,
12/22/2023,3935.7,3870,3944,3850.15,
12/21/2023,3850.15,3775.05,3867.9,3752.05,
12/20/2023,3815.5,3854.45,3905.9,3788.75,
12/19/2023,3821.85,3912.8,3914.8,3799.95,
12/18/2023,3889.75,3900,3948.6,3884.35,
12/15/2023,3896.55,3939,3940,3886.15,
12/14/2023,3883.65,3878,3905.9,3838.5,
12/13/2023,3863.3,3740,3870,3734.8,
12/12/23,3747.15,3728,3793.95,3715.25,
12/11/23,3704.65,3715.75,3728.65,3683,
12/08/23,3715.75,3788,3802.1,3692.4,
12/07/23,3772.65,3780,3811.95,3761.3,
12/06/23,3761.05,3785.2,3825,3729.55,
12/05/23,3806.75,3798,3825,3779.1,
12/04/23,3797.1,3880,3880,3784,
12/01/23,3760,3860,3865,3740.35,
11/30/2023,3819.05,3800,3884.5,3782.2,
11/29/2023,3746.9,3635,3788.15,3625.7,
11/28/2023,3622,3560,3628,3555.05,
11/24/2023,3548.6,3568,3579.8,3532.75,
11/23/2023,3568,3419.95,3576,3419.95,
11/22/2023,3413.6,3387,3427.7,3368.8,
11/21/2023,3376.5,3354.95,3395,3330.05,
11/20/2023,3346.35,3357,3368,3315.6,
11/17/2023,3334.75,3289.7,3368.8,3280.05,
11/16/2023,3280.05,3186,3299,3178.1,
11/15/2023,3177.85,3144.95,3181.6,3130.1,
11/13/2023,3118.8,3102.1,3136.95,3102.1,
11/12/23,3113.85,3140,3140,3110.1,
11/10/23,3105.2,3173.85,3179.05,3095.15,
11/09/23,3173.9,3145,3196,3135,
11/08/23,3132.1,3160.3,3166.4,3126.85,
11/07/23,3130.25,3174.95,3181.2,3121.3,
11/06/23,3166.9,3110,3175.25,3095.7,
11/03/23,3089.4,3085,3110.2,3072.05,
11/02/23,3052.1,3139,3149.95,3041.5,
11/01/23,3092.45,3095.95,3144.65,3075.55,
10/31/2023,3088.35,3115.05,3139.6,3080.15,
10/30/2023,3110.35,3112.25,3128.55,3055,
10/27/2023,3112.2,3125.2,3152.9,3104.05,
10/26/2023,3111.95,3129,3130.05,3085,
10/25/2023,3140.85,3150,3171,3090,
10/23/2023,3149.85,3205.55,3232.75,3139.45,
10/20/2023,3211.25,3260,3265,3203.55,
10/19/2023,3265.85,3149.5,3275,3138.05,
10/18/2023,3153.15,3170,3184,3149,
10/17/2023,3172.95,3182.1,3187.55,3166.5,
10/16/2023,3161,3104,3174.3,3099.85,
10/13/2023,3098.45,3084,3119,3080.05,
10/12/23,3088.25,3116.95,3132.1,3064.95,
10/11/23,3100.85,3000,3111,2987.55,
10/10/23,2976.8,2975,3003.1,2966,
10/09/23,2955.1,3021.1,3049.95,2923.95,
10/06/23,3038,3040,3045,3022.5,
10/05/23,3016.65,3020,3048.85,2993.4,
10/04/23,2989.05,3015.95,3020,2976.05,
10/03/23,3015.6,3058,3064.9,2991.5,
09/29/2023,3057.25,2985.05,3070,2972.15,
09/28/2023,2970,3006.5,3018.2,2960.05,
09/27/2023,3006.35,3034,3034,3000,
09/26/2023,3034.35,2975,3039,2970.05,
