Date,Price,Open,High,Low,
12/29/2023,462.1,464.1,467.9,461.35,
12/28/2023,464.1,457.2,464.7,456.1,
12/27/2023,457.1,457,458.5,453.75,
12/26/2023,456.45,456.05,458.9,454.7,
12/22/2023,455.2,453,455.9,450.55,
12/21/2023,451.45,449,453.75,444.45,
12/20/2023,451,459,459.25,449.3,
12/19/2023,456.1,453.35,458,452.05,
12/18/2023,451.65,455,456,450.35,
12/15/2023,458.2,461.9,462.95,455,
12/14/2023,460.1,460,461,449.45,
12/13/2023,455.65,456.3,458.85,453.1,
12/12/23,453.1,454.2,460,452.35,
12/11/23,452.45,451.5,453.6,449.3,
12/08/23,449.15,459.95,461.6,448.5,
12/07/23,458.1,464.75,464.8,457.4,
12/06/23,463.25,453.9,464.5,452.1,
12/05/23,451.75,455,457.8,450.1,
12/04/23,454.05,455,456.4,451,
12/01/23,449.8,437.9,450.95,437.4,
11/30/2023,435.8,436.7,438.45,434.5,
11/29/2023,437.2,436,438.5,434.15,
11/28/2023,435.25,438,439,434.9,
11/24/2023,437.8,441,442.25,436.85,
11/23/2023,440.35,440.95,442.25,438.25,
11/22/2023,439.7,437,440.4,434.8,
11/21/2023,436.25,437.15,439.3,435.5,
11/20/2023,436.8,439.85,440.3,434.5,
11/17/2023,439.25,439.25,441.5,438.3,
11/16/2023,438.65,441.95,444.5,437.6,
11/15/2023,441.95,438.1,442.5,437.5,
11/13/2023,436,438.4,438.4,435,
11/12/23,438.45,438.85,439.2,438.15,
11/10/23,436.55,434.4,438,432.5,
11/09/23,434.4,437.8,438,433.9,
11/08/23,436.95,433.15,437.5,432.3,
11/07/23,432.7,434.9,434.9,432.15,
11/06/23,435.35,433.5,436.8,432.55,
11/03/23,433.25,432.8,434.4,431.1,
11/02/23,431.15,430.05,432.7,428.65,
11/01/23,428.1,430,431.1,425.5,
10/31/2023,428.4,430,433.35,427.9,
10/30/2023,430.45,434.55,437.15,428.35,
10/27/2023,433.75,434.35,436.8,432.2,
10/26/2023,434.35,429.55,436.6,429.55,
10/25/2023,432.7,436.9,438,427.05,
10/23/2023,435.9,438,439.95,433.1,
10/20/2023,438.3,445,449,437.35,
10/19/2023,450.4,449.75,454.9,446.85,
10/18/2023,451.65,454.25,458.2,451,
10/17/2023,453.45,449.8,454.5,449,
10/16/2023,448.95,448,451,446.2,
10/13/2023,448.35,449.85,451.8,447,
10/12/23,450.7,449.65,452.5,446.15,
10/11/23,448.25,447.2,449.45,444.8,
10/10/23,444.4,440.45,444.85,440.45,
10/09/23,440.45,440.95,443.2,437.25,
10/06/23,442.15,437.85,443.6,436.65,
10/05/23,436.05,440,440.5,435.05,
10/04/23,436.1,439.75,441.7,433.3,
10/03/23,439.75,441,442.9,439.25,
09/29/2023,444.4,442,445.6,439.2,
09/28/2023,440.75,449.95,449.95,439.6,
09/27/2023,449.15,442.45,449.8,438.8,
09/26/2023,442.45,443.6,444.5,439.7,
09/25/2023,442.6,443.1,444.8,438.35,
09/22/2023,443.1,447.5,448.4,442.25,
09/21/2023,447.5,452.8,453.55,444.5,
09/20/2023,452.95,451.7,455.1,449.55,
09/18/2023,452.05,448.35,454,446.2,
09/15/2023,448.35,448.05,452.1,447,
09/14/2023,449.95,455.9,455.9,447.15,
09/13/2023,453.5,452.2,457,451.1,
09/12/23,451.15,448.9,454.3,445.6,
09/11/23,447.2,446,448.1,442.65,
09/08/23,442.65,447.9,447.9,441.85,
09/07/23,445.9,448.8,449,444.6,
09/06/23,447.45,443.95,448.5,442,
09/05/23,443.1,438.9,444.5,438.5,
09/04/23,437.5,443.35,443.35,436.65,
09/01/23,441.05,440,445,438.3,
08/31/2023,439.7,443,444.9,436.1,
08/30/2023,442.8,441,444,440.5,
08/29/2023,440.1,442.95,444,439.2,
08/28/2023,441.4,445,446.85,441,
08/25/2023,443.35,450.9,451,442.05,
08/24/2023,450.9,450.6,453.5,449.3,
08/23/2023,450.45,455.6,455.65,448.6,
08/22/2023,454.25,449,455.15,447,
08/21/2023,447.8,442,448.5,441.35,
08/18/2023,441.65,441,443.35,438.5,
08/17/2023,441,450,450,440,
08/16/2023,450.25,451,457.4,448.2,
08/14/2023,449.2,448.75,451.25,445.05,
08/11/23,448.75,453.9,453.9,444.75,
08/10/23,451.75,458.9,459.3,449,
08/09/23,458.65,452.35,459.9,446.9,
08/08/23,452.35,457,457,451.05,
08/07/23,454.9,454.1,456.55,450.95,
08/04/23,454.95,456.3,461.4,454.25,
08/03/23,456.05,460.1,463.75,454.3,
08/02/23,460.1,464.6,464.8,458,
08/01/23,464.8,466,468.85,463.8,
07/31/2023,465.7,469,469.7,463.5,
07/28/2023,468.45,467.7,469.45,463.4,
07/27/2023,465.05,474.4,475.15,461.1,
07/26/2023,472.25,464.9,473,462.05,
07/25/2023,462.3,467.9,468.5,455.4,
07/24/2023,471.35,493.45,499.7,468.15,
07/21/2023,490.45,491.8,497.7,487,
07/20/2023,492.15,479.9,493.7,476.3,
07/19/2023,478.85,472.75,480.45,468.1,
07/18/2023,472.5,472.55,474.2,471,
07/17/2023,472.35,474.5,475.8,470.6,
07/14/2023,472.9,473,475,471.35,
07/13/2023,472,473.9,476.75,471,
07/12/23,472.3,477.75,477.75,470.45,
07/11/23,473.15,466,474.55,466,
07/10/23,465.85,470,470.9,463.7,
07/07/23,468.4,473,475.5,467.6,
07/06/23,473.9,477.35,477.4,470.5,
07/05/23,475.1,466.35,480.65,464.3,
07/04/23,466.35,465,468,459.8,
07/03/23,463.25,451.6,465.95,450.05,
06/30/2023,451.6,450,451.95,446.6,
06/28/2023,449.35,445,450.6,444.5,
06/27/2023,445.1,446.1,447.2,443.15,
06/26/2023,445.7,446.9,451.4,444,
06/23/2023,444.75,447.5,447.65,442.7,
06/22/2023,447.65,448,449.65,445.85,
06/21/2023,447.05,452,454.2,445.05,
06/20/2023,452.85,454.8,454.8,450.15,
06/19/2023,453.6,454.75,455.9,452.25,
06/16/2023,453.1,449,455.6,447.9,
06/15/2023,448.1,445,448.75,444.75,
06/14/2023,444.5,446.25,447.75,443.75,
06/13/2023,445.4,441,446.4,438.3,
06/12/23,436.95,440,440.95,433.85,
06/09/23,438.45,435.15,444.7,435.15,
06/08/23,442.9,445.7,445.75,441.9,
06/07/23,443.95,444,445.65,442.75,
06/06/23,442.8,440.8,443.6,440.4,
06/05/23,440.65,445,446.85,440.1,
06/02/23,443.4,440,444.9,439.8,
06/01/23,439.7,447,447,439,
05/31/2023,445.5,449.3,452,442.45,
05/30/2023,449.9,441,451.45,441,
05/29/2023,446.35,442.27,449.03,441.38,
05/26/2023,443.6,443.4,444.75,439.5,
05/25/2023,441.15,436.95,442.45,434.8,
05/24/2023,433.5,428.3,434.75,427,
05/23/2023,429.15,426,431.2,424.2,
05/22/2023,424.75,421.95,425.75,419.1,
05/19/2023,419.85,420.95,423.1,411.35,
05/18/2023,419.7,430,432.45,418.1,
05/17/2023,427.6,424.15,428.95,422.6,
05/16/2023,423.95,430,430,423.5,
05/15/2023,427.8,420,428.7,419.05,
05/12/23,420.45,420.4,422.7,416.05,
05/11/23,420.4,427.25,427.4,418.9,
05/10/23,425.35,423.95,426.35,422.2,
05/09/23,423.8,432.8,433.15,421.5,
05/08/23,431.45,431,433.45,429.35,
05/05/23,428.75,425.95,431.9,424.35,
05/04/23,424.6,425.3,427,424,
05/03/23,427.15,424,428.5,422.05,
05/02/23,424.45,426,427,421.2,
04/28/2023,425.55,418,428.25,413.7,
04/27/2023,416,412.2,417.4,411,
04/26/2023,412.25,412,413,409.05,
04/25/2023,411.55,408.7,413.55,407.4,
04/24/2023,408.7,410,410,404.2,
04/21/2023,408.25,400.3,409,399.05,
04/20/2023,400.3,400,402.65,397.7,
04/19/2023,398.75,396.05,401.35,396,
04/18/2023,398.5,400,402,397,
04/17/2023,400.15,392.9,402,392.9,
