Date,Price,Open,High,Low,,
12/29/2023,1542.90,1541.05,1559.45,1540.00,,
12/28/2023,1562.65,1568.95,1568.95,1555.00,,
12/27/2023,1567.10,1544.00,1570.00,1544.00,,
12/26/2023,1543.95,1535.00,1548.00,1523.00,,
12/22/2023,1562.90,1534.95,1566.00,1523.00,,
12/21/2023,1536.00,1521.25,1546.65,1521.25,,
12/20/2023,1536.40,1565.05,1583.50,1530.00,,
12/19/2023,1558.30,1570.10,1573.95,1543.25,,
12/18/2023,1564.35,1567.95,1593.00,1560.30,,
12/15/2023,1578.40,1523.05,1588.55,1521.00,,
12/14/2023,1501.45,1463.40,1511.00,1461.35,,
12/13/2023,1449.00,1476.00,1476.05,1433.15,,
12/12/23,1476.05,1477.50,1490.00,1467.65,,
12/11/23,1488.50,1490.00,1498.00,1482.00,,
12/08/23,1491.15,1470.40,1494.70,1466.25,,
12/07/23,1465.90,1472.85,1472.85,1461.80,,
12/06/23,1474.30,1456.75,1477.00,1451.05,,
12/05/23,1453.95,1465.80,1466.90,1442.00,,
12/04/23,1464.35,1460.45,1471.90,1449.30,,
12/01/23,1452.30,1459.90,1459.90,1446.15,,
11/30/2023,1455.15,1453.25,1460.65,1449.55,,
11/29/2023,1459.60,1451.10,1460.70,1449.80,,
11/28/2023,1442.70,1444.00,1445.00,1427.05,,
11/24/2023,1437.40,1445.55,1452.65,1433.85,,
11/23/2023,1449.25,1467.90,1467.90,1447.70,,
11/22/2023,1457.80,1436.20,1458.95,1436.20,,
11/21/2023,1439.00,1442.00,1450.00,1436.75,,
11/20/2023,1436.60,1442.00,1452.00,1433.65,,
11/17/2023,1437.55,1441.05,1451.00,1435.05,,
11/16/2023,1444.90,1416.10,1453.40,1410.60,,
11/15/2023,1410.50,1399.00,1414.00,1393.00,,
11/13/2023,1373.55,1379.85,1382.45,1370.85,,
11/12/23,1388.20,1380.05,1389.10,1380.05,,
11/10/23,1368.85,1369.95,1373.15,1361.00,,
11/09/23,1374.80,1395.90,1397.50,1370.05,,
11/08/23,1391.00,1405.00,1405.00,1386.45,,
11/07/23,1404.30,1400.00,1405.90,1394.85,,
11/06/23,1403.30,1393.90,1407.25,1390.80,,
11/03/23,1389.05,1380.05,1392.00,1377.75,,
11/02/23,1370.15,1370.00,1376.30,1361.65,,
11/01/23,1354.15,1373.05,1377.45,1351.65,,
10/31/2023,1368.40,1379.95,1381.15,1363.00,,
10/30/2023,1377.05,1380.35,1380.35,1363.10,,
10/27/2023,1380.35,1363.65,1385.00,1363.65,,
10/26/2023,1359.45,1355.05,1374.00,1353.10,,
10/25/2023,1370.05,1399.00,1402.55,1361.30,,
10/23/2023,1408.65,1425.60,1432.35,1405.25,,
10/20/2023,1427.25,1430.00,1438.50,1425.25,,
10/19/2023,1433.65,1426.10,1439.65,1426.10,,
10/18/2023,1440.55,1442.00,1454.00,1438.35,,
10/17/2023,1442.45,1440.25,1453.35,1438.05,,
10/16/2023,1434.15,1432.10,1443.60,1430.00,,
10/13/2023,1431.15,1405.00,1438.00,1400.00,,
10/12/23,1465.50,1491.90,1504.40,1452.00,,
10/11/23,1494.40,1497.00,1518.25,1481.45,,
10/10/23,1495.15,1483.90,1497.00,1469.10,,
10/09/23,1475.45,1464.90,1491.00,1462.20,,
10/06/23,1478.70,1469.50,1484.50,1463.30,,
10/05/23,1463.45,1452.00,1475.65,1450.20,,
10/04/23,1444.35,1425.00,1449.95,1418.20,,
10/03/23,1434.00,1436.05,1437.00,1420.30,,
09/29/2023,1435.45,1432.10,1446.80,1416.00,,
09/28/2023,1439.45,1467.90,1472.60,1435.00,,
09/27/2023,1467.00,1456.00,1469.60,1450.05,,
09/26/2023,1460.65,1479.15,1479.90,1459.00,,
09/25/2023,1474.15,1489.85,1489.85,1471.55,,
09/22/2023,1496.15,1491.90,1506.95,1485.20,,
09/21/2023,1501.75,1486.55,1504.55,1476.00,,
09/20/2023,1490.25,1476.20,1495.10,1476.20,,
09/18/2023,1491.80,1504.90,1504.90,1488.00,,
09/15/2023,1511.60,1518.00,1518.40,1509.00,,
09/14/2023,1506.95,1505.00,1512.55,1499.15,,
09/13/2023,1498.35,1505.00,1505.00,1488.65,,
09/12/23,1501.10,1482.50,1504.00,1477.10,,
09/11/23,1476.45,1469.60,1478.05,1464.50,,
09/08/23,1469.60,1463.50,1474.75,1460.20,,
09/07/23,1466.20,1470.60,1473.40,1462.05,,
09/06/23,1477.45,1481.90,1482.90,1463.30,,
09/05/23,1478.90,1465.00,1480.05,1456.50,,
09/04/23,1465.10,1443.00,1470.00,1434.70,,
09/01/23,1443.85,1430.95,1446.00,1428.20,,
08/31/2023,1435.45,1435.15,1444.90,1428.65,,
08/30/2023,1435.15,1427.00,1436.65,1424.00,,
08/29/2023,1417.65,1424.00,1424.40,1415.30,,
08/28/2023,1415.65,1420.10,1424.80,1411.40,,
08/25/2023,1420.10,1413.00,1422.50,1411.40,,
08/24/2023,1423.60,1421.50,1425.05,1414.45,,
08/23/2023,1407.95,1416.00,1416.60,1405.65,,
08/22/2023,1403.75,1404.70,1406.05,1396.65,,
08/21/2023,1405.40,1389.75,1407.00,1387.15,,
08/18/2023,1388.80,1403.70,1408.70,1386.15,,
08/17/2023,1411.55,1420.00,1420.00,1406.00,,
08/16/2023,1418.50,1410.80,1419.95,1405.40,,
08/14/2023,1393.55,1371.85,1395.00,1365.60,,
08/11/23,1371.85,1392.00,1396.85,1367.05,,
08/10/23,1389.10,1391.60,1395.80,1385.60,,
08/09/23,1394.40,1384.00,1396.00,1382.50,,
08/08/23,1390.20,1392.85,1393.55,1384.40,,
08/07/23,1393.00,1387.90,1395.00,1377.00,,
08/04/23,1378.35,1368.90,1385.90,1362.00,,
08/03/23,1364.30,1350.00,1366.55,1349.00,,
08/02/23,1356.85,1369.30,1371.95,1348.45,,
08/01/23,1365.20,1362.00,1369.00,1357.00,,
07/31/2023,1355.70,1348.75,1357.50,1333.25,,
07/28/2023,1340.50,1353.85,1363.85,1336.00,,
07/27/2023,1353.15,1358.60,1363.80,1347.05,,
07/26/2023,1348.85,1343.00,1350.00,1339.40,,
07/25/2023,1334.60,1337.00,1342.85,1324.25,,
07/24/2023,1336.60,1341.00,1349.90,1334.25,,
07/21/2023,1331.60,1320.20,1350.00,1305.00,,
07/20/2023,1449.50,1471.00,1471.00,1440.70,,
07/19/2023,1474.95,1486.00,1498.80,1460.70,,
07/18/2023,1475.20,1434.00,1477.95,1429.00,,
07/17/2023,1422.95,1425.95,1458.95,1414.30,,
07/14/2023,1425.95,1380.65,1430.00,1380.65,,
07/13/2023,1365.10,1334.90,1376.80,1330.85,,
07/12/23,1333.30,1351.00,1351.90,1327.00,,
07/11/23,1348.60,1333.45,1350.90,1327.00,,
07/10/23,1329.15,1336.55,1341.90,1319.30,,
07/07/23,1330.20,1334.00,1345.80,1325.35,,
07/06/23,1343.90,1342.55,1347.45,1337.15,,
07/05/23,1347.30,1357.85,1357.95,1341.00,,
07/04/23,1345.15,1344.30,1346.00,1331.40,,
07/03/23,1333.70,1330.00,1346.00,1328.45,,
06/30/2023,1335.50,1308.20,1338.90,1304.45,,
06/28/2023,1293.35,1290.00,1296.70,1281.40,,
06/27/2023,1279.15,1280.00,1282.00,1274.20,,
06/26/2023,1270.35,1270.25,1274.00,1262.25,,
06/23/2023,1265.00,1276.45,1279.35,1263.35,,
06/22/2023,1281.55,1289.40,1289.40,1273.50,,
06/21/2023,1299.35,1299.95,1303.80,1295.00,,
06/20/2023,1303.40,1294.00,1305.00,1291.10,,
06/19/2023,1294.00,1294.00,1299.50,1287.05,,
06/16/2023,1291.65,1287.00,1301.50,1281.05,,
06/15/2023,1286.80,1293.95,1293.95,1282.65,,
06/14/2023,1300.40,1306.35,1306.70,1293.20,,
06/13/2023,1304.85,1299.90,1306.50,1297.05,,
06/12/23,1291.95,1273.50,1295.70,1273.00,,
06/09/23,1265.95,1282.50,1282.50,1264.00,,
06/08/23,1282.80,1286.20,1292.00,1281.10,,
06/07/23,1288.95,1290.50,1294.00,1282.50,,
