Date,Price,Open,High,Low,,
12/29/2023,6294.95,6260.35,6306.00,6200.25,,
12/28/2023,6253.15,6301.85,6325.00,6233.35,,
12/27/2023,6287.20,6278.00,6356.00,6255.00,,
12/26/2023,6259.70,6240.00,6288.25,6206.10,,
12/22/2023,6229.10,6186.95,6240.00,6108.00,,
12/21/2023,6111.05,5982.45,6147.85,5950.05,,
12/20/2023,6032.50,6140.00,6289.00,6000.05,,
12/19/2023,6112.75,6169.00,6169.00,6032.90,,
12/18/2023,6139.20,6140.00,6204.90,6074.05,,
12/15/2023,6129.30,5949.00,6215.00,5936.00,,
12/14/2023,5944.30,5810.05,5965.00,5791.85,,
12/13/2023,5727.50,5776.85,5776.85,5614.00,,
12/12/23,5758.00,5800.00,5820.00,5735.00,,
12/11/23,5770.65,5736.00,5800.00,5695.60,,
12/08/23,5708.70,5599.00,5754.00,5585.00,,
12/07/23,5567.20,5664.80,5664.80,5542.00,,
12/06/23,5639.85,5508.50,5669.90,5508.50,,
12/05/23,5487.65,5575.00,5580.00,5454.00,,
12/04/23,5577.40,5610.00,5632.00,5550.00,,
12/01/23,5577.05,5600.00,5610.00,5522.60,,
11/30/2023,5536.70,5600.00,5615.95,5515.60,,
11/29/2023,5588.50,5490.00,5595.20,5490.00,,
11/28/2023,5479.25,5478.95,5490.00,5407.60,,
11/24/2023,5472.60,5490.00,5511.35,5437.75,,
11/23/2023,5471.35,5579.80,5600.00,5452.10,,
11/22/2023,5553.65,5509.25,5576.10,5505.00,,
11/21/2023,5520.25,5585.00,5612.00,5510.00,,
11/20/2023,5556.10,5518.50,5637.65,5510.00,,
11/17/2023,5518.50,5540.00,5548.00,5486.50,,
11/16/2023,5519.50,5420.00,5548.45,5366.30,,
11/15/2023,5401.65,5320.00,5444.25,5292.70,,
11/13/2023,5261.10,5259.00,5269.95,5216.40,,
11/12/23,5259.00,5286.00,5297.70,5246.95,,
11/10/23,5262.15,5241.00,5279.95,5182.25,,
11/09/23,5254.70,5233.40,5265.00,5208.50,,
11/08/23,5233.40,5190.00,5240.10,5175.05,,
11/07/23,5186.95,5145.45,5209.10,5135.00,,
11/06/23,5149.65,5174.00,5178.45,5115.00,,
11/03/23,5134.95,5078.00,5148.00,5059.00,,
11/02/23,5020.05,5065.70,5122.35,5006.15,,
11/01/23,4998.70,5065.00,5106.00,4989.05,,
10/31/2023,5060.40,5164.00,5164.00,5051.10,,
10/30/2023,5149.20,5171.00,5177.80,5083.05,,
10/27/2023,5171.00,5170.00,5215.00,5160.00,,
10/26/2023,5170.50,5153.00,5198.65,5066.60,,
10/25/2023,5204.05,5236.95,5295.00,5180.95,,
10/23/2023,5201.75,5407.00,5407.00,5185.00,,
10/20/2023,5416.20,5461.00,5513.00,5390.05,,
10/19/2023,5457.80,5200.00,5480.00,5200.00,,
10/18/2023,5155.20,5200.10,5205.00,5037.65,,
10/17/2023,5213.75,5192.00,5230.00,5176.20,,
