Date,Price,Open,High,Low,,
12/29/2023,10302.35,10280.45,10396.65,10273.00,,
12/28/2023,10271.60,10310.95,10310.95,10187.00,,
12/27/2023,10288.50,10286.00,10305.35,10230.00,,
12/26/2023,10270.65,10270.00,10281.20,10114.70,,
12/22/2023,10217.15,10050.00,10318.30,10030.00,,
12/21/2023,10012.85,10000.00,10099.25,9900.00,,
12/20/2023,10081.25,10240.00,10309.05,9990.00,,
12/19/2023,10233.60,10319.60,10377.00,10206.20,,
12/18/2023,10319.60,10295.00,10350.90,10226.20,,
12/15/2023,10286.40,10459.00,10476.75,9832.60,,
12/14/2023,10353.20,10440.00,10495.00,10312.30,,
12/13/2023,10380.05,10360.00,10412.90,10260.00,,
12/12/23,10338.40,10620.00,10624.00,10301.10,,
12/11/23,10541.75,10630.00,10638.00,10500.05,,
12/08/23,10618.55,10730.00,10748.00,10551.00,,
12/07/23,10696.65,10790.00,10932.85,10635.00,,
12/06/23,10625.75,10721.90,10748.95,10590.00,,
12/05/23,10721.90,10650.90,10770.00,10563.40,,
12/04/23,10599.45,10695.00,10695.10,10425.00,,
12/01/23,10585.70,10608.00,10759.00,10533.05,,
11/30/2023,10608.70,10581.00,10649.00,10546.10,,
11/29/2023,10599.25,10570.00,10634.55,10525.70,,
11/28/2023,10537.55,10539.95,10556.40,10506.00,,
11/24/2023,10515.65,10505.95,10566.50,10462.00,,
11/23/2023,10488.50,10487.80,10525.00,10394.05,,
11/22/2023,10494.55,10550.00,10551.25,10420.00,,
11/21/2023,10535.15,10619.00,10619.00,10500.00,,
11/20/2023,10566.25,10500.00,10593.35,10500.00,,
11/17/2023,10523.50,10500.00,10606.80,10499.15,,
11/16/2023,10484.50,10480.00,10543.70,10409.20,,
11/15/2023,10456.05,10497.00,10497.00,10375.05,,
11/13/2023,10398.40,10429.00,10429.00,10363.65,,
11/12/23,10431.40,10450.00,10472.80,10416.85,,
11/10/23,10388.80,10375.00,10416.40,10320.00,,
11/09/23,10400.35,10349.95,10449.60,10316.75,,
11/08/23,10322.30,10320.00,10340.45,10260.60,,
11/07/23,10253.30,10300.00,10326.00,10235.85,,
11/06/23,10284.85,10338.95,10338.95,10252.00,,
11/03/23,10276.30,10318.00,10370.00,10241.00,,
11/02/23,10303.60,10290.30,10345.00,10201.00,,
11/01/23,10227.75,10390.10,10422.20,10188.65,,
10/31/2023,10392.30,10490.00,10490.00,10321.00,,
10/30/2023,10397.70,10700.00,10700.00,10245.00,,
10/27/2023,10560.70,10440.05,10845.00,10440.00,,
10/26/2023,10424.15,10539.00,10594.00,10392.50,,
10/25/2023,10588.85,10520.00,10647.45,10501.60,,
10/23/2023,10553.65,10681.00,10724.65,10530.45,,
10/20/2023,10725.65,10763.10,10799.00,10695.70,,
10/19/2023,10771.70,10700.00,10798.70,10700.00,,
10/18/2023,10788.45,10755.00,10809.85,10711.05,,
10/17/2023,10750.80,10730.00,10797.85,10565.30,,
10/16/2023,10704.50,10729.95,10810.85,10665.00,,
10/13/2023,10727.55,10534.05,10745.05,10529.80,,
10/12/23,10580.90,10460.00,10624.55,10420.20,,
10/11/23,10412.10,10349.95,10440.00,10340.05,,
10/10/23,10375.00,10290.00,10417.00,10270.10,,
10/09/23,10244.80,10250.00,10334.40,10183.95,,
10/06/23,10302.05,10283.00,10332.95,10260.00,,
10/05/23,10210.15,10181.95,10270.95,10109.00,,
10/04/23,10129.85,10283.90,10283.90,10090.00,,
10/03/23,10346.90,10709.80,10709.80,10303.30,,
09/29/2023,10610.60,10541.00,10705.50,10510.55,,
09/28/2023,10565.35,10650.50,10705.00,10532.05,,
09/27/2023,10680.75,10550.00,10706.00,10525.00,,
09/26/2023,10556.65,10631.90,10633.95,10526.55,,
09/25/2023,10588.20,10535.15,10720.00,10530.00,,
09/22/2023,10535.15,10378.00,10566.75,10308.45,,
09/21/2023,10284.30,10343.05,10345.00,10206.50,,
09/20/2023,10346.75,10494.05,10494.05,10337.55,,
09/18/2023,10522.10,10500.05,10623.65,10494.05,,
09/15/2023,10525.25,10489.30,10550.00,10477.40,,
09/14/2023,10488.15,10465.05,10580.00,10431.05,,
09/13/2023,10473.40,10500.00,10536.40,10440.00,,
09/12/23,10503.60,10544.00,10568.40,10405.00,,
09/11/23,10533.85,10345.00,10550.00,10344.00,,
09/08/23,10332.00,10399.00,10400.00,10300.00,,
09/07/23,10280.75,10150.00,10300.90,10150.00,,
09/06/23,10178.85,10260.00,10260.00,10130.15,,
09/05/23,10262.10,10350.00,10412.70,10245.80,,
09/04/23,10362.45,10401.00,10467.95,10286.30,,
09/01/23,10331.25,9999.00,10397.95,9951.35,,
08/31/2023,10003.80,9770.10,10065.00,9770.10,,
08/30/2023,9796.40,9660.00,9817.95,9610.00,,
08/29/2023,9621.25,9600.00,9684.75,9506.00,,
08/28/2023,9597.70,9514.95,9670.00,9510.00,,
08/25/2023,9505.70,9554.00,9624.75,9485.00,,
08/24/2023,9573.70,9661.65,9661.65,9555.00,,
08/23/2023,9600.95,9519.00,9640.00,9446.00,,
08/22/2023,9491.90,9420.20,9508.05,9409.70,,
08/21/2023,9438.80,9455.55,9469.00,9413.25,,
08/18/2023,9456.05,9350.00,9470.00,9336.65,,
08/17/2023,9375.30,9414.90,9474.75,9350.00,,
08/16/2023,9419.55,9334.00,9437.75,9254.15,,
08/14/2023,9321.65,9360.00,9364.00,9257.90,,
08/11/23,9356.85,9397.60,9469.00,9344.00,,
08/10/23,9397.60,9463.10,9500.00,9342.05,,
08/09/23,9463.10,9540.00,9540.05,9417.50,,
08/08/23,9542.55,9539.95,9623.00,9505.00,,
08/07/23,9523.80,9490.00,9539.80,9422.00,,
08/04/23,9470.40,9560.00,9616.00,9427.00,,
08/03/23,9543.70,9598.85,9659.95,9515.60,,
08/02/23,9653.80,9715.00,9793.45,9520.35,,
08/01/23,9716.75,9760.00,9892.00,9650.05,,
07/31/2023,9820.75,9670.30,9837.70,9606.00,,
07/28/2023,9670.30,9739.00,9750.00,9546.40,,
07/27/2023,9753.60,9770.00,9827.15,9691.65,,
07/26/2023,9756.35,9761.50,9810.00,9725.25,,
07/25/2023,9758.60,9624.00,9774.95,9616.80,,
07/24/2023,9694.80,9770.05,9815.00,9680.00,,
07/21/2023,9770.05,9720.00,9845.00,9703.00,,
07/20/2023,9772.50,9620.00,9785.00,9575.45,,
07/19/2023,9607.55,9651.00,9666.00,9525.65,,
07/18/2023,9665.65,9710.20,9766.30,9601.70,,
07/17/2023,9689.55,9647.00,9699.00,9555.00,,
07/14/2023,9603.65,9701.95,9727.30,9591.00,,
07/13/2023,9647.55,9852.95,9898.95,9612.00,,
07/12/23,9835.80,9895.00,9950.00,9805.00,,
07/11/23,9900.15,9796.00,9956.85,9736.30,,
07/10/23,9736.30,9854.00,9933.35,9719.75,,
07/07/23,9850.25,9854.00,9945.00,9815.00,,
07/06/23,9859.40,9999.95,10016.30,9815.20,,
07/05/23,9992.30,9697.00,10036.95,9675.00,,
07/04/23,9647.40,9700.00,9716.50,9620.05,,
07/03/23,9673.00,9742.05,9785.85,9656.55,,
06/30/2023,9789.05,9569.00,9853.50,9541.00,,
06/28/2023,9540.65,9475.45,9575.00,9432.55,,
06/27/2023,9461.00,9490.00,9500.00,9395.05,,
06/26/2023,9470.20,9327.30,9520.00,9300.00,,
06/23/2023,9327.30,9420.00,9427.00,9305.00,,
06/22/2023,9403.05,9439.05,9494.35,9373.80,,
06/21/2023,9440.85,9502.00,9537.00,9396.05,,
06/20/2023,9492.10,9530.00,9538.90,9420.00,,
06/19/2023,9532.00,9638.00,9642.15,9510.00,,
06/16/2023,9603.70,9595.05,9643.40,9552.00,,
06/15/2023,9594.85,9555.00,9697.80,9543.00,,
06/14/2023,9532.50,9520.00,9599.00,9490.50,,
06/13/2023,9517.50,9588.00,9618.05,9505.65,,
06/12/23,9550.45,9625.00,9700.00,9537.65,,
06/09/23,9627.80,9675.50,9713.90,9611.10,,
06/08/23,9658.60,9733.00,9765.00,9625.50,,
06/07/23,9707.50,9788.00,9800.00,9650.50,,
06/06/23,9736.20,9629.00,9770.00,9611.00,,
06/05/23,9582.10,9552.50,9640.00,9488.55,,
06/02/23,9485.35,9389.00,9525.15,9312.70,,
06/01/23,9328.30,9337.50,9377.55,9222.00,,
05/31/2023,9367.70,9449.95,9449.95,9267.60,,
05/30/2023,9383.35,9380.00,9402.90,9300.00,,
05/29/2023,9333.50,9435.00,9488.80,9312.05,,
05/26/2023,9399.95,9333.00,9415.00,9311.25,,
05/25/2023,9281.85,9220.75,9293.40,9216.05,,
05/24/2023,9270.75,9168.00,9318.20,9159.00,,
05/23/2023,9200.70,9169.00,9235.00,9156.75,,
05/22/2023,9156.65,9090.00,9169.70,9073.85,,
05/19/2023,9105.95,9060.00,9118.20,8960.55,,
05/18/2023,9053.30,9144.95,9150.00,9044.10,,
05/17/2023,9119.40,9080.35,9132.00,9032.05,,
05/16/2023,9071.35,9219.10,9229.30,9057.10,,
05/15/2023,9207.30,9242.00,9307.50,9185.40,,
05/12/23,9295.40,9260.95,9329.80,9232.65,,
05/11/23,9260.90,9242.95,9315.00,9142.05,,
05/10/23,9168.15,9128.80,9180.00,9060.00,,
