Date,Price,Open,High,Low,,
12/29/2023,3793.40,3792.00,3822.60,3765.40,,
12/28/2023,3799.90,3824.00,3838.00,3792.10,,
12/27/2023,3811.20,3799.00,3818.20,3768.00,,
12/26/2023,3795.55,3819.85,3834.00,3790.15,,
12/22/2023,3824.00,3800.00,3845.95,3762.00,,
12/21/2023,3787.50,3756.25,3806.70,3743.35,,
12/20/2023,3780.05,3827.25,3898.80,3766.55,,
12/19/2023,3816.20,3845.00,3855.10,3790.00,,
12/18/2023,3859.20,3858.10,3929.00,3830.15,,
12/15/2023,3861.00,3666.70,3895.95,3666.70,,
12/14/2023,3667.25,3630.00,3678.00,3627.60,,
12/13/2023,3593.55,3643.55,3650.00,3563.00,,
12/12/23,3672.10,3638.95,3698.40,3631.00,,
12/11/23,3642.90,3622.90,3653.00,3615.00,,
12/08/23,3626.70,3633.00,3645.00,3602.05,,
12/07/23,3614.90,3605.00,3630.55,3591.70,,
12/06/23,3604.10,3532.60,3612.85,3525.15,,
12/05/23,3531.60,3538.00,3538.00,3502.80,,
12/04/23,3512.45,3544.65,3547.80,3498.00,,
12/01/23,3511.65,3500.00,3516.95,3490.05,,
11/30/2023,3487.60,3499.45,3516.65,3481.00,,
11/29/2023,3513.75,3481.00,3518.00,3475.80,,
11/28/2023,3470.15,3457.10,3481.25,3433.00,,
11/24/2023,3457.10,3494.25,3504.55,3453.00,,
11/23/2023,3508.25,3530.00,3544.00,3500.00,,
11/22/2023,3530.15,3500.00,3532.65,3481.10,,
11/21/2023,3510.20,3519.60,3539.05,3501.00,,
11/20/2023,3519.60,3491.25,3533.90,3491.25,,
11/17/2023,3502.45,3497.85,3524.50,3492.55,,
11/16/2023,3497.85,3430.05,3529.35,3414.20,,
11/15/2023,3404.30,3383.10,3413.00,3356.05,,
11/13/2023,3331.55,3356.00,3356.00,3327.00,,
11/12/23,3358.90,3350.00,3359.00,3350.00,,
11/10/23,3333.45,3338.00,3347.45,3322.35,,
11/09/23,3347.45,3390.10,3391.50,3342.05,,
11/08/23,3381.55,3371.45,3401.95,3369.55,,
11/07/23,3370.45,3378.00,3404.15,3366.00,,
11/06/23,3380.25,3375.00,3392.30,3359.00,,
11/03/23,3350.90,3382.00,3387.90,3344.30,,
11/02/23,3360.10,3343.20,3375.95,3343.20,,
11/01/23,3330.65,3355.00,3371.60,3311.00,,
10/31/2023,3368.75,3399.00,3399.00,3350.05,,
10/30/2023,3378.55,3350.00,3382.85,3333.75,,
10/27/2023,3350.95,3350.00,3362.00,3337.00,,
10/26/2023,3336.75,3368.05,3373.70,3330.00,,
10/25/2023,3390.10,3390.50,3425.00,3377.20,,
10/23/2023,3410.15,3473.00,3478.95,3401.30,,
