Date,Price,Open,High,Low,,
12/29/2023,471.30,470.95,475.35,466.10,,
12/28/2023,469.45,472.55,477.40,467.65,,
12/27/2023,470.95,468.50,475.40,464.10,,
12/26/2023,470.10,454.00,475.80,448.35,,
12/22/2023,462.65,435.30,466.30,434.00,,
12/21/2023,434.00,428.90,436.50,427.20,,
12/20/2023,431.95,442.00,449.50,429.35,,
12/19/2023,438.70,445.60,447.35,435.00,,
12/18/2023,445.25,446.00,453.50,442.00,,
12/15/2023,446.55,436.05,449.50,433.50,,
12/14/2023,434.40,423.50,436.00,423.25,,
12/13/2023,419.65,423.55,424.30,415.00,,
12/12/23,422.20,420.70,427.90,420.15,,
12/11/23,420.60,420.00,422.20,417.25,,
12/08/23,422.60,418.80,424.50,415.00,,
12/07/23,418.25,420.00,421.50,416.65,,
12/06/23,418.75,406.75,420.40,405.95,,
12/05/23,404.35,407.40,409.00,402.10,,
12/04/23,407.45,412.70,413.00,406.75,,
12/01/23,407.65,413.75,413.75,406.50,,
11/30/2023,413.05,406.95,414.50,404.05,,
11/29/2023,406.25,398.00,408.55,398.00,,
11/28/2023,396.85,397.00,398.75,393.10,,
11/24/2023,396.00,402.50,403.50,395.55,,
11/23/2023,402.50,400.50,405.00,400.50,,
11/22/2023,400.25,402.50,402.60,399.10,,
11/21/2023,400.65,402.60,402.60,400.05,,
11/20/2023,400.20,393.20,401.10,393.20,,
11/17/2023,395.40,398.00,399.00,394.50,,
11/16/2023,397.10,391.65,399.50,389.30,,
11/15/2023,391.65,385.55,392.25,384.25,,
11/13/2023,381.65,382.60,382.90,380.00,,
11/12/23,382.45,383.40,383.40,381.75,,
11/10/23,379.30,380.30,381.80,377.00,,
11/09/23,380.85,383.00,384.00,379.70,,
11/08/23,382.20,384.60,385.85,381.50,,
11/07/23,383.30,384.90,387.00,382.85,,
11/06/23,384.65,386.00,386.45,383.00,,
11/03/23,383.55,386.00,386.70,382.65,,
11/02/23,383.65,383.80,385.15,382.10,,
11/01/23,380.95,383.85,385.55,380.15,,
10/31/2023,381.80,383.20,384.10,379.15,,
10/30/2023,382.00,384.00,384.35,380.40,,
10/27/2023,382.35,379.05,384.35,379.05,,
10/26/2023,378.25,378.80,380.55,375.05,,
10/25/2023,381.85,384.40,387.70,381.10,,
10/23/2023,383.15,390.85,393.00,382.20,,
10/20/2023,391.85,395.05,396.05,391.00,,
10/19/2023,395.30,391.95,396.75,390.10,,
10/18/2023,407.45,409.00,413.65,407.00,,
10/17/2023,411.40,411.70,413.85,411.05,,
10/16/2023,410.20,411.00,411.90,408.15,,
10/13/2023,411.05,411.90,414.40,409.05,,
10/12/23,417.10,421.75,421.90,414.70,,
10/11/23,421.15,409.00,423.95,409.00,,
10/10/23,407.75,406.40,408.75,406.20,,
10/09/23,405.60,404.20,411.00,403.40,,
10/06/23,407.85,408.00,409.80,406.95,,
10/05/23,406.80,407.95,410.40,405.00,,
10/04/23,404.90,402.70,405.45,400.65,,
10/03/23,405.45,406.45,408.10,403.60,,
09/29/2023,406.05,405.00,409.25,401.50,,
09/28/2023,405.35,416.50,416.50,404.00,,
09/27/2023,415.65,412.25,416.55,410.30,,
09/26/2023,412.90,416.80,416.80,411.70,,
09/25/2023,414.10,418.50,419.75,412.00,,
09/22/2023,418.50,424.40,426.75,416.60,,
09/21/2023,428.95,429.90,431.25,423.05,,
09/20/2023,430.10,434.25,436.85,429.05,,
09/18/2023,436.10,441.05,441.05,435.20,,
09/15/2023,441.05,439.80,443.75,438.25,,
09/14/2023,436.45,438.40,443.25,435.30,,
09/13/2023,435.70,434.95,437.95,431.50,,
09/12/23,435.00,437.10,441.50,426.90,,
09/11/23,434.85,433.00,437.50,430.10,,
09/08/23,430.00,433.45,433.45,429.30,,
09/07/23,432.85,429.95,433.70,426.75,,
09/06/23,429.30,433.75,435.55,425.90,,
09/05/23,431.85,435.80,437.50,430.30,,
09/04/23,434.10,418.00,436.50,416.00,,
09/01/23,416.35,407.95,417.75,407.50,,
08/31/2023,408.40,408.00,410.00,406.45,,
08/30/2023,407.20,410.00,410.20,406.65,,
08/29/2023,408.10,409.65,411.90,407.10,,
08/28/2023,408.05,411.45,412.45,407.65,,
08/25/2023,409.70,410.00,411.30,407.10,,
08/24/2023,412.70,418.75,420.00,412.00,,
08/23/2023,415.25,417.25,417.95,414.60,,
08/22/2023,417.10,415.00,418.10,412.75,,
08/21/2023,414.60,411.80,417.35,411.65,,
08/18/2023,411.70,415.05,416.35,408.00,,
08/17/2023,417.55,418.65,420.40,414.50,,
08/16/2023,418.65,414.15,420.20,414.00,,
08/14/2023,415.15,413.25,416.20,409.50,,
08/11/23,413.05,418.65,422.15,412.35,,
08/10/23,418.65,417.10,420.80,415.55,,
08/09/23,417.80,415.50,418.50,412.55,,
08/08/23,416.35,412.40,417.50,409.95,,
08/07/23,411.15,409.95,413.00,408.05,,
08/04/23,408.85,400.85,410.00,400.30,,
08/03/23,399.65,402.00,402.00,397.05,,
08/02/23,402.80,405.90,405.90,399.00,,
08/01/23,406.95,405.50,408.00,404.05,,
07/31/2023,405.05,399.75,406.00,398.95,,
07/28/2023,398.75,401.05,402.85,396.55,,
07/27/2023,399.95,404.00,406.60,399.00,,
07/26/2023,402.75,403.50,403.60,401.40,,
07/25/2023,400.40,405.50,405.50,400.00,,
07/24/2023,404.05,406.30,408.00,403.50,,
07/21/2023,404.70,405.00,414.35,401.00,,
07/20/2023,417.65,418.50,420.00,414.65,,
07/19/2023,417.95,420.00,421.00,414.15,,
07/18/2023,417.20,418.00,420.30,412.25,,
07/17/2023,415.25,407.00,424.95,405.80,,
07/14/2023,405.05,394.75,405.50,392.35,,
07/13/2023,394.30,391.85,398.60,391.25,,
07/12/23,391.85,393.90,393.95,390.35,,
07/11/23,392.05,390.00,392.80,387.85,,
07/10/23,389.95,395.85,395.85,389.65,,
07/07/23,395.85,395.00,397.45,393.20,,
07/06/23,396.20,394.50,396.95,393.15,,
07/05/23,393.90,394.10,395.40,391.85,,
07/04/23,395.95,393.75,397.35,393.00,,
07/03/23,391.60,393.90,393.90,389.50,,
06/30/2023,389.15,385.00,389.75,383.00,,
06/28/2023,381.70,383.75,383.75,380.80,,
06/27/2023,382.60,384.25,384.25,381.50,,
06/26/2023,380.90,380.00,381.90,379.05,,
06/23/2023,379.95,382.30,383.00,378.10,,
06/22/2023,382.30,386.00,386.00,381.60,,
06/21/2023,385.50,384.25,387.25,383.10,,
06/20/2023,382.50,381.80,384.95,380.60,,
06/19/2023,380.15,382.00,382.00,377.10,,
06/16/2023,381.30,385.55,388.65,379.15,,
06/15/2023,388.95,397.10,397.45,388.25,,
06/14/2023,396.45,396.30,397.15,392.70,,
06/13/2023,395.55,397.95,398.50,394.50,,
06/12/23,395.60,399.80,399.80,394.60,,
06/09/23,397.30,399.45,400.35,396.05,,
06/08/23,399.55,404.10,404.75,398.75,,
06/07/23,402.80,402.40,403.60,401.00,,
06/06/23,399.95,403.35,403.35,395.55,,
06/05/23,404.20,408.90,409.75,403.70,,
06/02/23,404.95,408.70,409.80,404.00,,
06/01/23,407.15,405.00,408.00,404.05,,
05/31/2023,403.65,401.75,404.80,400.50,,
05/30/2023,402.50,400.00,403.85,399.45,,
05/29/2023,399.80,404.00,406.00,399.35,,
05/26/2023,401.70,395.15,402.55,395.00,,
05/25/2023,394.10,399.00,399.00,392.65,,
05/24/2023,399.70,394.50,400.45,393.35,,
05/23/2023,397.65,397.00,402.10,396.05,,
05/22/2023,395.75,386.50,396.60,385.40,,
05/19/2023,386.20,384.80,388.20,383.50,,
05/18/2023,382.60,385.20,385.35,382.25,,
05/17/2023,382.30,386.20,387.35,381.35,,
05/16/2023,386.95,387.50,388.80,386.50,,
05/15/2023,385.75,383.25,387.00,382.50,,
05/12/23,383.25,384.60,385.25,381.55,,
05/11/23,384.65,385.70,386.85,383.10,,
05/10/23,383.75,384.00,384.55,382.00,,
05/09/23,382.30,382.50,383.45,380.05,,
05/08/23,380.35,381.00,383.00,379.60,,
05/05/23,379.40,382.75,384.40,379.00,,
05/04/23,383.70,384.75,386.15,383.05,,
05/03/23,385.10,388.35,388.35,382.05,,
05/02/23,388.35,389.00,392.15,387.45,,
04/28/2023,385.00,380.00,388.00,380.00,,
04/27/2023,374.40,376.40,376.60,372.05,,
04/26/2023,374.55,377.65,377.65,373.40,,
04/25/2023,375.65,378.20,378.90,374.10,,
04/24/2023,377.95,375.00,378.60,370.55,,
04/21/2023,368.05,364.10,368.70,363.65,,
04/20/2023,362.85,360.50,363.70,359.00,,
04/19/2023,360.80,367.90,367.90,360.40,,
04/18/2023,367.90,363.45,368.90,359.25,,
04/17/2023,361.35,359.95,361.95,352.00,,
04/13/2023,368.30,369.90,369.90,366.00,,
04/12/23,372.15,370.60,373.45,369.35,,
04/11/23,370.25,373.50,374.85,368.60,,
04/10/23,373.30,368.00,374.40,367.60,,
04/06/23,366.65,369.00,370.45,365.85,,
04/05/23,369.75,369.70,371.90,367.20,,
04/03/23,367.95,367.95,368.40,365.15,,
03/31/2023,365.25,363.35,365.75,361.30,,
03/29/2023,359.05,358.00,360.75,355.00,,
03/28/2023,356.20,363.00,364.05,355.40,,
03/27/2023,361.25,361.75,364.00,359.20,,
03/24/2023,361.75,363.35,366.85,361.00,,
03/23/2023,361.50,364.90,364.90,360.35,,
03/22/2023,366.40,367.85,370.00,365.85,,
03/21/2023,366.40,369.00,370.25,365.45,,
03/20/2023,367.15,375.00,375.95,365.15,,
03/17/2023,376.50,377.20,378.35,373.85,,
03/16/2023,372.85,375.35,376.70,370.00,,
03/15/2023,375.75,383.70,383.70,374.90,,
03/14/2023,379.45,386.55,387.15,377.35,,
03/13/2023,385.45,389.00,392.60,383.75,,
03/10/23,389.10,387.90,389.90,386.60,,
03/09/23,390.10,392.80,393.85,389.60,,
03/08/23,392.60,391.65,393.00,388.85,,
03/06/23,393.75,392.45,396.65,392.10,,
03/03/23,390.45,390.60,391.45,389.10,,
03/02/23,388.05,388.70,390.35,387.30,,
03/01/23,390.95,388.10,391.75,387.30,,
02/28/2023,387.05,391.85,393.20,385.70,,
02/27/2023,390.35,392.75,393.30,385.45,,
02/24/2023,393.30,395.95,396.50,392.55,,
02/23/2023,393.95,395.80,398.70,393.40,,
02/22/2023,395.15,399.50,400.35,394.45,,
02/21/2023,402.75,407.40,408.00,402.10,,
02/20/2023,407.05,405.30,407.80,402.20,,
02/17/2023,406.30,406.85,408.00,404.00,,
02/16/2023,409.90,408.80,413.25,408.55,,
02/15/2023,407.40,402.70,407.85,400.35,,
02/14/2023,405.10,403.00,406.45,401.50,,
02/13/2023,400.60,405.65,405.65,399.20,,
02/10/23,405.80,407.00,407.00,402.80,,
02/09/23,408.30,406.75,408.95,403.55,,
02/08/23,406.75,401.00,407.60,401.00,,
02/07/23,400.50,405.50,405.50,399.05,,
02/06/23,404.65,405.40,406.20,401.60,,
02/03/23,407.90,412.55,413.00,406.15,,
02/02/23,409.45,402.40,410.00,402.40,,
02/01/23,402.40,401.50,403.90,398.35,,
01/31/2023,398.85,402.30,402.55,397.70,,
01/30/2023,402.25,398.05,404.80,395.05,,
01/27/2023,398.05,401.55,403.60,394.20,,
01/25/2023,401.55,405.00,405.90,400.00,,
01/24/2023,406.60,408.40,410.20,405.15,,
01/23/2023,407.00,405.20,407.75,402.50,,
01/20/2023,403.15,403.55,405.40,401.30,,
01/19/2023,403.40,402.10,404.00,398.75,,
01/18/2023,403.20,398.50,403.85,398.00,,
01/17/2023,396.35,400.05,402.05,393.75,,
01/16/2023,398.60,390.00,401.00,389.00,,
01/13/2023,393.90,396.00,396.60,386.50,,
01/12/23,394.50,395.75,397.90,390.50,,
01/11/23,393.85,393.00,396.00,391.50,,
01/10/23,393.05,392.00,393.90,387.35,,
01/09/23,391.80,386.00,393.00,385.10,,
01/06/23,382.00,387.00,388.80,381.40,,
01/05/23,386.90,390.00,392.20,383.75,,
01/04/23,389.70,397.50,397.50,388.60,,
01/03/23,397.05,393.05,397.75,391.70,,
01/02/23,393.05,393.00,393.90,390.50,,
12/30/2022,392.75,393.00,396.30,391.55,,
12/29/2022,390.75,386.25,392.10,384.80,,
12/28/2022,387.80,385.00,389.55,383.25,,
12/27/2022,386.60,382.50,387.35,380.25,,
12/26/2022,380.50,378.00,381.60,376.30,,
12/23/2022,377.65,384.00,385.85,377.00,,
12/22/2022,388.75,390.10,391.95,386.00,,
12/21/2022,389.50,390.90,393.25,387.85,,
12/20/2022,388.95,388.80,389.90,383.00,,
12/19/2022,389.05,388.45,390.50,385.70,,
12/16/2022,389.75,391.40,394.80,388.05,,
12/15/2022,395.20,399.75,399.75,394.05,,
12/14/2022,400.05,400.80,404.50,399.25,,
12/13/2022,397.75,398.35,399.35,396.00,,
12/12/22,396.35,392.90,397.50,388.00,,
12/09/22,394.05,406.00,406.00,391.25,,
12/08/22,403.70,407.25,408.00,403.30,,
12/07/22,406.30,409.00,409.50,405.30,,
12/06/22,411.35,410.50,412.60,407.80,,
12/05/22,412.35,413.25,414.95,410.65,,
12/02/22,412.40,413.80,413.90,409.05,,
12/01/22,413.70,412.85,416.35,411.65,,
11/30/2022,406.90,406.90,408.00,402.65,,
11/29/2022,405.15,403.00,408.90,402.90,,
11/28/2022,405.65,402.80,409.45,402.00,,
11/25/2022,402.80,399.00,404.40,395.90,,
11/24/2022,398.25,389.90,399.75,389.15,,
11/23/2022,388.75,390.75,391.95,388.00,,
11/22/2022,388.80,389.00,389.40,384.50,,
11/21/2022,388.65,393.85,394.45,387.60,,
11/18/2022,393.85,397.85,398.90,392.80,,
11/17/2022,396.75,397.90,398.00,395.00,,
11/16/2022,398.25,399.00,401.70,396.20,,
11/15/2022,397.15,398.05,399.55,394.00,,
11/14/2022,396.55,402.65,402.65,395.55,,
11/11/22,399.70,398.50,405.85,397.25,,
11/10/22,388.90,388.80,391.10,387.00,,
11/09/22,390.95,394.05,394.40,389.15,,
11/07/22,391.50,393.00,394.85,387.60,,
11/04/22,390.55,388.50,392.40,385.65,,
11/03/22,388.50,389.75,393.75,385.55,,
11/02/22,393.95,392.85,394.85,390.65,,
11/01/22,392.40,388.00,393.00,386.60,,
10/31/2022,386.55,386.55,388.40,384.75,,
10/28/2022,383.25,382.80,385.85,382.00,,
10/27/2022,382.65,386.00,386.95,381.10,,
10/25/2022,384.65,386.45,386.45,383.65,,
10/24/2022,384.70,386.40,386.40,384.00,,
10/21/2022,382.55,382.50,383.30,380.20,,
10/20/2022,381.50,377.00,382.60,376.00,,
10/19/2022,378.05,381.20,381.20,377.05,,
10/18/2022,379.30,383.70,384.25,378.40,,
10/17/2022,375.10,377.30,378.95,372.40,,
10/14/2022,377.30,387.00,387.50,376.25,,
10/13/2022,379.10,387.00,392.35,378.10,,
10/12/22,407.95,404.25,409.60,401.60,,
10/11/22,404.40,414.90,417.90,402.30,,
10/10/22,411.30,400.30,413.50,399.75,,
10/07/22,408.10,409.80,411.75,406.25,,
10/06/22,410.15,409.35,413.00,407.45,,
10/04/22,405.50,399.95,406.00,399.00,,
10/03/22,394.50,393.90,398.00,390.60,,
09/30/2022,394.25,392.45,396.70,387.50,,
09/29/2022,392.80,401.00,401.90,391.55,,
09/28/2022,398.05,396.00,400.50,395.35,,
09/27/2022,398.40,396.80,401.40,392.00,,
09/26/2022,394.80,392.00,399.20,384.60,,
09/23/2022,394.35,398.10,399.40,393.65,,
09/22/2022,397.95,398.00,400.35,395.00,,
09/21/2022,400.75,405.90,405.90,399.50,,
09/20/2022,404.90,406.00,409.40,404.45,,
09/19/2022,401.95,405.00,406.20,397.00,,
09/16/2022,401.65,412.75,412.75,400.20,,
09/15/2022,415.05,419.70,420.90,413.25,,
09/14/2022,416.30,409.00,422.70,409.00,,
09/13/2022,422.65,424.90,426.00,421.50,,
09/12/22,422.00,419.85,424.40,418.05,,
09/09/22,417.15,417.00,419.45,411.35,,
09/08/22,412.80,410.00,414.35,409.60,,
09/07/22,407.45,402.10,408.85,401.00,,
09/06/22,404.45,407.00,407.35,401.25,,
09/05/22,405.50,407.00,408.00,404.00,,
09/02/22,407.70,412.55,412.75,407.10,,
09/01/22,410.45,409.90,411.65,404.85,,
08/30/2022,413.55,409.15,415.95,406.25,,
08/29/2022,404.35,405.00,406.35,399.00,,
08/26/2022,417.25,418.50,422.50,416.30,,
08/25/2022,415.20,419.30,420.10,414.95,,
08/24/2022,416.15,417.80,419.50,414.35,,
08/23/2022,416.65,415.00,418.50,410.00,,
08/22/2022,420.00,430.90,430.90,419.05,,
08/19/2022,432.45,438.95,442.50,431.00,,
08/18/2022,435.05,441.75,441.75,434.05,,
08/17/2022,443.05,437.25,444.90,436.65,,
08/16/2022,437.10,438.50,439.80,436.60,,
08/12/22,436.10,437.10,438.50,435.00,,
08/11/22,438.45,438.00,442.00,436.30,,
08/10/22,430.15,435.00,436.00,426.30,,
08/08/22,435.85,442.80,442.80,435.20,,
08/05/22,440.00,436.15,442.00,436.15,,
08/04/22,435.50,437.05,440.30,427.10,,
08/03/22,432.35,429.00,433.00,427.50,,
08/02/22,429.60,428.95,431.65,424.65,,
08/01/22,429.00,426.20,430.90,422.60,,
07/29/2022,423.70,420.60,424.30,417.80,,
07/28/2022,416.00,411.80,417.00,410.90,,
07/27/2022,406.65,404.95,407.40,401.95,,
07/26/2022,405.20,414.80,415.40,404.30,,
07/25/2022,414.80,410.50,415.65,408.55,,
07/22/2022,410.85,415.75,417.40,409.05,,
07/21/2022,414.00,408.85,417.50,402.60,,
07/20/2022,412.10,410.80,417.50,407.10,,
07/19/2022,405.65,403.00,407.80,401.20,,
