Date,Price,Open,High,Low,
12/29/2023,520.9,514.6,522.45,511.6,
12/28/2023,514.25,518,519.95,512.05,
12/27/2023,517,520.95,523,513.15,
12/26/2023,505.35,504,508.55,502.65,
12/22/2023,503.8,505.1,510.4,498.25,
12/21/2023,503.9,481,505.9,480.45,
12/20/2023,490.45,524,526.3,486,
12/19/2023,522.35,528.4,530.55,517,
12/18/2023,525.65,530,532.5,524.3,
12/15/2023,522.4,523.7,529.4,514.5,
12/14/2023,520.25,514.8,523.4,511.85,
12/13/2023,509.05,504,513.4,502.05,
12/12/23,501.35,506.05,510.5,497.75,
12/11/23,504,497.9,506.5,489.5,
12/08/23,494.35,508.95,509.6,482.35,
12/07/23,505.1,503.7,508.4,496.35,
12/06/23,501.1,515,523.65,499.5,
12/05/23,509.05,475,513.5,474.55,
12/04/23,474.55,460,475.8,453.25,
12/01/23,442,444,444,438,
11/30/2023,439.25,436,443,430.7,
11/29/2023,435.65,435,437.3,428.05,
11/28/2023,431.2,421,435.45,417.25,
11/24/2023,414.3,415.95,416,411.35,
11/23/2023,415.6,416.75,416.75,408.6,
11/22/2023,414.25,420,421.2,413.25,
11/21/2023,420.15,422.4,424.3,419.1,
11/20/2023,421.5,421.1,424.25,418.2,
11/17/2023,421.1,422,428,418,
11/16/2023,419.9,420,420.65,417,
11/15/2023,418.15,421,423.5,417.7,
11/13/2023,419.4,421.85,422.15,418.4,
11/12/23,421.45,420,422,420,
11/10/23,418.1,418.75,419.85,415.45,
11/09/23,418.3,422.4,423.55,415.95,
11/08/23,421,421.6,426,419.2,
11/07/23,419.55,421.8,423.35,418.1,
11/06/23,421.25,421.95,425,420,
11/03/23,420.9,421,423.95,417.25,
11/02/23,419.7,411,423.4,410.15,
11/01/23,406.65,425.5,425.5,404.05,
10/31/2023,424.45,423.95,427.45,421,
10/30/2023,421.95,420.2,423.6,416,
10/27/2023,417.25,419.45,423.95,415.1,
10/26/2023,416.3,414.6,422.5,407.75,
10/25/2023,417.95,417,422.75,413.6,
10/23/2023,415.95,432.75,432.75,411.6,
10/20/2023,430.85,437,439.55,428.1,
10/19/2023,437.45,432.55,440.05,430.1,
10/18/2023,433,442.4,444,431.5,
10/17/2023,442.65,443.55,444.5,440.1,
10/16/2023,443.25,439,444.8,438.95,
10/13/2023,439.9,444.5,445.8,438.9,
10/12/23,445.6,449,450.35,444.05,
10/11/23,445.1,438.9,447,438,
10/10/23,437.2,430.15,438.85,428,
10/09/23,430.2,430.1,437.5,427.5,
10/06/23,435.7,434,437,431.8,
10/05/23,432.85,430,434.85,428.75,
10/04/23,429.65,430,434,424.3,
10/03/23,432.2,424.05,434.4,422.5,
09/29/2023,424.8,423.8,428.5,420,
09/28/2023,419.9,431,431.5,418.65,
09/27/2023,430.45,428,431.85,426,
09/26/2023,429.75,423.3,434,422.45,
09/25/2023,422.9,420.5,425.95,414.7,
09/22/2023,420.95,426,428.5,418.05,
09/21/2023,426.1,427.5,430.6,423.2,
09/20/2023,428.15,436.5,438.35,425.05,
09/18/2023,436.65,445,445.7,433,
09/15/2023,445.05,445,448.1,442.5,
09/14/2023,445.2,444.8,446.4,441.7,
09/13/2023,443.9,447,449.95,440.35,
09/12/23,445,453.9,453.9,436.65,
09/11/23,450.9,439.25,453.4,439.25,
09/08/23,439.2,440.05,441.2,436.9,
09/07/23,439.45,437.95,440.6,435.2,
09/06/23,437.75,441,442,433.5,
09/05/23,440.2,441.3,444.45,437.5,
09/04/23,441.15,435.35,443.95,435.15,
09/01/23,433.9,427.55,437.4,425.5,
08/31/2023,428.4,439.85,442.35,425.1,
08/30/2023,444.05,444.7,445.5,440.2,
08/29/2023,441.2,440,447.5,436.45,
08/28/2023,438.85,439.2,444.5,432.1,
08/25/2023,434.6,448.2,448.3,430.1,
08/24/2023,448.95,456.45,462,446.95,
08/23/2023,453.3,464.5,466.8,450.1,
08/22/2023,463.8,468.25,470.65,462.35,
08/21/2023,465.25,454.1,469,453.6,
08/18/2023,453.05,445.95,460.95,439.8,
08/17/2023,446,437.4,447,433.65,
08/16/2023,437.2,440.3,440.3,432.1,
08/14/2023,440.95,450.55,452.5,437.65,
08/11/23,456.4,457.5,463.4,454,
08/10/23,457.2,463.05,465.85,454.7,
08/09/23,462.65,466.2,466.75,460.5,
08/08/23,466.2,474.95,476,456.25,
08/07/23,474.1,473.4,476,468.75,
08/04/23,471.75,477,477.5,470.1,
08/03/23,474.35,465,481.15,458.45,
08/02/23,460.9,462,469.35,450,
08/01/23,461.55,464,468.35,452.65,
07/31/2023,463,455,468.8,454.8,
07/28/2023,454.8,455,456.65,448.05,
07/27/2023,449.75,444.3,455,438.65,
07/26/2023,443.5,443.7,448.35,436.7,
07/25/2023,440.1,423.15,441.9,423.15,
07/24/2023,422.75,417,428.8,415.45,
07/21/2023,416.1,419.4,419.5,415.3,
07/20/2023,420.9,420.05,423.55,418.55,
07/19/2023,419.3,417.6,421,416.2,
07/18/2023,416.2,416.95,424.7,414.3,
07/17/2023,416.6,418,422.6,415.05,
07/14/2023,416.6,416.9,419.2,414.05,
07/13/2023,416.9,421.55,422.65,414.65,
07/12/23,421.55,420,423,415,
07/11/23,419.75,421,422.25,418.45,
07/10/23,419.5,419,424.85,412.05,
07/07/23,417.9,430,430.7,416.5,
07/06/23,431.5,432,435.2,429.55,
07/05/23,432.4,433.4,434.7,426.7,
07/04/23,432.7,436.45,438.9,431.1,
07/03/23,435.85,428.4,437.2,428,
06/30/2023,425.9,436,441,425,
06/28/2023,434.25,435.4,441.8,431.85,
06/27/2023,433.85,434,440.65,433.15,
06/26/2023,432.05,425.75,433.9,419.3,
06/23/2023,425.8,445,445,424,
06/22/2023,444.85,449.4,452.95,441.75,
06/21/2023,448.1,449,452.35,444.6,
06/20/2023,448.95,453.5,455.6,446.6,
06/19/2023,452.85,460.9,464.05,449.25,
06/16/2023,460.9,461.4,465.6,457,
06/15/2023,458.35,466,468.9,457.05,
06/14/2023,464.6,460.25,465.5,459.4,
06/13/2023,458.95,457.5,463.8,455.55,
06/12/23,456.3,456,458.4,453.45,
06/09/23,455.7,452,458.15,451,
06/08/23,451.7,456,460,445.85,
06/07/23,455.75,461,461.5,452.5,
06/06/23,459.15,441.8,460.95,440,
06/05/23,439.05,440.05,441.65,437.05,
06/02/23,438.05,431.45,440,431.45,
06/01/23,429.25,425,431.25,424,
05/31/2023,423.6,430.4,430.8,420.85,
05/30/2023,430.9,427,432.95,425.35,
05/29/2023,427,426.9,430.9,422.75,
05/26/2023,424.55,421.4,425.65,417.5,
05/25/2023,419.2,421,424.65,415.7,
05/24/2023,422.3,428.1,430,419.6,
05/23/2023,427.3,428.8,440.95,424.45,
05/22/2023,423.9,405.5,433.7,405,
05/19/2023,403.15,399.05,406,395.65,
05/18/2023,399.05,408,408.8,395.5,
05/17/2023,406.3,400,407,399.3,
05/16/2023,400.9,405,409.8,399.8,
05/15/2023,406.6,411,411.5,403.1,
05/12/23,410,411,414.75,407.1,
05/11/23,412.2,410,415,406.2,
05/10/23,408.3,407.85,409.3,402.5,
05/09/23,405.65,407.9,412.4,403.45,
05/08/23,405.5,404.8,408.9,400.7,
05/05/23,400.55,388.5,406,387.45,
05/04/23,388.3,384,390.85,380.6,
05/03/23,383.65,392.9,400.55,375.75,
05/02/23,394.4,398,399.4,389.05,
04/28/2023,396.5,390,399.5,384.1,
04/27/2023,388.8,386.45,390.5,382.75,
04/26/2023,386.45,382,390,380.15,
04/25/2023,382.5,381.65,387.55,380.6,
04/24/2023,380.3,375.1,382.9,373.35,
04/21/2023,375.1,381.25,382,373.4,
04/20/2023,380.7,380.5,382.3,378.1,
04/19/2023,380.05,384,388.2,377.65,
04/18/2023,383.05,391.55,394.3,379.9,
04/17/2023,391.55,392,395.05,387.05,
04/13/2023,392.65,394.9,396.6,390.05,
04/12/23,396.05,385.9,397.75,382.7,
04/11/23,384.4,385.95,388.5,380.8,
04/10/23,384.35,385.7,389.6,383.25,
04/06/23,383.6,378.85,386.5,377.2,
04/05/23,379.95,374.5,380.9,371.25,
04/03/23,374.8,368.95,376.65,363.5,
03/31/2023,365.55,367.5,370.6,364,
03/29/2023,363.9,360,367.05,358.2,
03/28/2023,358.95,371.8,373.65,354.3,
03/27/2023,370,372.6,374.8,367.45,
03/24/2023,371.8,373,376.5,368.05,
03/23/2023,372.15,373,377.3,370.4,
03/22/2023,375.55,373.4,378.2,371.4,
03/21/2023,370.9,369.7,374.7,366.2,
03/20/2023,365.4,376.1,376.55,360.3,
03/17/2023,378.45,384,386.65,371.05,
03/16/2023,378.8,365.9,384,360.25,
03/15/2023,365.15,354.5,367,347.65,
03/14/2023,353.4,366.05,367.85,340.8,
03/13/2023,368,382.9,389.15,366.4,
03/10/23,378.35,380,382.35,373.4,
03/09/23,384.7,394.85,395,383,
03/08/23,392.1,384.8,393.5,378.65,
03/06/23,385.5,397.8,404.9,381.3,
03/03/23,391.85,382.7,399.4,375.6,
03/02/23,370.7,354.45,372,347.3,
03/01/23,353.6,344.2,354.9,344.2,
02/28/2023,342.1,330,353.45,324.3,
02/27/2023,329.9,340.4,344.45,326,
02/24/2023,345.25,339.3,346.95,338.7,
02/23/2023,336.9,336,343.85,331.35,
02/22/2023,335.4,352,352,332.1,
02/21/2023,352.85,353.35,366.5,351.5,
02/20/2023,352.45,349.7,356,345.65,
02/17/2023,353.3,346.4,355.95,343,
02/16/2023,347.8,351.9,354.3,346.15,
02/15/2023,344.85,336.5,350.95,335,
02/14/2023,336.5,344,349,325.1,
02/13/2023,342.45,363.5,366.9,336.55,
02/10/23,360.8,354.75,368.45,350,
02/09/23,357.8,378,378,354,
02/08/23,384.65,393.65,397.6,382,
02/07/23,384.05,384.5,406.7,371.7,
02/06/23,379.75,371,383.8,358.45,
02/03/23,373.6,351.95,380.7,318.5,
02/02/23,352.55,355,367,315.3,
02/01/23,334.1,409.2,412.7,320.5,
01/31/2023,401.2,394,414.65,390.1,
01/30/2023,387.5,400,427.65,352,
