Date,Price,Open,High,Low,,
12/29/2023,22203.80,22199.95,22300.00,21981.85,,
12/28/2023,22102.70,22050.00,22240.00,21860.00,,
12/27/2023,22008.45,21995.90,22063.65,21781.15,,
12/26/2023,21905.90,21644.40,21998.00,21562.95,,
12/22/2023,21633.95,21695.00,21895.95,21506.85,,
12/21/2023,21624.25,21494.15,21700.00,21331.00,,
12/20/2023,21494.15,21970.00,22077.65,21365.60,,
12/19/2023,21888.60,22020.00,22130.00,21820.05,,
12/18/2023,21970.45,21752.15,22043.05,21715.00,,
12/15/2023,21708.15,22080.00,22163.90,21663.00,,
12/14/2023,22061.85,22000.00,22244.00,21850.00,,
12/13/2023,21949.60,21785.00,22050.00,21611.25,,
12/12/23,21734.65,21901.00,22110.00,21623.75,,
12/11/23,21889.75,21626.25,21960.00,21585.95,,
12/08/23,21626.25,21666.05,21746.70,21459.95,,
12/07/23,21665.95,21679.95,21830.00,21515.05,,
12/06/23,21592.55,21694.10,21799.30,21560.05,,
12/05/23,21652.95,21944.45,22127.95,21600.00,,
12/04/23,21944.45,22200.00,22200.00,21708.05,,
12/01/23,22083.55,21700.00,22125.35,21490.00,,
11/30/2023,21599.55,21670.00,21800.00,21498.50,,
11/29/2023,21663.90,21300.00,21850.00,21255.00,,
11/28/2023,21273.60,21150.00,21350.55,21000.00,,
11/24/2023,21036.25,21250.00,21333.00,20999.80,,
11/23/2023,21207.30,20821.00,21250.00,20821.00,,
11/22/2023,20821.30,20715.00,21217.65,20615.05,,
11/21/2023,20718.15,20650.00,20832.60,20580.05,,
11/20/2023,20579.20,20660.00,20900.90,20485.00,,
11/17/2023,20651.90,20580.00,20899.95,20531.40,,
11/16/2023,20589.15,19749.90,20700.00,19670.65,,
11/15/2023,19722.40,19550.00,19785.00,19500.00,,
11/13/2023,19476.40,19555.00,19700.00,19455.00,,
11/12/23,19593.15,19829.70,19829.70,19545.00,,
11/10/23,19572.45,19325.10,19800.00,19315.20,,
11/09/23,19535.00,19710.00,19710.00,19358.70,,
11/08/23,19646.95,19755.00,19895.55,19319.10,,
11/07/23,19757.70,19524.00,19824.95,19511.00,,
11/06/23,19565.10,19608.00,19673.85,19524.10,,
11/03/23,19519.50,19510.00,19608.00,19432.30,,
11/02/23,19454.05,19500.00,19551.00,19380.05,,
11/01/23,19358.40,19460.00,19585.00,19300.00,,
10/31/2023,19450.95,19566.60,19608.85,19362.50,,
10/30/2023,19478.10,19742.65,19927.20,19400.00,,
10/27/2023,19742.65,19739.00,19964.80,19709.70,,
10/26/2023,19648.35,19503.05,19816.20,19480.00,,
10/25/2023,19696.00,19825.55,20136.00,19608.00,,
10/23/2023,19825.60,20099.90,20135.95,19720.35,,
10/20/2023,20088.70,20100.00,20230.00,19933.25,,
10/19/2023,20232.25,20000.00,20285.95,19947.85,,
10/18/2023,20121.10,20453.75,20499.95,20058.30,,
10/17/2023,20335.30,20700.00,20775.70,20275.00,,
