Date,Price,Open,High,Low,
12/29/2023,6566.75,6463,6619.4,6423.1,
12/28/2023,6464.55,6480.9,6500,6415,
12/27/2023,6463.95,6498.9,6540,6415,
12/26/2023,6456.1,6460,6516.95,6413,
12/22/2023,6478.35,6553.9,6584,6384,
12/21/2023,6521.65,6250,6547.3,6235,
12/20/2023,6268.95,6419,6541.95,6240.3,
12/19/2023,6366.2,6334.3,6483.7,6316,
12/18/2023,6271.55,6315,6328.7,6220,
12/15/2023,6316.9,6371.2,6404,6303,
12/14/2023,6308.05,6357.2,6465,6286.45,
12/13/2023,6290.65,6356.5,6524.4,6180,
12/12/23,6356.5,6451.1,6765,6329.9,
12/11/23,6372.65,5980,6400,5961,
12/08/23,5964.9,6010,6048.15,5893.4,
12/07/23,5988.35,5998.8,6038.95,5939.05,
12/06/23,5980.2,6085,6085,5970,
12/05/23,6031.1,6015,6162.05,5967.45,
12/04/23,6002.2,6110,6186.15,5876,
12/01/23,5951.65,5530,6034.95,5514,
11/30/2023,5510.6,5419.85,5591.5,5391,
11/29/2023,5398.5,5302.85,5405,5293.8,
11/28/2023,5290.7,5280,5311.45,5272.05,
11/24/2023,5277.85,5365,5369.9,5265,
11/23/2023,5345.35,5438,5448.5,5315,
11/22/2023,5412.2,5475,5507.95,5384.9,
11/21/2023,5461.5,5480,5528.8,5443.9,
11/20/2023,5443.9,5475,5565.8,5431,
11/17/2023,5426.85,5395.95,5488.5,5395.75,
11/16/2023,5426.95,5273.9,5455,5213.1,
11/15/2023,5254.25,5250,5364.95,5244.15,
11/13/2023,5233.8,5274.45,5275,5206.6,
11/12/23,5274.45,5315.6,5317.8,5250.95,
11/10/23,5274.9,5282.05,5309.35,5223.25,
11/09/23,5305.85,5365,5425,5300,
11/08/23,5357.3,5278,5369.95,5261,
11/07/23,5253.05,5279.8,5318,5235.6,
11/06/23,5266.25,5317.9,5338.95,5241,
11/03/23,5274.2,5383.3,5388.75,5236.55,
11/02/23,5330,5220,5397,5212.5,
11/01/23,5181.3,5125,5195.1,5100.95,
10/31/2023,5101.6,5155,5242.4,5089.35,
10/30/2023,5103.85,5379.9,5379.9,5076,
10/27/2023,5374.75,5470,5514.8,5307.65,
10/26/2023,5340.95,5430,5447.5,5288.25,
10/25/2023,5445.6,5418,5518,5418,
10/23/2023,5418,5520,5607.1,5400.05,
10/20/2023,5520.9,5498,5534.95,5474.05,
10/19/2023,5501.8,5440,5575,5422.25,
10/18/2023,5475.3,5479.95,5508.65,5434,
10/17/2023,5474.35,5430,5486.95,5382.45,
10/16/2023,5388.85,5291,5408.95,5291,
10/13/2023,5339.95,5279.9,5364.8,5253.05,
10/12/23,5290.3,5261.95,5320,5215.6,
10/11/23,5254.7,5200,5274.85,5170.8,
10/10/23,5170.45,5119,5197,5119,
10/09/23,5104.65,5032.15,5162.9,5028,
10/06/23,5128.75,5167.7,5178,5062.1,
10/05/23,5148.1,5250.05,5256.3,5134.75,
10/04/23,5216.45,5265.75,5277.35,5182,
10/03/23,5297.45,5280,5335,5254.55,
09/29/2023,5289.25,5250,5309.95,5156.95,
09/28/2023,5218.35,5325,5378.85,5181.65,
09/27/2023,5285.35,5110,5299.8,5032.55,
09/26/2023,5098.15,4901.7,5120,4901,
09/25/2023,4889.55,4810,4965,4733.45,
09/22/2023,4808.4,4848,4908.9,4785.75,
09/21/2023,4849.45,4875.2,4900,4836.5,
09/20/2023,4877.55,4918.75,4945,4846,
09/18/2023,4920.3,5040,5070,4906.8,
09/15/2023,5059,5111.25,5165,5023.45,
09/14/2023,5078.1,5088.7,5119.9,5050,
09/13/2023,5062.1,5068.95,5124,4985.05,
09/12/23,5040.95,5207.5,5207.5,5016.4,
09/11/23,5178.9,5139,5188,5108,
09/08/23,5121.2,5099,5144.45,5065.55,
09/07/23,5084.8,4998.65,5105,4965.2,
09/06/23,4998.15,5130,5146.95,4960,
09/05/23,5127.55,5134.5,5224.95,5077.5,
09/04/23,5123,5081.8,5166.3,5061.2,
09/01/23,5057.25,5009.65,5163,4990.6,
08/31/2023,5003.85,4970,5012,4815.05,
08/30/2023,4958.1,4940,4975,4910,
08/29/2023,4917.05,4963.15,4971.6,4891.05,
08/28/2023,4946.9,4851.3,4965,4851.3,
08/25/2023,4859.75,4872.35,5007.5,4840.1,
08/24/2023,4947.1,5024,5050.2,4938.6,
08/23/2023,4996.8,5011.65,5068.9,4951.05,
08/22/2023,4995,4940,5035,4886.95,
08/21/2023,4893.75,4749.95,4909.9,4730.1,
08/18/2023,4737.8,4690,4776,4635,
08/17/2023,4682.5,4770.8,4810,4671,
08/16/2023,4753.1,4648,4770,4585,
08/14/2023,4651.25,4780,4780,4632.85,
08/11/23,4780.55,4809,4857,4770,
08/10/23,4800.95,4901.25,4928.45,4751.5,
08/09/23,4901.35,4850.05,4967.75,4816.2,
08/08/23,4859.8,4707,4925,4700,
08/07/23,4690.35,4599.95,4719.6,4385.05,
08/04/23,4616.25,4500.45,4816.85,4465,
08/03/23,4443.35,4120,4485,4091,
08/02/23,4127.3,4135.55,4230,4082,
08/01/23,4135.55,4142,4158,4065,
07/31/2023,4122,4020,4144.95,4020,
07/28/2023,4063.6,4051.45,4075.85,4000.05,
07/27/2023,4050.45,4117.95,4117.95,4036.1,
07/26/2023,4087.2,4140,4185.7,4070.05,
07/25/2023,4112.9,4015,4133.9,4002.6,
07/24/2023,4014.85,4130,4166,3953,
07/21/2023,4176.4,4269.2,4275.3,4160,
07/20/2023,4265.35,4341.05,4365,4255,
07/19/2023,4330.5,4334.95,4363.8,4301,
07/18/2023,4325.2,4356.1,4379.35,4270,
07/17/2023,4333.35,4342,4407.1,4323.05,
07/14/2023,4319.75,4322.85,4430,4294.65,
07/13/2023,4297.65,4350,4389,4260.1,
07/12/23,4336.3,4407.75,4415,4321.45,
07/11/23,4386.35,4253.85,4400,4245,
07/10/23,4238.5,4249.6,4288.95,4220.95,
07/07/23,4244,4270,4300,4220,
07/06/23,4260.8,4200,4288.8,4176.2,
07/05/23,4206.1,4319.95,4319.95,4145.2,
07/04/23,4358.15,4365.05,4410,4348,
07/03/23,4357.4,4410.05,4443.7,4344.65,
06/30/2023,4388.6,4389.3,4456.45,4366.3,
