Date,Price,Open,High,Low,,
12/29/2023,1367.95,1373.00,1383.85,1361.60,,
12/28/2023,1366.55,1368.75,1378.50,1363.00,,
12/27/2023,1361.55,1361.10,1379.95,1352.95,,
12/26/2023,1361.80,1349.00,1364.65,1349.00,,
12/22/2023,1351.80,1345.00,1355.95,1338.10,,
12/21/2023,1341.10,1331.30,1351.75,1312.55,,
12/20/2023,1335.60,1380.00,1395.00,1328.95,,
12/19/2023,1372.40,1346.00,1375.00,1332.20,,
12/18/2023,1345.85,1330.30,1355.85,1324.50,,
12/15/2023,1332.40,1335.15,1344.95,1327.05,,
12/14/2023,1333.65,1336.85,1337.70,1327.35,,
12/13/2023,1327.30,1342.10,1342.10,1310.50,,
12/12/23,1341.60,1346.00,1363.70,1329.15,,
12/11/23,1345.00,1348.00,1348.70,1338.30,,
12/08/23,1343.00,1357.00,1357.00,1332.00,,
12/07/23,1349.50,1330.00,1351.15,1315.45,,
12/06/23,1324.45,1320.10,1339.90,1320.10,,
12/05/23,1317.55,1313.85,1321.00,1305.00,,
12/04/23,1313.70,1321.00,1324.90,1308.60,,
12/01/23,1312.45,1315.00,1320.00,1306.00,,
11/30/2023,1302.65,1292.70,1308.10,1282.30,,
11/29/2023,1288.05,1293.90,1295.15,1284.20,,
11/28/2023,1281.25,1294.30,1294.35,1278.00,,
11/24/2023,1294.30,1304.95,1305.10,1285.70,,
11/23/2023,1301.45,1309.80,1315.00,1297.05,,
11/22/2023,1306.00,1304.95,1309.60,1298.00,,
11/21/2023,1298.90,1280.20,1307.55,1275.75,,
11/20/2023,1275.75,1284.70,1285.00,1273.00,,
11/17/2023,1280.75,1279.95,1286.45,1271.30,,
11/16/2023,1279.15,1269.00,1282.70,1262.05,,
11/15/2023,1262.05,1261.00,1270.00,1253.70,,
11/13/2023,1250.70,1262.00,1263.60,1244.00,,
11/12/23,1264.40,1265.05,1267.95,1261.55,,
11/10/23,1257.40,1255.00,1262.00,1244.30,,
11/09/23,1253.15,1259.85,1260.25,1247.00,,
11/08/23,1252.05,1257.95,1263.15,1249.15,,
11/07/23,1253.00,1265.00,1265.00,1245.05,,
11/06/23,1262.50,1263.50,1270.00,1252.75,,
11/03/23,1271.00,1277.00,1277.00,1266.00,,
11/02/23,1266.00,1250.00,1268.60,1242.00,,
11/01/23,1240.75,1250.15,1254.40,1232.85,,
10/31/2023,1246.15,1278.10,1279.65,1243.70,,
10/30/2023,1269.05,1261.90,1272.70,1249.55,,
10/27/2023,1259.90,1271.20,1282.70,1256.95,,
10/26/2023,1266.90,1266.00,1273.25,1240.25,,
10/25/2023,1267.15,1287.35,1301.25,1262.60,,
10/23/2023,1284.80,1292.00,1300.00,1277.60,,
10/20/2023,1292.95,1330.00,1375.00,1290.00,,
