Date,Price,Open,High,Low,,
12/29/2023,5140.15,5161.95,5175.10,5100.00,,
12/28/2023,5149.10,5177.70,5190.60,5122.60,,
12/27/2023,5154.30,5098.95,5178.00,5085.10,,
12/26/2023,5078.90,5050.00,5119.20,5015.05,,
12/22/2023,5006.50,5055.20,5088.00,4966.55,,
12/21/2023,5005.10,4969.05,5053.45,4884.10,,
12/20/2023,4997.45,5211.00,5267.90,4965.00,,
12/19/2023,5206.85,5165.00,5319.05,5165.00,,
12/18/2023,5195.15,5230.95,5275.00,5140.10,,
12/15/2023,5220.85,5160.00,5235.00,5100.00,,
12/14/2023,5152.65,4850.00,5233.45,4850.00,,
12/13/2023,4813.65,4791.00,4834.30,4705.00,,
12/12/23,4788.05,4887.50,4997.00,4770.00,,
12/11/23,4882.95,4760.65,4955.00,4732.90,,
12/08/23,4745.65,4840.80,4842.25,4681.50,,
12/07/23,4805.65,4760.00,4849.00,4670.00,,
12/06/23,4758.00,4734.80,4819.70,4717.30,,
12/05/23,4692.70,4600.00,4730.00,4583.40,,
12/04/23,4596.35,4600.00,4644.15,4570.35,,
12/01/23,4572.90,4649.00,4651.00,4520.50,,
11/30/2023,4611.00,4560.00,4634.00,4526.00,,
11/29/2023,4547.65,4560.05,4668.75,4541.35,,
11/28/2023,4550.00,4595.00,4606.15,4538.30,,
11/24/2023,4596.90,4617.15,4633.60,4581.10,,
11/23/2023,4617.15,4741.45,4775.00,4610.00,,
11/22/2023,4741.45,4735.10,4774.00,4708.00,,
11/21/2023,4739.05,4778.15,4803.65,4725.05,,
11/20/2023,4765.35,4805.00,4839.25,4732.10,,
11/17/2023,4805.30,4738.00,4835.80,4718.15,,
11/16/2023,4760.00,4722.00,4782.00,4651.00,,
11/15/2023,4743.60,4571.50,4756.05,4525.15,,
11/13/2023,4512.75,4513.95,4526.75,4472.55,,
11/12/23,4511.30,4544.00,4544.00,4509.85,,
11/10/23,4510.80,4530.00,4538.30,4483.00,,
11/09/23,4569.10,4505.00,4602.85,4456.10,,
11/08/23,4505.80,4394.00,4540.00,4360.00,,
11/07/23,4340.05,4321.05,4423.60,4292.55,,
11/06/23,4311.55,4270.00,4355.00,4256.00,,
11/03/23,4250.35,4156.05,4270.00,4156.05,,
11/02/23,4139.15,4150.95,4188.65,4115.10,,
11/01/23,4096.65,4092.00,4147.40,4079.15,,
10/31/2023,4084.25,4113.85,4129.00,4065.05,,
10/30/2023,4078.45,4097.00,4114.70,4057.35,,
10/27/2023,4081.50,4050.00,4112.00,4024.00,,
10/26/2023,4048.85,4040.00,4080.65,3972.05,,
10/25/2023,4080.65,4080.00,4111.00,4032.00,,
10/23/2023,4072.75,4205.00,4214.85,4060.00,,
10/20/2023,4203.00,4177.95,4240.00,4151.00,,
10/19/2023,4178.95,4200.00,4216.00,4142.60,,
10/18/2023,4204.50,4150.00,4229.00,4150.00,,
10/17/2023,4127.55,4131.95,4164.00,4116.30,,
10/16/2023,4125.25,4123.30,4149.85,4103.15,,
10/13/2023,4137.30,4209.05,4214.10,4105.00,,
10/12/23,4239.90,4265.95,4295.00,4230.40,,
10/11/23,4265.30,4259.00,4309.00,4225.55,,
10/10/23,4234.35,4220.45,4249.00,4192.00,,
10/09/23,4213.60,4151.00,4230.00,4130.35,,
10/06/23,4212.90,4229.95,4230.00,4183.00,,
10/05/23,4209.05,4055.10,4220.00,4051.05,,
10/04/23,4058.65,4098.00,4100.00,4005.00,,
10/03/23,4114.50,4142.05,4149.90,4100.00,,
09/29/2023,4165.30,4183.00,4196.00,4134.00,,
09/28/2023,4177.00,4260.00,4272.95,4157.05,,
09/27/2023,4239.15,4242.95,4277.85,4229.95,,
09/26/2023,4238.45,4240.00,4278.00,4218.80,,
09/25/2023,4260.65,4300.35,4303.40,4236.60,,
09/22/2023,4300.35,4435.00,4455.00,4272.00,,
09/21/2023,4439.95,4430.00,4485.65,4393.05,,
09/20/2023,4464.90,4440.15,4498.95,4425.10,,
09/18/2023,4490.90,4484.05,4539.00,4435.10,,
09/15/2023,4484.60,4402.10,4508.95,4370.00,,
09/14/2023,4430.35,4412.15,4458.00,4381.05,,
09/13/2023,4396.05,4485.50,4487.85,4335.00,,
09/12/23,4515.80,4525.00,4539.95,4422.65,,
09/11/23,4509.45,4467.00,4578.80,4461.35,,
09/08/23,4477.75,4480.70,4489.85,4430.05,,
09/07/23,4450.45,4492.75,4492.75,4435.95,,
09/06/23,4492.75,4477.35,4520.00,4452.65,,
09/05/23,4477.40,4438.00,4490.00,4416.95,,
09/04/23,4438.00,4395.15,4448.50,4329.60,,
09/01/23,4372.35,4331.95,4396.00,4308.95,,
08/31/2023,4331.50,4396.95,4396.95,4305.00,,
08/30/2023,4369.65,4300.05,4414.90,4286.50,,
08/29/2023,4261.35,4194.95,4285.00,4190.00,,
08/28/2023,4178.90,4209.95,4230.55,4153.55,,
08/25/2023,4206.80,4220.00,4239.55,4172.30,,
08/24/2023,4249.10,4174.95,4279.00,4152.65,,
08/23/2023,4152.00,4194.00,4195.00,4146.35,,
08/22/2023,4174.50,4209.90,4213.55,4169.05,,
08/21/2023,4187.00,4208.00,4219.15,4166.05,,
08/18/2023,4189.50,4296.00,4296.00,4177.70,,
08/17/2023,4298.90,4345.00,4354.00,4291.00,,
08/16/2023,4323.80,4290.00,4334.90,4270.40,,
08/14/2023,4304.25,4425.00,4427.25,4221.00,,
08/11/23,4460.80,4660.00,4694.00,4415.65,,
08/10/23,4649.60,4680.00,4723.70,4618.00,,
08/09/23,4690.35,4739.00,4766.40,4680.05,,
08/08/23,4714.90,4837.00,4865.85,4690.00,,
08/07/23,4825.80,4890.00,4984.50,4808.55,,
08/04/23,4886.70,4540.00,4934.80,4540.00,,
08/03/23,4537.70,4540.25,4566.75,4471.30,,
08/02/23,4571.75,4655.00,4656.95,4520.20,,
08/01/23,4655.75,4580.00,4661.20,4580.00,,
07/31/2023,4587.10,4603.25,4644.00,4570.00,,
07/28/2023,4579.20,4570.00,4624.75,4546.85,,
07/27/2023,4570.75,4545.00,4600.00,4535.90,,
07/26/2023,4540.30,4639.80,4674.00,4524.20,,
07/25/2023,4613.40,4575.00,4624.00,4567.35,,
07/24/2023,4568.05,4635.00,4659.00,4560.05,,
07/21/2023,4648.55,4590.00,4659.00,4540.00,,
07/20/2023,4652.75,4683.00,4707.40,4623.80,,
07/19/2023,4679.50,4700.00,4709.90,4670.00,,
07/18/2023,4689.95,4733.00,4733.05,4660.60,,
07/17/2023,4733.40,4725.00,4768.75,4654.65,,
07/14/2023,4720.80,4650.00,4737.85,4611.00,,
07/13/2023,4625.50,4473.05,4646.00,4465.10,,
07/12/23,4460.70,4410.05,4473.45,4366.15,,
07/11/23,4402.40,4369.90,4442.00,4351.00,,
07/10/23,4331.85,4410.00,4433.05,4325.05,,
07/07/23,4404.90,4405.00,4456.40,4397.60,,
07/06/23,4467.85,4444.35,4484.45,4380.00,,
07/05/23,4441.05,4434.00,4532.00,4390.55,,
07/04/23,4431.90,4487.95,4565.00,4409.25,,
07/03/23,4476.40,4483.00,4510.00,4451.00,,
06/30/2023,4483.65,4432.00,4493.95,4416.00,,
06/28/2023,4431.70,4405.00,4504.25,4404.60,,
06/27/2023,4391.80,4420.95,4454.00,4375.00,,
06/26/2023,4407.60,4300.00,4421.95,4270.15,,
06/23/2023,4306.90,4390.00,4399.95,4282.25,,
06/22/2023,4404.35,4470.00,4473.75,4312.50,,
06/21/2023,4474.10,4460.00,4505.00,4442.55,,
06/20/2023,4455.70,4444.00,4460.00,4400.50,,
06/19/2023,4441.65,4416.90,4479.00,4400.15,,
06/16/2023,4416.90,4349.95,4445.00,4331.05,,
06/15/2023,4321.50,4324.80,4358.55,4280.00,,
06/14/2023,4309.80,4334.90,4364.70,4290.85,,
06/13/2023,4334.90,4275.50,4354.95,4264.85,,
06/12/23,4268.60,4165.00,4284.55,4156.75,,
06/09/23,4143.10,4131.30,4225.00,4082.90,,
06/08/23,4120.90,4190.00,4191.05,4104.90,,
06/07/23,4184.35,4148.00,4200.00,4130.00,,
06/06/23,4116.30,4136.80,4198.00,4081.75,,
06/05/23,4136.90,4220.00,4299.90,4123.75,,
06/02/23,4266.35,4104.00,4305.00,4104.00,,
06/01/23,4218.65,4100.00,4281.95,4095.05,,
05/31/2023,4073.85,4065.00,4165.00,4033.00,,
05/30/2023,4065.25,4220.00,4220.00,4054.40,,
05/29/2023,4207.10,4149.95,4295.00,4101.00,,
05/26/2023,4197.75,3918.70,4250.00,3735.00,,
05/25/2023,3900.35,3888.60,3927.80,3830.00,,
05/24/2023,3878.10,3919.00,3942.70,3850.55,,
05/23/2023,3953.70,3895.00,3980.20,3892.05,,
05/22/2023,3888.80,3829.05,3896.00,3806.65,,
05/19/2023,3829.05,3773.05,3857.40,3732.70,,
05/18/2023,3743.15,3860.00,3870.00,3702.95,,
05/17/2023,3836.20,3955.35,3955.35,3780.00,,
05/16/2023,3933.30,3975.15,3979.55,3920.00,,
05/15/2023,3975.15,3880.00,4005.30,3870.05,,
05/12/23,3882.80,3888.90,3925.00,3842.30,,
05/11/23,3887.95,3925.00,3932.50,3864.90,,
05/10/23,3920.15,3913.00,3959.95,3890.30,,
05/09/23,3906.30,3918.00,3948.00,3876.00,,
05/08/23,3892.65,3811.00,3952.00,3811.00,,
05/05/23,3816.35,3795.25,3834.80,3780.00,,
05/04/23,3802.80,3780.00,3839.80,3758.05,,
05/03/23,3792.40,3800.00,3809.50,3772.00,,
05/02/23,3804.30,3775.20,3819.65,3745.05,,
04/28/2023,3776.20,3737.00,3792.65,3718.10,,
04/27/2023,3715.35,3651.90,3725.00,3646.25,,
04/26/2023,3652.35,3661.00,3691.45,3637.60,,
04/25/2023,3667.20,3679.00,3680.95,3635.00,,
04/24/2023,3670.60,3630.00,3677.00,3592.30,,
04/21/2023,3627.45,3624.00,3637.25,3595.00,,
04/20/2023,3606.70,3634.15,3656.70,3599.05,,
04/19/2023,3613.70,3683.70,3699.95,3606.00,,
04/18/2023,3704.55,3674.95,3718.00,3657.15,,
04/17/2023,3664.15,3778.00,3778.00,3603.95,,
04/13/2023,3820.45,3846.00,3860.80,3796.05,,
