Date,Price,Open,High,Low,,
12/29/2023,2967.10,2935.10,2975.00,2925.10,,
12/28/2023,2927.00,2941.00,2947.95,2900.60,,
12/27/2023,2927.50,2930.00,2948.20,2913.65,,
12/26/2023,2921.10,2881.00,2938.30,2864.00,,
12/22/2023,2871.40,2900.00,2913.40,2847.35,,
12/21/2023,2882.70,2848.40,2894.95,2819.55,,
12/20/2023,2859.35,3000.00,3009.00,2844.70,,
12/19/2023,2984.65,2974.00,3006.90,2946.65,,
12/18/2023,2975.55,2927.00,2980.00,2911.50,,
12/15/2023,2914.40,2985.00,2990.00,2902.15,,
12/14/2023,2980.20,3000.00,3003.20,2957.00,,
12/13/2023,2981.15,2963.95,3007.00,2953.00,,
12/12/23,2926.45,2930.00,2951.95,2901.00,,
12/11/23,2925.55,2917.00,2954.45,2898.00,,
12/08/23,2897.95,2900.00,2938.80,2873.65,,
12/07/23,2878.35,2900.55,2966.00,2870.00,,
12/06/23,2872.15,2877.00,2890.95,2830.00,,
12/05/23,2836.10,2825.00,2858.95,2783.00,,
12/04/23,2820.25,2795.00,2859.90,2780.80,,
12/01/23,2744.95,2705.35,2754.95,2705.35,,
11/30/2023,2705.35,2690.00,2713.45,2665.00,,
11/29/2023,2689.55,2657.00,2696.15,2645.75,,
11/28/2023,2642.45,2588.30,2650.00,2575.00,,
11/24/2023,2568.35,2596.00,2619.95,2562.30,,
11/23/2023,2606.05,2590.00,2615.50,2581.40,,
11/22/2023,2604.35,2645.00,2660.75,2594.05,,
11/21/2023,2625.85,2618.00,2639.80,2594.05,,
11/20/2023,2631.25,2612.00,2648.25,2590.20,,
11/17/2023,2606.55,2591.00,2660.00,2571.45,,
11/16/2023,2567.20,2548.95,2579.45,2524.20,,
11/15/2023,2543.35,2565.00,2565.00,2534.85,,
11/13/2023,2540.70,2525.00,2543.45,2500.00,,
11/12/23,2524.75,2534.50,2535.00,2512.15,,
11/10/23,2501.75,2572.00,2573.75,2493.00,,
11/09/23,2580.40,2580.00,2608.95,2571.70,,
11/08/23,2577.35,2562.00,2599.15,2546.10,,
11/07/23,2585.55,2563.50,2590.00,2549.00,,
11/06/23,2559.30,2499.95,2580.00,2486.25,,
11/03/23,2509.20,2500.00,2540.00,2472.55,,
11/02/23,2490.90,2440.00,2498.45,2422.60,,
11/01/23,2418.80,2463.00,2472.85,2414.75,,
10/31/2023,2453.85,2501.95,2520.00,2445.50,,
10/30/2023,2495.05,2471.20,2504.05,2445.00,,
10/27/2023,2471.25,2421.00,2479.95,2421.00,,
10/26/2023,2412.20,2427.60,2428.95,2393.00,,
10/25/2023,2428.95,2420.95,2482.00,2410.70,,
10/23/2023,2390.95,2445.00,2455.00,2388.85,,
10/20/2023,2439.05,2520.00,2527.55,2430.00,,
10/19/2023,2527.50,2559.35,2559.35,2515.55,,
10/18/2023,2571.55,2592.00,2595.00,2562.05,,
10/17/2023,2599.35,2605.00,2608.85,2586.50,,
10/16/2023,2593.55,2603.05,2604.00,2576.00,,
10/13/2023,2607.50,2570.00,2629.75,2570.00,,
10/12/23,2582.10,2526.00,2614.95,2526.00,,
10/11/23,2533.15,2521.00,2550.00,2510.00,,
10/10/23,2510.30,2490.90,2515.00,2473.25,,
10/09/23,2473.50,2498.05,2500.00,2440.30,,
10/06/23,2535.50,2555.00,2568.95,2502.10,,
10/05/23,2473.40,2420.00,2479.00,2400.30,,
10/04/23,2385.00,2414.95,2422.00,2377.00,,
10/03/23,2419.75,2385.00,2428.70,2367.05,,
09/29/2023,2381.20,2350.00,2387.15,2343.05,,
09/28/2023,2342.35,2373.05,2394.45,2333.35,,
09/27/2023,2388.15,2400.00,2409.95,2381.45,,
09/26/2023,2404.45,2385.00,2411.95,2362.55,,
09/25/2023,2378.80,2360.00,2385.00,2350.05,,
09/22/2023,2355.55,2401.00,2407.45,2346.05,,
09/21/2023,2387.15,2404.00,2412.00,2378.30,,
09/20/2023,2401.90,2379.05,2419.60,2365.05,,
09/18/2023,2400.55,2405.00,2415.00,2390.00,,
09/15/2023,2391.45,2463.00,2465.80,2383.00,,
09/14/2023,2464.65,2459.80,2482.00,2436.80,,
09/13/2023,2447.30,2458.00,2482.00,2435.05,,
09/12/23,2493.15,2510.00,2515.00,2464.10,,
09/11/23,2500.85,2490.00,2508.85,2477.15,,
09/08/23,2473.50,2470.00,2509.00,2449.50,,
09/07/23,2446.60,2461.00,2473.75,2441.00,,
09/06/23,2461.90,2460.00,2473.00,2440.00,,
09/05/23,2450.05,2477.95,2490.00,2440.35,,
09/04/23,2455.35,2461.70,2472.95,2430.00,,
09/01/23,2438.90,2429.95,2445.25,2403.00,,
08/31/2023,2435.00,2464.90,2464.90,2425.00,,
08/30/2023,2454.90,2483.05,2483.05,2412.30,,
08/29/2023,2485.40,2500.00,2510.50,2475.55,,
08/28/2023,2482.65,2479.10,2490.85,2458.95,,
08/25/2023,2458.15,2470.45,2492.40,2450.95,,
08/24/2023,2482.65,2515.95,2516.40,2475.50,,
