Date,Price,Open,High,Low,,
12/29/2023,4212.80,4194.90,4257.45,4175.15,,
12/28/2023,4197.55,4210.95,4210.95,4175.00,,
12/27/2023,4194.50,4167.00,4200.00,4157.50,,
12/26/2023,4158.70,4239.90,4243.95,4149.60,,
12/22/2023,4212.15,4220.00,4234.95,4151.00,,
12/21/2023,4197.00,4130.00,4220.00,4120.00,,
12/20/2023,4187.10,4383.70,4397.55,4167.10,,
12/19/2023,4373.70,4370.00,4387.95,4339.40,,
12/18/2023,4375.30,4379.85,4397.40,4327.40,,
12/15/2023,4360.75,4207.70,4374.95,4178.25,,
12/14/2023,4166.00,4114.80,4219.90,4110.00,,
12/13/2023,4069.95,4078.50,4135.00,4044.35,,
12/12/23,4108.80,4199.15,4265.95,4096.20,,
12/11/23,4212.95,4115.00,4242.45,4115.00,,
12/08/23,4131.35,4140.00,4180.00,4110.00,,
12/07/23,4134.15,4125.00,4162.00,4083.05,,
12/06/23,4111.25,4070.00,4152.45,4038.80,,
12/05/23,4031.30,4071.90,4071.90,3968.00,,
12/04/23,4052.00,4075.00,4075.00,4025.05,,
12/01/23,4043.30,4031.00,4080.00,4004.00,,
11/30/2023,4011.00,4039.00,4133.00,3989.00,,
11/29/2023,4022.75,4026.55,4043.80,3991.05,,
11/28/2023,4025.90,4049.90,4049.90,3957.75,,
11/24/2023,4031.15,4100.00,4120.00,4019.50,,
11/23/2023,4095.05,4100.00,4134.40,4063.30,,
11/22/2023,4082.85,4140.00,4185.00,4046.35,,
11/21/2023,4153.70,4240.00,4252.75,4144.50,,
11/20/2023,4195.00,4180.05,4244.75,4175.00,,
11/17/2023,4180.00,4149.90,4253.85,4140.00,,
11/16/2023,4139.70,4052.40,4150.20,4015.20,,
11/15/2023,4051.45,4024.95,4065.00,4012.00,,
11/13/2023,3998.25,4034.95,4043.90,3987.05,,
11/12/23,4035.00,4019.00,4074.00,4019.00,,
11/10/23,4019.15,4032.05,4074.00,4005.05,,
11/09/23,4060.55,4100.00,4110.00,4046.80,,
11/08/23,4080.25,3986.00,4089.40,3930.00,,
11/07/23,3960.95,3999.00,4000.00,3932.05,,
11/06/23,3981.60,3967.95,4000.30,3945.00,,
11/03/23,3933.90,3920.20,3987.35,3920.20,,
11/02/23,3909.20,3937.10,3944.90,3890.00,,
11/01/23,3916.05,3879.95,3949.10,3871.25,,
10/31/2023,3877.65,3904.00,3920.55,3869.25,,
10/30/2023,3885.30,3949.00,3968.85,3877.60,,
10/27/2023,3932.55,3955.00,3955.00,3897.25,,
10/26/2023,3902.60,3950.00,3950.00,3868.80,,
10/25/2023,3959.55,3938.00,3985.00,3913.05,,
10/23/2023,3933.90,3925.00,3980.00,3901.20,,
10/20/2023,3926.80,4012.30,4029.90,3897.00,,
10/19/2023,4011.45,4071.00,4071.00,3969.25,,
10/18/2023,4132.10,4190.00,4204.90,4105.95,,
10/17/2023,4170.50,4144.00,4185.00,4119.70,,
10/16/2023,4106.50,4115.00,4147.45,4089.25,,
10/13/2023,4100.15,4077.25,4138.00,4073.25,,
10/12/23,4099.20,4162.00,4250.00,4080.05,,
10/11/23,4161.90,4180.00,4263.60,4141.25,,
10/10/23,4161.60,4099.90,4185.00,4063.25,,
10/09/23,4093.25,4094.00,4171.75,4069.25,,
10/06/23,4102.20,4045.00,4108.75,4020.10,,
10/05/23,4017.40,4062.00,4084.95,4001.00,,
10/04/23,4041.85,4085.00,4108.70,4003.25,,
10/03/23,4087.15,4120.00,4158.00,4064.75,,
09/29/2023,4110.85,4061.25,4145.00,4059.25,,
09/28/2023,4067.30,4189.90,4198.90,4059.25,,
09/27/2023,4166.50,4142.00,4182.00,4128.20,,
09/26/2023,4132.45,4132.05,4218.85,4125.25,,
09/25/2023,4133.25,4195.35,4217.40,4117.25,,
09/22/2023,4195.30,4254.40,4281.85,4187.25,,
09/21/2023,4254.40,4200.00,4284.15,4195.25,,
09/20/2023,4220.85,4253.00,4253.00,4179.25,,
09/18/2023,4253.85,4319.85,4332.60,4241.70,,
09/15/2023,4298.95,4270.00,4398.30,4270.00,,
09/14/2023,4272.70,4231.70,4298.00,4220.00,,
09/13/2023,4209.50,4198.95,4234.60,4097.25,,
09/12/23,4288.35,4425.00,4425.00,4227.25,,
09/11/23,4396.55,4369.80,4528.45,4347.85,,
09/08/23,4347.75,4290.00,4363.55,4254.50,,
09/07/23,4270.45,4209.90,4286.90,4176.80,,
09/06/23,4206.90,4210.00,4233.95,4190.05,,
09/05/23,4204.25,4138.00,4235.00,4120.15,,
09/04/23,4140.10,4164.00,4172.20,4097.05,,
09/01/23,4136.25,4110.00,4166.80,4091.00,,
08/31/2023,4109.30,4060.00,4136.70,4039.40,,
08/30/2023,4039.30,4024.95,4059.60,4002.20,,
08/29/2023,4004.50,4001.55,4029.95,3991.25,,
08/28/2023,4001.60,3997.80,4014.00,3923.25,,
08/25/2023,3964.10,4001.00,4025.00,3955.95,,
08/24/2023,4014.30,3970.00,4040.90,3951.25,,
08/23/2023,3957.65,3958.00,3983.90,3947.25,,
08/22/2023,3955.65,4020.00,4024.00,3947.25,,
08/21/2023,3998.00,4000.00,4044.00,3980.10,,
08/18/2023,3997.05,4059.90,4078.70,3967.25,,
08/17/2023,4054.65,4109.80,4110.00,4017.65,,
08/16/2023,4099.05,3995.00,4144.80,3983.15,,
08/14/2023,3985.60,3931.00,3994.00,3909.90,,
08/11/23,3958.40,3971.05,3994.00,3941.00,,
08/10/23,3971.05,3989.95,3989.95,3936.25,,
08/09/23,3979.95,3964.85,3988.00,3924.55,,
08/08/23,3950.80,3964.00,3978.75,3925.10,,
08/07/23,3952.60,3870.00,3964.00,3860.10,,
08/04/23,3883.30,3821.90,3956.30,3821.85,,
08/03/23,3816.75,3840.10,3865.00,3795.30,,
08/02/23,3852.05,3862.25,3916.05,3813.10,,
08/01/23,3870.00,3905.95,3905.95,3854.05,,
07/31/2023,3886.00,3825.00,3898.90,3825.00,,
07/28/2023,3818.85,3817.95,3870.80,3790.05,,
07/27/2023,3789.50,3790.00,3833.30,3779.25,,
07/26/2023,3797.95,3887.90,3887.90,3780.00,,
07/25/2023,3844.20,3840.05,3882.20,3821.15,,
07/24/2023,3850.85,3830.00,3888.00,3795.00,,
07/21/2023,3856.55,3900.00,3922.15,3827.00,,
07/20/2023,3928.30,3957.10,3957.10,3912.00,,
07/19/2023,3957.10,3935.00,3975.00,3898.00,,
07/18/2023,3916.70,3951.10,3971.90,3886.25,,
07/17/2023,3951.10,4042.00,4048.20,3940.00,,
07/14/2023,4021.50,3860.00,4029.95,3848.80,,
07/13/2023,3843.90,3814.95,3911.00,3800.30,,
07/12/23,3809.25,3849.95,3849.95,3771.00,,
07/11/23,3834.10,3754.00,3849.80,3754.00,,
07/10/23,3753.10,3835.00,3835.00,3737.25,,
07/07/23,3806.40,3834.00,3912.00,3795.00,,
07/06/23,3868.30,3862.90,3896.00,3835.00,,
07/05/23,3862.90,3842.70,3889.65,3814.60,,
07/04/23,3832.95,3829.90,3845.55,3774.70,,
07/03/23,3817.15,3887.90,3887.90,3799.00,,
06/30/2023,3858.65,3850.00,3896.85,3825.05,,
06/28/2023,3835.25,3819.65,3850.00,3782.30,,
06/27/2023,3805.00,3829.95,3844.60,3795.40,,
06/26/2023,3827.35,3809.95,3853.25,3788.65,,
06/23/2023,3813.25,3860.00,3860.00,3746.10,,
06/22/2023,3853.85,3910.95,3910.95,3842.90,,
06/21/2023,3908.10,3931.00,3944.00,3885.05,,
06/20/2023,3911.65,3869.75,3942.00,3861.10,,
06/19/2023,3864.35,3875.05,3899.00,3825.40,,
06/16/2023,3869.90,3910.00,3972.95,3842.20,,
06/15/2023,3851.90,3900.00,3926.90,3838.25,,
06/14/2023,3884.45,3797.50,3900.00,3770.60,,
06/13/2023,3797.50,3626.20,3840.00,3613.30,,
06/12/23,3595.80,3530.05,3603.75,3523.25,,
06/09/23,3540.95,3519.25,3572.90,3519.25,,
06/08/23,3541.20,3575.10,3589.95,3535.00,,
06/07/23,3592.85,3579.90,3613.95,3563.30,,
06/06/23,3551.45,3628.00,3640.00,3546.20,,
06/05/23,3629.30,3649.70,3655.00,3601.40,,
06/02/23,3613.55,3611.55,3657.00,3602.20,,
06/01/23,3616.55,3650.00,3656.00,3610.00,,
05/31/2023,3633.60,3589.10,3642.00,3573.25,,
05/30/2023,3589.10,3571.00,3597.00,3562.05,,
05/29/2023,3574.65,3604.95,3615.00,3564.00,,
05/26/2023,3596.80,3550.15,3622.95,3550.15,,
05/25/2023,3565.70,3565.05,3581.00,3533.50,,
05/24/2023,3573.10,3545.00,3600.00,3543.10,,
05/23/2023,3564.75,3582.00,3614.85,3541.00,,
05/22/2023,3575.55,3562.00,3579.55,3525.00,,
05/19/2023,3550.10,3536.40,3567.00,3519.00,,
05/18/2023,3508.35,3565.20,3580.95,3501.00,,
05/17/2023,3560.85,3554.20,3565.00,3500.00,,
05/16/2023,3549.65,3534.00,3564.95,3520.00,,
05/15/2023,3536.10,3550.25,3561.00,3510.00,,
05/12/23,3551.45,3535.05,3558.05,3517.60,,
05/11/23,3549.85,3510.95,3566.00,3500.10,,
05/10/23,3492.60,3453.95,3500.00,3419.25,,
05/09/23,3437.25,3432.35,3512.90,3417.25,,
05/08/23,3707.60,3687.95,3722.50,3673.30,,
05/05/23,3665.90,3708.00,3708.40,3649.25,,
05/04/23,3692.90,3650.00,3707.50,3639.25,,
05/03/23,3646.80,3635.00,3664.30,3615.25,,
05/02/23,3633.15,3624.75,3638.95,3591.00,,
04/28/2023,3561.85,3530.90,3590.95,3525.00,,
04/27/2023,3500.35,3500.00,3529.80,3446.25,,
04/26/2023,3467.25,3419.10,3475.00,3401.00,,
04/25/2023,3419.05,3430.00,3436.00,3394.00,,
04/24/2023,3417.35,3311.20,3426.10,3304.00,,
04/21/2023,3309.20,3288.05,3349.60,3280.20,,
04/20/2023,3296.40,3289.00,3315.00,3265.25,,
04/19/2023,3289.85,3272.05,3319.00,3272.05,,
04/18/2023,3299.30,3272.55,3309.95,3257.25,,
04/17/2023,3281.15,3274.85,3330.00,3227.85,,
04/13/2023,3301.75,3287.25,3317.00,3285.25,,
04/12/23,3312.50,3284.15,3324.60,3269.25,,
04/11/23,3284.15,3303.85,3303.85,3259.25,,
