Date,Price,Open,High,Low,,
12/29/2023,17366.05,17241.20,17590.00,17171.25,,
12/28/2023,17128.30,17484.90,17629.90,17079.00,,
12/27/2023,17484.85,17189.30,17545.00,17168.00,,
12/26/2023,17168.45,16929.05,17501.90,16927.60,,
12/22/2023,17001.25,16929.85,17132.70,16929.85,,
12/21/2023,16880.35,17000.00,17129.00,16675.00,,
12/20/2023,17052.85,17391.70,17470.00,16935.70,,
12/19/2023,17348.10,17351.55,17505.00,17281.65,,
12/18/2023,17351.50,17500.00,17532.10,17301.00,,
12/15/2023,17478.95,17244.90,17555.45,17187.05,,
12/14/2023,17159.10,17123.00,17409.95,17123.00,,
12/13/2023,17176.65,17032.00,17199.85,17000.00,,
12/12/23,16992.85,17226.35,17252.65,16955.00,,
12/11/23,17195.50,17200.00,17440.70,17135.85,,
12/08/23,17162.10,17532.95,17532.95,17100.00,,
12/07/23,17469.20,17456.00,17500.00,17344.85,,
12/06/23,17444.35,17100.00,17540.85,17100.00,,
12/05/23,17435.05,17494.15,17659.00,17201.00,,
12/04/23,17494.15,17435.00,17650.00,17335.85,,
12/01/23,17393.15,17239.90,17469.95,17104.80,,
11/30/2023,17239.90,17373.65,17395.35,16800.00,,
11/29/2023,17280.75,17658.45,17658.45,17250.00,,
11/28/2023,17579.40,17851.80,17931.45,17500.00,,
11/24/2023,17904.50,18090.00,18090.55,17840.55,,
11/23/2023,17900.30,17986.95,18238.95,17805.00,,
11/22/2023,17907.85,17999.95,18385.95,17801.00,,
11/21/2023,17876.50,18389.95,18493.15,17722.25,,
11/20/2023,18211.70,18625.00,19250.00,18012.25,,
11/17/2023,18427.55,18110.00,18790.00,18029.05,,
11/16/2023,18147.65,18250.00,18498.00,18075.00,,
11/15/2023,18186.10,17875.60,18339.05,17684.95,,
11/13/2023,17782.00,17852.45,17952.00,17623.55,,
11/12/23,17854.10,17899.95,18162.90,17655.00,,
11/10/23,17810.70,17320.15,17965.65,17250.05,,
11/09/23,17223.95,17656.20,17656.20,17195.10,,
11/08/23,17570.05,17589.00,17748.00,17510.05,,
11/07/23,17508.40,17656.20,18003.10,17400.00,,
11/06/23,17656.20,17539.10,17750.00,17539.10,,
11/03/23,17538.10,17790.00,17870.00,17336.00,,
11/02/23,17824.55,17825.00,18000.00,17336.00,,
11/01/23,17816.10,17540.00,17899.90,17387.05,,
10/31/2023,17540.70,17290.00,17673.00,16745.15,,
10/30/2023,16681.80,17000.50,17199.25,16625.20,,
10/27/2023,17000.50,16883.55,17076.40,16820.15,,
10/26/2023,16859.65,17181.75,17284.60,16751.00,,
10/25/2023,17181.75,16906.05,17544.25,16740.00,,
10/23/2023,16906.05,17140.60,17224.00,16825.15,,
10/20/2023,17140.60,17319.70,17590.00,17023.05,,
10/19/2023,17364.00,17311.60,17488.00,17210.00,,
10/18/2023,17274.55,17411.60,17472.00,17233.10,,
10/17/2023,17346.85,17598.00,17603.85,17205.10,,
10/16/2023,17598.70,17776.95,17777.00,17526.10,,
10/13/2023,17639.00,17682.05,17743.20,17605.50,,
10/12/23,17683.90,17850.00,17897.70,17605.05,,
10/11/23,17761.30,17769.90,17858.15,17650.05,,
10/10/23,17769.35,17692.05,17885.00,17611.05,,
10/09/23,17599.45,17700.10,17904.65,17505.10,,
10/06/23,17891.70,17901.85,18052.15,17721.60,,
10/05/23,17819.90,17785.00,18000.00,17721.00,,
10/04/23,17773.15,17820.00,18000.00,17626.00,,
10/03/23,17786.65,17949.75,18125.75,17640.00,,
09/29/2023,17952.45,17800.00,18089.90,17581.25,,
09/28/2023,17717.70,18307.05,18597.95,17411.00,,
09/27/2023,18367.60,17678.15,18490.00,17632.10,,
09/26/2023,17715.70,17600.00,17815.30,17531.15,,
09/25/2023,17562.80,17704.85,17800.00,17460.15,,
09/22/2023,17677.70,17182.50,17819.95,17095.85,,
09/21/2023,17163.35,17443.75,17481.05,17094.50,,
09/20/2023,17497.15,17480.00,17612.75,17368.80,,
09/18/2023,17480.65,17432.00,17624.80,17400.00,,
09/15/2023,17452.15,17316.00,17504.05,17261.55,,
09/14/2023,17230.85,17338.00,17687.25,17020.00,,
09/13/2023,17322.00,17047.15,17499.95,16900.00,,
09/12/23,17099.30,17390.00,17390.00,16900.00,,
09/11/23,17339.90,17130.05,17390.00,17051.00,,
09/08/23,17137.90,16818.65,17325.00,16722.05,,
09/07/23,16808.00,16398.05,16995.50,16151.00,,
09/06/23,16395.50,16190.20,16450.00,16190.15,,
09/05/23,16153.75,16312.20,16400.00,16064.10,,
09/04/23,16310.80,16099.95,16350.00,16050.05,,
09/01/23,16119.25,15940.00,16220.00,15823.80,,
08/31/2023,15956.75,15949.00,16281.90,15831.65,,
08/30/2023,15798.35,15938.90,16062.65,15666.10,,
08/29/2023,15890.70,16500.00,16600.00,15701.60,,
08/28/2023,16422.20,15510.00,16600.00,15437.05,,
08/25/2023,15542.95,15628.55,15649.40,15471.60,,
08/24/2023,15628.60,15600.00,15650.00,15400.00,,
08/23/2023,15600.80,15470.00,15700.00,15402.20,,
08/22/2023,15451.25,15454.75,15470.00,15350.00,,
08/21/2023,15387.80,15429.05,15553.65,15324.15,,
08/18/2023,15348.30,15451.80,15660.00,15286.15,,
08/17/2023,15501.25,15830.00,15830.00,15401.55,,
08/16/2023,15845.50,15435.40,15883.00,15200.00,,
08/14/2023,15394.40,15284.00,15508.45,15155.55,,
08/11/23,15283.80,15647.00,15647.00,15160.10,,
08/10/23,15619.65,15490.00,15646.60,15462.00,,
08/09/23,15486.50,15665.00,15739.95,15462.40,,
08/08/23,15679.05,15540.00,15798.90,15540.00,,
