Date,Price,Open,High,Low,,
12/29/2023,4024.70,3973.00,4030.70,3948.05,,
12/28/2023,3959.85,4009.45,4031.70,3945.25,,
12/27/2023,3977.65,4029.95,4052.85,3964.55,,
12/26/2023,4004.35,3985.00,4017.50,3965.10,,
12/22/2023,3955.55,4085.00,4120.00,3929.55,,
12/21/2023,3966.95,3856.00,3974.00,3809.15,,
12/20/2023,3909.15,4054.80,4105.85,3876.40,,
12/19/2023,4019.60,4150.00,4174.40,4000.05,,
12/18/2023,4139.25,3915.30,4245.00,3901.10,,
12/15/2023,3907.30,3935.00,3955.00,3864.20,,
12/14/2023,3918.05,3950.00,3950.00,3880.80,,
12/13/2023,3934.40,3867.00,3947.00,3858.15,,
12/12/23,3856.45,3886.25,3906.30,3833.00,,
12/11/23,3886.25,3830.00,3895.00,3830.00,,
12/08/23,3827.20,3856.00,3882.45,3785.05,,
12/07/23,3832.25,3867.95,3868.00,3813.70,,
12/06/23,3851.95,3850.00,3924.50,3835.05,,
12/05/23,3843.50,3810.00,3850.00,3776.05,,
12/04/23,3807.20,3799.95,3837.95,3740.60,,
12/01/23,3753.10,3670.00,3779.95,3647.20,,
11/30/2023,3657.60,3639.90,3665.55,3615.70,,
11/29/2023,3635.75,3678.00,3678.00,3586.65,,
11/28/2023,3646.50,3640.00,3657.00,3575.55,,
11/24/2023,3628.60,3640.00,3641.85,3605.05,,
11/23/2023,3619.20,3556.00,3636.00,3530.00,,
11/22/2023,3549.00,3589.05,3600.00,3520.00,,
11/21/2023,3589.05,3600.00,3609.60,3561.40,,
11/20/2023,3586.20,3580.00,3595.00,3560.00,,
11/17/2023,3570.75,3530.00,3581.20,3502.05,,
11/16/2023,3525.00,3509.80,3540.65,3466.85,,
11/15/2023,3495.50,3465.00,3568.80,3413.05,,
11/13/2023,3418.00,3421.00,3433.50,3398.25,,
11/12/23,3425.05,3429.90,3429.90,3412.00,,
11/10/23,3407.35,3385.00,3419.60,3377.05,,
11/09/23,3389.35,3436.00,3445.00,3381.00,,
11/08/23,3423.90,3345.00,3430.15,3345.00,,
11/07/23,3347.60,3300.00,3365.75,3299.95,,
11/06/23,3367.20,3375.55,3380.10,3338.65,,
11/03/23,3367.55,3395.00,3395.00,3353.70,,
11/02/23,3370.90,3334.90,3381.80,3329.00,,
11/01/23,3325.65,3340.00,3359.00,3313.80,,
10/31/2023,3330.95,3421.00,3430.00,3246.00,,
10/30/2023,3430.60,3400.15,3463.95,3400.00,,
10/27/2023,3427.00,3400.00,3448.95,3384.75,,
10/26/2023,3406.75,3420.00,3432.95,3350.00,,
10/25/2023,3432.85,3414.75,3441.85,3385.00,,
10/23/2023,3414.75,3441.80,3474.50,3403.05,,
10/20/2023,3441.80,3449.95,3474.95,3416.05,,
10/19/2023,3463.75,3487.95,3487.95,3435.20,,
10/18/2023,3492.35,3595.00,3611.00,3485.00,,
10/17/2023,3593.05,3624.80,3624.80,3580.00,,
10/16/2023,3602.05,3600.00,3619.00,3576.05,,
10/13/2023,3592.20,3565.00,3609.30,3562.30,,
10/12/23,3601.00,3560.05,3610.00,3558.50,,
10/11/23,3558.50,3626.00,3633.95,3545.55,,
10/10/23,3591.05,3537.00,3604.10,3537.00,,
10/09/23,3541.95,3520.00,3557.35,3468.65,,
10/06/23,3533.00,3544.70,3575.00,3502.00,,
10/05/23,3519.70,3519.00,3554.40,3505.30,,
10/04/23,3501.40,3570.00,3602.05,3495.85,,
10/03/23,3569.65,3660.00,3672.00,3558.50,,
09/29/2023,3672.50,3629.15,3689.95,3629.15,,
09/28/2023,3626.55,3740.95,3740.95,3615.00,,
09/27/2023,3725.55,3680.00,3735.00,3643.15,,
09/26/2023,3680.30,3700.00,3708.30,3668.85,,
09/25/2023,3694.60,3710.00,3714.80,3662.00,,
09/22/2023,3689.05,3748.15,3766.10,3680.10,,
09/21/2023,3740.00,3770.00,3817.85,3723.00,,
09/20/2023,3774.10,3773.80,3809.95,3749.65,,
09/18/2023,3778.75,3810.85,3830.90,3760.80,,
09/15/2023,3810.85,3841.60,3853.95,3805.00,,
09/14/2023,3828.15,3836.70,3851.00,3801.00,,
09/13/2023,3828.65,3854.80,3854.80,3800.20,,
09/12/23,3839.90,3966.70,3982.80,3813.05,,
09/11/23,3954.75,3945.60,3999.90,3935.05,,
09/08/23,3945.60,3945.00,3973.90,3928.05,,
09/07/23,3939.95,3948.75,3981.40,3930.00,,
09/06/23,3944.80,3920.00,3954.00,3897.80,,
09/05/23,3900.35,3900.00,3926.90,3882.85,,
09/04/23,3892.25,3890.00,3918.20,3825.25,,
09/01/23,3887.05,3922.10,3924.85,3842.05,,
08/31/2023,3922.10,3865.00,3992.95,3846.20,,
08/30/2023,3866.85,3885.00,3890.00,3857.05,,
08/29/2023,3865.35,3869.00,3885.00,3851.50,,
08/28/2023,3847.00,3795.95,3862.90,3783.25,,
08/25/2023,3786.95,3806.00,3865.00,3779.60,,
08/24/2023,3803.60,3738.90,3848.25,3732.10,,
08/23/2023,3718.35,3665.00,3738.00,3665.00,,
08/22/2023,3663.65,3662.90,3688.05,3651.05,,
08/21/2023,3652.85,3632.80,3666.45,3613.30,,
08/18/2023,3606.10,3578.00,3632.00,3578.00,,
08/17/2023,3576.05,3624.00,3629.00,3565.50,,
08/16/2023,3607.35,3600.00,3628.35,3566.85,,
08/14/2023,3602.60,3666.20,3674.75,3567.00,,
08/11/23,3652.75,3669.90,3709.15,3643.15,,
08/10/23,3668.45,3736.00,3749.95,3654.25,,
08/09/23,3732.10,3799.90,3800.00,3678.65,,
08/08/23,3779.35,3846.00,3846.00,3722.00,,
08/07/23,3834.10,3810.00,3866.00,3793.05,,
08/04/23,3776.00,3810.00,3828.75,3763.45,,
08/03/23,3794.95,3822.95,3867.80,3725.00,,
08/02/23,3819.00,3890.00,3897.45,3787.50,,
08/01/23,3890.95,4005.00,4005.00,3878.00,,
07/31/2023,3983.00,3939.40,4068.85,3902.50,,
07/28/2023,3857.70,3765.00,3864.30,3743.35,,
07/27/2023,3752.00,3764.95,3792.95,3738.80,,
07/26/2023,3763.30,3699.00,3772.00,3672.05,,
07/25/2023,3692.75,3699.85,3729.40,3666.30,,
07/24/2023,3694.90,3620.00,3711.60,3605.05,,
07/21/2023,3613.95,3637.00,3662.95,3605.55,,
07/20/2023,3635.40,3718.00,3743.95,3510.55,,
07/19/2023,3710.35,3684.20,3750.00,3684.20,,
07/18/2023,3701.65,3705.10,3738.00,3680.00,,
07/17/2023,3702.10,3724.00,3734.25,3687.05,,
07/14/2023,3689.80,3747.95,3755.00,3681.10,,
07/13/2023,3728.35,3840.40,3840.40,3704.00,,
07/12/23,3828.85,3799.80,3876.15,3794.75,,
07/11/23,3766.60,3666.50,3776.00,3651.05,,
07/10/23,3647.45,3700.00,3713.80,3638.15,,
07/07/23,3690.45,3711.55,3748.75,3680.10,,
07/06/23,3730.75,3724.75,3760.00,3710.65,,
07/05/23,3710.00,3702.00,3759.00,3700.25,,
07/04/23,3703.20,3727.00,3749.90,3670.00,,
07/03/23,3727.45,3770.00,3788.00,3714.45,,
06/30/2023,3766.45,3764.00,3775.90,3724.70,,
06/28/2023,3764.75,3734.00,3781.60,3682.30,,
06/27/2023,3706.20,3695.50,3722.55,3688.50,,
06/26/2023,3699.35,3679.95,3713.00,3645.10,,
06/23/2023,3675.70,3697.00,3705.90,3640.10,,
06/22/2023,3688.85,3808.00,3810.00,3680.40,,
06/21/2023,3802.25,3835.00,3859.90,3780.10,,
06/20/2023,3829.40,3830.00,3840.00,3795.40,,
06/19/2023,3807.70,3802.00,3838.00,3783.35,,
06/16/2023,3793.10,3746.65,3799.00,3740.00,,
06/15/2023,3751.70,3768.00,3778.00,3730.55,,
06/14/2023,3763.20,3749.00,3769.35,3726.60,,
06/13/2023,3734.40,3655.00,3742.20,3645.05,,
06/12/23,3658.40,3679.00,3679.95,3638.00,,
06/09/23,3658.55,3674.95,3695.45,3631.05,,
06/08/23,3659.45,3668.95,3673.60,3612.05,,
06/07/23,3653.90,3615.00,3659.85,3600.00,,
06/06/23,3586.25,3525.05,3593.00,3516.20,,
06/05/23,3522.00,3552.65,3583.70,3512.05,,
06/02/23,3552.65,3539.00,3569.95,3526.70,,
06/01/23,3534.30,3551.65,3559.70,3518.00,,
05/31/2023,3551.65,3560.00,3578.60,3522.85,,
05/30/2023,3559.70,3533.00,3605.00,3520.15,,
05/29/2023,3512.70,3550.00,3554.00,3491.00,,
05/26/2023,3519.40,3500.00,3545.00,3478.95,,
05/25/2023,3487.25,3438.00,3498.55,3418.30,,
05/24/2023,3431.00,3410.60,3482.70,3376.00,,
05/23/2023,3410.60,3416.95,3432.00,3368.05,,
05/22/2023,3399.70,3600.10,3606.00,3314.05,,
05/19/2023,3722.70,3841.15,3878.00,3619.05,,
05/18/2023,3832.25,3919.00,3919.00,3822.10,,
05/17/2023,3891.20,3888.00,3918.40,3840.55,,
05/16/2023,3872.00,3856.00,3914.95,3846.00,,
05/15/2023,3833.40,3914.00,3925.30,3819.25,,
05/12/23,3891.05,3835.00,3938.40,3791.80,,
05/11/23,3797.05,3721.40,3812.00,3708.50,,
05/10/23,3714.45,3680.00,3759.80,3665.25,,
05/09/23,3664.60,3723.00,3724.25,3632.40,,
05/08/23,3689.75,3649.95,3700.00,3620.65,,
05/05/23,3634.45,3589.95,3644.10,3581.00,,
05/04/23,3578.35,3543.00,3596.90,3532.00,,
05/03/23,3540.90,3500.00,3548.50,3470.40,,
05/02/23,3500.10,3462.20,3528.75,3450.05,,
04/28/2023,3449.60,3450.00,3468.95,3431.05,,
04/27/2023,3439.45,3449.95,3482.00,3430.00,,
04/26/2023,3447.65,3337.95,3456.35,3335.05,,
04/25/2023,3331.35,3283.90,3357.20,3271.00,,
04/24/2023,3268.60,3250.00,3285.00,3246.05,,
04/21/2023,3249.45,3289.90,3296.25,3240.00,,
04/20/2023,3271.30,3277.00,3301.15,3262.90,,
04/19/2023,3261.75,3319.50,3330.00,3258.00,,
04/18/2023,3315.75,3352.90,3362.85,3305.20,,
04/17/2023,3339.65,3330.00,3375.00,3316.00,,
04/13/2023,3326.50,3339.95,3365.90,3310.00,,
04/12/23,3334.65,3353.95,3376.80,3317.55,,
04/11/23,3346.60,3380.00,3400.00,3339.00,,
04/10/23,3383.60,3365.00,3400.00,3355.35,,
04/06/23,3359.85,3351.95,3365.25,3322.50,,
04/05/23,3351.15,3352.75,3377.60,3323.85,,
04/03/23,3352.75,3347.00,3360.00,3310.20,,
03/31/2023,3327.15,3325.95,3350.00,3315.00,,
03/29/2023,3325.85,3275.95,3349.00,3275.95,,
03/28/2023,3272.70,3294.90,3307.90,3255.05,,
03/27/2023,3289.75,3333.45,3355.55,3276.55,,
03/24/2023,3333.45,3350.00,3350.00,3305.85,,
03/23/2023,3324.95,3307.40,3340.00,3296.90,,
03/22/2023,3307.40,3328.00,3346.95,3275.70,,
03/21/2023,3313.15,3305.00,3332.85,3283.00,,
03/20/2023,3292.25,3260.00,3307.95,3260.00,,
03/17/2023,3290.40,3280.00,3317.00,3262.70,,
03/16/2023,3263.80,3271.60,3274.80,3203.90,,
03/15/2023,3280.60,3284.80,3310.15,3265.00,,
03/14/2023,3252.90,3264.90,3276.55,3221.70,,
03/13/2023,3269.95,3318.80,3319.95,3244.75,,
03/10/23,3309.05,3260.00,3322.65,3247.05,,
03/09/23,3299.30,3295.00,3321.80,3285.70,,
03/08/23,3287.45,3214.00,3294.00,3205.50,,
03/06/23,3222.15,3176.00,3228.60,3169.55,,
03/03/23,3163.60,3155.00,3183.10,3132.00,,
03/02/23,3132.05,3260.00,3260.00,3120.00,,
03/01/23,3257.15,3258.00,3266.70,3230.25,,
02/28/2023,3246.60,3217.95,3264.35,3180.00,,
02/27/2023,3201.90,3246.50,3260.30,3162.30,,
02/24/2023,3246.50,3273.30,3278.05,3220.00,,
02/23/2023,3257.00,3259.90,3280.00,3235.10,,
02/22/2023,3251.50,3295.00,3313.80,3246.05,,
02/21/2023,3294.20,3219.95,3304.80,3195.75,,
02/20/2023,3196.95,3209.90,3241.95,3193.00,,
02/17/2023,3194.95,3222.65,3245.00,3185.40,,
02/16/2023,3222.70,3246.95,3250.00,3213.10,,
02/15/2023,3229.40,3150.00,3248.05,3091.25,,
02/14/2023,3124.95,3135.00,3147.65,3080.10,,
02/13/2023,3129.40,3165.00,3165.00,3078.30,,
02/10/23,3130.75,3098.00,3145.00,3090.00,,
02/09/23,3103.70,3111.00,3174.00,3096.00,,
02/08/23,3121.00,3119.00,3134.50,3091.10,,
02/07/23,3118.05,3097.00,3135.00,3056.00,,
02/06/23,3078.40,3043.00,3087.00,3019.40,,
02/03/23,3027.70,2934.95,3049.00,2920.30,,
02/02/23,2925.50,2945.10,2972.90,2904.05,,
02/01/23,2945.10,2950.00,3071.05,2891.40,,
01/31/2023,2926.45,2925.15,2980.00,2917.40,,
01/30/2023,2917.05,2957.05,2986.85,2900.00,,
01/27/2023,2957.90,2998.95,3010.30,2900.50,,
01/25/2023,2995.30,3038.00,3042.10,2964.00,,
01/24/2023,3038.00,3058.50,3058.50,3015.70,,
01/23/2023,3058.50,3085.00,3097.55,3036.40,,
01/20/2023,3060.90,3055.85,3107.50,3044.15,,
01/19/2023,3047.65,3064.00,3093.90,3043.00,,
