Date,Price,Open,High,Low,,
12/29/2023,3541.65,3553.25,3570.00,3515.05,,
12/28/2023,3540.75,3617.50,3676.50,3520.55,,
12/27/2023,3650.65,3644.75,3690.45,3633.40,,
12/26/2023,3608.30,3588.10,3675.00,3582.20,,
12/22/2023,3588.10,3564.15,3610.00,3530.20,,
12/21/2023,3565.95,3500.00,3625.00,3399.75,,
12/20/2023,3559.75,3618.00,3629.65,3530.00,,
12/19/2023,3599.05,3661.95,3674.70,3572.00,,
12/18/2023,3664.25,3657.00,3711.70,3605.15,,
12/15/2023,3656.55,3724.00,3726.65,3644.00,,
12/14/2023,3711.55,3749.05,3756.95,3690.05,,
12/13/2023,3763.70,3835.10,3889.00,3709.00,,
12/12/23,3869.30,3850.00,3969.90,3708.05,,
12/11/23,3895.85,3605.00,4050.00,3570.00,,
12/08/23,3574.20,3428.75,3615.00,3390.05,,
12/07/23,3412.60,3349.70,3495.00,3334.20,,
12/06/23,3334.25,3325.00,3365.60,3272.80,,
12/05/23,3318.25,3360.00,3360.00,3302.00,,
12/04/23,3349.00,3304.75,3357.40,3260.25,,
12/01/23,3291.70,3367.50,3388.55,3281.85,,
11/30/2023,3366.30,3439.05,3439.05,3344.00,,
11/29/2023,3453.25,3439.00,3505.55,3425.70,,
11/28/2023,3421.75,3461.00,3477.85,3375.60,,
11/24/2023,3460.95,3430.00,3505.00,3388.05,,
11/23/2023,3422.45,3699.00,3699.00,3400.00,,
11/22/2023,3730.35,3196.00,3830.00,3170.00,,
11/21/2023,3196.10,3174.85,3208.00,3133.00,,
11/20/2023,3170.25,3150.00,3196.00,3131.00,,
11/17/2023,3164.85,3205.90,3205.90,3129.85,,
11/16/2023,3201.95,3187.85,3223.95,3152.00,,
11/15/2023,3186.50,3199.70,3208.00,3131.00,,
11/13/2023,3164.25,3199.70,3215.00,3132.00,,
11/12/23,3199.70,3210.00,3224.00,3185.00,,
11/10/23,3195.75,3159.95,3220.00,3109.80,,
11/09/23,3152.05,3261.15,3261.15,3130.00,,
11/08/23,3252.30,3229.95,3259.80,3201.05,,
11/07/23,3207.45,3141.15,3230.00,3140.00,,
11/06/23,3141.15,3210.00,3240.00,3124.20,,
11/03/23,3199.35,3137.70,3227.00,3126.85,,
11/02/23,3138.20,3144.00,3178.00,3086.65,,
11/01/23,3105.25,3176.40,3194.55,3081.35,,
10/31/2023,3150.20,3084.50,3179.00,3075.15,,
10/30/2023,3060.90,3070.00,3098.40,3003.00,,
10/27/2023,3063.40,2937.75,3075.55,2935.05,,
10/26/2023,2923.20,2947.85,2950.00,2879.25,,
10/25/2023,2947.85,2921.65,2970.00,2883.30,,
10/23/2023,2907.15,3036.75,3041.25,2880.05,,
10/20/2023,3026.15,2961.50,3049.65,2960.00,,
10/19/2023,2961.50,2988.80,2988.80,2920.00,,
10/18/2023,2993.80,2991.95,3020.20,2964.50,,
10/17/2023,2991.70,3038.95,3038.95,2980.00,,
10/16/2023,3010.85,2985.00,3030.00,2966.80,,
10/13/2023,2966.70,2916.45,2974.80,2890.60,,
10/12/23,2916.45,2934.25,2956.90,2907.00,,
10/11/23,2924.30,2938.25,2975.15,2920.00,,
10/10/23,2938.20,2940.05,2985.00,2927.05,,
10/09/23,2932.00,2950.00,2995.00,2916.35,,
10/06/23,2974.90,3015.30,3025.00,2965.50,,
10/05/23,3005.90,3030.00,3045.00,2995.00,,
10/04/23,3005.60,3000.00,3036.85,2962.40,,
10/03/23,3012.10,2999.85,3024.80,2935.10,,
09/29/2023,2988.30,3040.00,3100.30,2905.00,,
09/28/2023,3103.80,3108.00,3157.50,3056.35,,
09/27/2023,3099.40,3183.60,3195.95,3086.60,,
09/26/2023,3181.30,3188.25,3228.70,3170.00,,
09/25/2023,3207.45,3200.00,3220.40,3190.00,,
09/22/2023,3200.30,3284.00,3300.00,3165.80,,
09/21/2023,3284.00,3376.70,3385.00,3274.00,,
09/20/2023,3361.50,3309.05,3385.55,3261.10,,
09/18/2023,3346.00,3319.70,3364.00,3267.05,,
09/15/2023,3319.10,3386.00,3450.30,3257.50,,
09/14/2023,3376.60,3289.00,3390.05,3216.70,,
09/13/2023,3264.80,3355.00,3365.60,3134.15,,
09/12/23,3365.60,3672.15,3672.15,3312.90,,
09/11/23,3691.25,3329.00,3736.40,3329.00,,
09/08/23,3313.00,3234.80,3345.00,3230.00,,
09/07/23,3246.85,3173.00,3258.00,3136.05,,
09/06/23,3146.30,3181.45,3189.00,3096.05,,
09/05/23,3170.10,3060.00,3180.00,3049.70,,
09/04/23,3054.45,3015.00,3059.80,2962.00,,
09/01/23,2988.15,2909.95,3012.25,2874.10,,
08/31/2023,2900.50,2852.05,2930.65,2852.00,,
08/30/2023,2837.75,2879.00,2898.45,2832.20,,
08/29/2023,2864.75,2878.55,2908.45,2858.00,,
08/28/2023,2876.90,2906.80,2925.00,2860.25,,
08/25/2023,2882.75,2777.75,2898.00,2773.90,,
08/24/2023,2769.85,2805.30,2805.30,2763.10,,
08/23/2023,2790.65,2812.40,2812.45,2772.00,,
08/22/2023,2812.40,2824.60,2848.50,2805.15,,
08/21/2023,2817.50,2802.50,2870.90,2792.05,,
08/18/2023,2785.80,2776.15,2814.75,2758.55,,
08/17/2023,2776.15,2930.00,2930.00,2758.00,,
08/16/2023,2792.35,2882.75,2910.00,2775.00,,
08/14/2023,2868.50,2849.00,2918.95,2811.00,,
08/11/23,2850.20,2946.00,2956.45,2845.00,,
08/10/23,2946.55,2927.00,2979.90,2915.30,,
08/09/23,2932.85,3031.55,3031.55,2920.00,,
08/08/23,3004.05,3059.55,3074.70,2990.05,,
08/07/23,3062.55,3110.90,3110.90,3045.00,,
08/04/23,3102.45,3059.95,3162.00,3005.10,,
08/03/23,3056.40,3064.05,3081.00,2982.10,,
08/02/23,3047.40,3076.00,3080.00,3028.00,,
08/01/23,3059.75,3109.95,3174.95,3029.95,,
07/31/2023,3079.20,3098.05,3114.20,3057.15,,
07/28/2023,3098.45,3118.55,3122.00,3092.00,,
07/27/2023,3122.80,3115.00,3160.00,3090.00,,
07/26/2023,3115.50,3144.75,3158.85,3090.00,,
07/25/2023,3131.40,3200.00,3208.95,3127.00,,
07/24/2023,3174.25,3220.00,3236.30,3165.70,,
07/21/2023,3219.35,3168.70,3247.85,3164.85,,
07/20/2023,3164.85,3194.20,3248.00,3150.00,,
