Date,Asian_Paints,Axis_Bank,Bajaj_Finance,DRL,ICICI_Bank,Induslnd_Bank,Nestle_India,Reliance_Industries,Sun_Pharma,Titan_Company,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,BSE Index
2019-01-01,1371.85,627.5,2656.2,2610.8,363.65,1594.35,1089.39,1012.61,433.1,927.6,222.9,19576.5,408.62,694.8,1439.0,1165.6,3729.45,9903.75,1062.65,350.15,36254.57
2019-02-01,1456.95,716.4,2627.55,2786.9,354.5,1517.65,1139.25,1126.35,423.25,991.3,212.5,19316.15,458.13,737.15,1730.35,1174.1,3794.8,9898.6,1031.1,342.2,36469.43
2019-03-01,1392.15,703.1,2663.4,2640.5,353.5,1516.3,1027.72,1107.74,448.25,1022.9,217.45,18749.75,450.41,707.55,1796.4,1122.15,3504.8,10950.85,1009.35,366.05,36063.81
2019-04-01,1490.45,765.1,3001.55,2791.2,398.75,1742.55,1073.01,1256.61,479.05,1121.75,234.55,18105.85,475.88,775.65,1835.8,1416.8,3390.2,10791.2,1131.3,389.0,38871.87
2019-05-01,1437.85,752.65,3129.15,2921.2,394.6,1562.6,1044.3,1268.84,451.45,1138.25,221.05,17985.95,473.72,771.0,1953.65,1540.45,3439.15,10260.4,1149.6,374.1,38981.43
2019-06-01,1458.0,812.3,3510.75,2718.9,422.85,1663.85,1151.4,1226.58,416.6,1264.6,237.15,17404.85,490.74,769.95,2310.75,1691.35,3435.95,10969.6,1280.05,386.35,40267.62
2019-07-01,1354.15,810.25,3698.0,2655.1,438.65,1433.2,1167.24,1145.49,405.1,1323.65,212.95,16588.05,453.55,787.05,2244.0,1581.1,3160.6,10771.6,1330.45,387.5,39686.5
2019-08-01,1504.45,669.65,3221.6,2533.3,417.15,1399.7,1136.87,1066.07,425.1,1056.4,196.8,14643.1,398.87,647.75,2217.15,1551.6,3261.95,10749.55,1119.5,357.5,37018.32
2019-09-01,1576.5,645.35,3260.35,2531.9,392.15,1344.15,1268.43,1088.96,439.45,1061.25,193.35,13789.3,529.68,652.6,2036.5,1624.7,3054.05,10157.05,1157.75,331.15,36562.91
2019-10-01,1764.7,679.7,3992.8,2689.95,424.55,1294.6,1367.76,1178.5,386.55,1279.95,199.85,13247.5,580.58,709.55,2064.0,1869.9,3080.15,11989.4,1543.25,380.9,38305.41
2019-11-01,1765.95,748.3,4069.75,2754.55,462.1,1379.45,1496.43,1315.71,437.5,1301.45,202.3,15305.35,603.99,691.85,2569.0,1456.85,3140.5,12242.3,1656.1,398.4,40165.03
2019-12-01,1738.3,744.2,3949.4,2870.55,510.85,1576.2,1455.29,1432.47,440.05,1153.4,204.65,16142.6,661.49,667.45,2633.75,1444.2,2931.25,11400.05,1470.2,470.65,40802.17
2020-01-01,1793.75,748.9,4230.45,2879.05,536.8,1484.6,1477.79,1363.3,434.2,1154.85,196.25,15374.6,759.86,647.15,2530.05,1333.55,2739.65,11447.0,1496.7,481.6,41306.02
2020-02-01,1756.4,705.7,4273.8,3105.0,504.5,1210.9,1542.58,1249.16,422.6,1174.25,204.5,13885.7,930.85,602.8,2847.65,1378.25,2940.55,10991.75,1500.25,511.45,39735.53
2020-03-01,1788.55,682.6,4363.25,2895.75,505.6,1079.95,1611.97,1187.35,368.85,1243.5,205.05,12128.45,765.61,613.05,2593.35,1300.05,2648.4,11137.1,1303.75,528.0,38144.02
2020-04-01,1603.9,358.45,2220.1,3096.2,311.45,342.3,1566.87,975.86,343.55,936.75,155.7,9395.55,715.97,480.45,2035.05,1066.15,2023.65,10269.35,1113.4,273.9,28265.31
2020-05-01,1676.2,402.8,2080.5,3938.1,338.25,423.15,1745.28,1296.21,465.05,891.2,171.65,10612.45,914.28,563.5,2547.6,995.25,2346.85,10556.2,1139.75,373.25,31715.35
2020-06-01,1693.5,396.85,2160.05,3950.8,339.0,410.05,1718.44,1386.07,465.15,958.35,191.55,9721.15,975.16,496.25,2683.8,965.5,2491.8,9893.3,1089.2,367.5,33303.52
2020-07-01,1688.1,433.25,2954.15,3910.6,363.95,492.35,1679.5,1584.3,468.2,948.6,193.6,11418.1,1151.78,579.5,2761.85,988.85,2863.75,10151.65,1096.65,444.4,35414.45
2020-08-01,1704.95,417.35,3173.35,4524.1,343.4,503.2,1651.75,1830.94,519.8,1076.15,220.1,13078.65,1526.74,583.15,3194.45,979.85,2937.9,10351.85,1162.05,508.9,36939.6
2020-09-01,1978.2,485.85,3643.75,4360.85,391.1,627.7,1619.11,1903.05,522.3,1121.1,210.55,12814.0,1618.99,615.55,3263.65,1199.15,3032.55,9986.85,1159.85,647.9,38900.8
2020-10-01,2040.95,443.35,3444.05,5112.65,369.15,592.1,1599.85,2028.4,506.8,1198.75,217.0,13730.05,1752.41,677.85,3634.7,1249.1,3072.55,9946.7,1264.5,604.3,38697.05
2020-11-01,2172.05,522.6,3415.3,4856.45,417.1,627.15,1711.02,1711.38,469.2,1168.8,259.7,11539.28,1859.86,727.9,3548.95,1309.5,3143.6,10086.02,1267.75,654.85,39757.58
2020-12-01,2229.7,603.45,4857.2,4827.65,485.25,895.1,1741.71,1781.58,539.75,1341.6,262.0,13175.04,2306.89,823.4,4206.8,1559.75,3018.0,10543.83,1517.55,809.8,44655.44
2021-01-01,2775.0,623.0,5280.25,5240.7,527.55,900.0,1845.11,1811.53,596.1,1558.6,250.85,12906.78,2724.38,909.9,4754.7,1713.5,3242.85,10892.44,1601.55,798.3,47868.98
2021-02-01,2446.0,710.25,5059.9,4428.6,603.95,971.1,1709.69,1727.84,590.1,1502.0,260.8,16091.87,3036.04,1062.2,4549.6,1640.0,3249.15,11173.1,1686.25,796.0,48600.61
2021-03-01,2363.05,728.95,5266.7,4453.3,608.15,1067.75,1628.82,1915.45,604.3,1452.75,277.9,15135.3,3896.7,1112.15,4909.8,1674.7,3152.75,12874.96,1908.1,1041.4,49849.84
2021-04-01,2553.15,713.55,5270.0,4587.85,593.95,993.35,1710.21,1843.02,610.85,1558.5,311.0,14092.35,3588.05,1058.45,4263.05,1616.6,3209.1,12430.65,1858.25,1198.35,50029.83
2021-05-01,2583.15,703.0,5552.95,5184.35,597.0,913.95,1650.07,1786.09,658.8,1423.6,311.65,13433.05,4250.95,1004.7,4864.95,1666.25,3480.05,13394.63,1885.9,1263.2,48718.52
2021-06-01,2933.15,745.1,5786.1,5318.15,650.25,1009.75,1776.55,1976.62,671.25,1591.5,324.2,15016.33,4107.4,1029.45,4427.8,1745.7,3510.8,12992.6,2059.3,1189.35,51934.88
2021-07-01,3023.3,746.55,5967.25,5559.15,630.65,1007.6,1764.16,1912.35,684.75,1741.95,340.3,15094.89,4411.5,989.0,5317.15,1742.6,3620.3,13290.9,2019.85,1181.45,52318.6
2021-08-01,2970.9,720.95,6198.95,4701.8,681.55,987.95,1770.9,1888.42,774.45,1770.25,418.1,15206.71,4348.6,1185.1,5301.7,1663.15,4285.8,12711.05,1977.95,1101.1,52950.63
2021-09-01,3303.1,798.5,7522.9,4763.95,719.2,998.6,1983.26,2069.15,788.3,1939.25,421.5,13925.97,4142.7,1344.75,6215.0,1916.0,4653.5,13756.25,2285.55,1358.3,57338.21
2021-10-01,3178.8,768.5,7522.05,4953.2,692.2,1103.0,1955.35,2299.88,826.35,2163.6,402.25,15353.26,4844.6,1359.1,6428.65,1976.05,4512.25,14048.3,2148.45,1386.65,58765.58
2021-11-01,3121.75,752.35,7414.6,4800.55,804.45,1228.35,1895.72,2313.1,811.75,2406.35,409.8,17455.99,5306.1,1288.15,6296.15,2179.3,4409.4,14434.05,2235.65,1445.4,60138.46
2021-12-01,3137.55,679.8,7039.5,4607.25,728.25,934.25,1938.85,2248.88,745.35,2359.5,371.4,16226.79,5077.75,1361.0,5948.45,1902.8,4134.6,15124.95,2142.5,1642.35,57684.79
2022-01-01,3421.85,696.3,7222.3,4853.2,764.75,912.4,1967.1,2191.85,848.25,2523.75,387.0,17187.34,5517.1,1406.15,5632.95,2014.0,4020.85,15459.15,2366.8,1888.6,59183.22
2022-02-01,3197.45,781.05,7024.7,4311.1,809.9,922.05,1866.3,2170.07,892.05,2432.1,380.4,16721.36,4437.8,1187.8,5000.25,1950.9,3571.5,14800.35,2418.1,1686.75,58862.57
2022-03-01,3028.8,750.25,6830.2,3854.15,714.7,905.35,1784.01,2186.43,819.75,2592.55,304.15,15424.02,4280.8,1148.85,4568.55,1805.05,3370.05,15599.6,2372.2,1516.25,55468.9
2022-04-01,3113.8,774.45,7413.1,4278.65,736.5,968.75,1754.49,2419.85,908.25,2521.65,304.95,14464.91,4361.0,1173.1,4598.75,1998.6,3587.55,14407.75,2367.2,1614.9,59276.69
2022-05-01,3198.65,727.3,6625.15,4122.05,741.0,1019.0,1841.41,2534.8,923.2,2386.6,378.15,14372.28,3994.85,1289.85,4530.05,1866.85,3503.55,13790.85,2247.1,1845.45,56975.99
2022-06-01,2853.1,686.5,6010.0,4318.65,752.7,927.4,1723.85,2399.57,839.8,2197.5,371.65,14448.51,3892.3,1191.15,4080.3,1825.55,3284.35,14106.05,2419.05,1599.95,55381.17
2022-07-01,2772.95,645.15,5614.8,4384.35,704.0,807.5,1778.92,2196.05,826.7,1946.1,367.55,15590.55,3595.7,1111.25,3726.5,1650.4,3059.15,13394.05,2407.1,1764.9,52907.93
2022-08-01,3323.75,730.95,7260.45,4111.8,823.3,1040.85,1925.79,2347.51,918.55,2376.65,375.4,17649.35,3748.2,1287.9,4341.0,1891.4,3160.75,14672.35,2758.85,2023.0,58115.5
2022-09-01,3446.9,744.25,7180.9,4204.2,874.45,1111.0,1973.62,2333.93,871.65,2623.0,409.8,17663.05,4071.8,1384.95,4257.65,2038.35,3104.05,13997.6,2920.85,2261.15,58766.59
2022-10-01,3301.9,722.95,7171.7,4420.15,848.05,1156.1,1899.2,2164.46,944.55,2575.75,488.65,15618.9,4299.1,1323.15,3804.6,1796.85,2921.75,14001.8,2707.0,2699.45,56788.81
