Date,Asian_Paints,Axis_Bank,Bajaj_Finance,DRL,ICICI_Bank,Induslnd_Bank,Nestle_India,Reliance_Industries,Sun_Pharma,Titan_Company,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,BSE Index
2019-01-01,1371.85,627.5,2656.2,2610.8,363.65,1594.35,1089.39,1012.61,433.1,927.6,222.9,19576.5,408.62,694.8,1439.0,1165.6,3729.45,9903.75,1062.65,350.15,36254.57
2019-01-08,1381.55,618.9,2616.5,2600.6,364.35,1577.4,1087.33,999.02,440.3,931.7,218.95,19477.8,402.11,691.8,1430.45,1161.0,3710.95,9895.0,1056.55,353.0,35891.52
2019-01-15,1402.9,670.05,2525.1,2603.9,382.0,1600.8,1108.13,1000.92,447.4,952.5,212.85,19476.35,419.24,681.75,1628.7,1104.85,3599.1,9982.45,1053.55,335.45,36212.91
2019-01-22,1389.0,663.65,2572.95,2621.85,375.1,1526.9,1088.1,1024.08,453.35,961.75,216.85,19089.4,440.55,683.45,1677.35,1136.55,3682.75,9896.85,1060.55,335.2,36321.29
2019-01-29,1396.05,661.4,2633.05,2645.5,367.65,1493.6,1113.87,1106.84,430.75,962.6,212.4,19090.15,448.68,696.2,1729.05,1109.3,3769.65,9914.85,1045.0,331.05,36108.47
2019-02-05,1388.75,690.9,2596.35,2664.85,365.25,1475.75,1122.11,1078.94,417.6,966.45,204.65,18454.1,444.59,703.35,1705.25,1174.75,3768.95,9919.6,1013.45,340.35,35591.25
2019-02-12,1465.85,723.9,2707.65,2791.85,358.9,1526.4,1142.22,1182.83,415.4,1059.1,214.5,19248.25,442.93,737.5,1738.0,1197.05,3879.7,9977.9,1020.55,339.55,36975.23
2019-02-19,1423.1,697.25,2590.5,2651.7,340.0,1498.3,1041.23,1123.73,431.15,1052.2,205.95,17908.45,433.3,703.45,1654.35,1162.15,3815.45,10129.85,982.75,352.6,36034.11
2019-02-26,1394.4,700.9,2600.85,2523.7,345.2,1480.8,1037.08,1114.65,422.2,1033.25,206.8,18175.65,449.11,695.15,1710.05,1140.0,3484.15,9988.6,966.6,356.75,35756.26
2019-03-05,1402.5,717.85,2641.4,2645.0,345.8,1476.3,1053.75,1103.91,441.9,1017.65,213.95,18817.75,443.07,693.2,1809.8,1112.3,3502.8,10371.2,979.05,351.2,35905.43
2019-03-12,1393.75,719.5,2764.2,2693.35,371.6,1532.95,1019.76,1141.02,459.95,1054.55,220.25,18875.2,469.77,713.7,1733.5,1228.7,3510.5,10668.5,1019.2,379.85,36636.1
2019-03-19,1428.45,738.45,2826.2,2654.3,391.85,1636.25,1053.0,1216.15,456.1,1077.85,229.8,18608.9,500.61,766.6,1899.45,1301.7,3420.0,10395.4,1053.75,383.9,37752.17
2019-03-26,1454.95,755.55,2872.25,2747.25,393.0,1714.4,1037.49,1242.2,474.35,1102.65,227.45,18392.8,501.29,757.3,1906.15,1423.7,3400.65,10295.3,1061.7,370.8,38386.75
2019-04-02,1472.9,760.15,2942.65,2765.15,393.3,1805.85,1068.81,1219.18,464.2,1114.3,232.25,17959.3,471.68,749.3,1870.0,1401.3,3370.3,10701.0,1064.75,372.65,38132.88
2019-04-09,1496.95,761.4,3042.1,2770.3,392.4,1772.8,1083.72,1240.58,462.9,1100.15,226.75,18005.95,475.32,770.55,1851.2,1365.25,3508.35,10836.35,1160.8,385.25,38877.12
2019-04-16,1412.45,761.75,3002.0,2763.65,393.7,1748.95,1064.42,1200.08,471.45,1099.95,223.9,17788.65,480.8,757.5,1914.55,1394.0,3558.2,10757.75,1165.65,376.05,38585.35
2019-04-23,1465.35,771.2,3013.8,2800.9,404.9,1764.0,1078.63,1248.8,462.1,1125.75,233.4,18173.5,466.07,757.7,1905.45,1554.4,3528.55,10695.9,1184.4,372.3,39140.28
2019-04-30,1449.15,752.6,3092.0,2855.35,401.05,1700.15,1066.78,1255.21,469.15,1147.55,224.1,18005.75,462.38,774.05,2013.9,1472.6,3538.7,10556.55,1177.6,379.3,39054.68
2019-05-07,1437.85,752.65,3129.15,2921.2,394.6,1562.6,1044.3,1268.84,451.45,1138.25,221.05,17985.95,473.72,771.0,1953.65,1540.45,3439.15,10260.4,1149.6,374.1,38981.43
2019-05-14,1387.6,735.5,2921.9,2904.25,381.85,1487.6,1014.9,1173.44,438.85,1088.35,213.35,17328.85,457.99,734.15,1952.65,1574.45,3440.35,10424.3,1089.05,371.05,37789.13
2019-05-21,1307.15,721.25,3002.55,2808.4,377.05,1378.1,1012.52,1135.33,408.95,1158.85,209.75,17004.85,451.52,721.15,1904.85,1610.35,3417.25,10615.2,1073.9,370.95,37114.88
2019-05-28,1366.75,779.3,3447.7,2658.95,405.5,1517.55,1052.75,1210.69,420.65,1240.45,220.55,16809.3,462.08,755.55,1923.8,1509.1,3415.0,10759.8,1169.0,379.8,39110.21
2019-06-04,1359.35,804.8,3410.25,2611.05,422.9,1607.85,1100.97,1185.9,422.85,1235.5,233.85,17017.65,488.19,730.95,2049.9,1640.45,3394.9,10900.4,1252.5,395.0,39502.05
2019-06-11,1427.8,808.85,3452.9,2657.35,411.6,1522.05,1142.34,1198.36,404.1,1267.05,221.75,17268.45,486.48,781.25,2304.9,1670.85,3338.9,10735.6,1241.65,394.8,39529.72
2019-06-18,1425.55,812.35,3510.1,2590.35,418.0,1567.75,1153.58,1202.02,391.65,1285.45,220.55,16901.2,455.41,781.9,2212.0,1650.95,3313.55,11099.05,1259.85,395.15,39756.81
2019-06-25,1381.75,771.25,3524.7,2550.6,419.9,1382.9,1143.74,1153.62,375.55,1274.7,206.45,16259.5,431.3,784.0,2012.05,1609.15,3206.35,10684.55,1269.3,380.1,39112.74
