Date,Apollo_Hospitals,Bajaj_Auto,Britannia_Industries,Hero_MotoCorp,Infosys,ITC,LTIMindTree,Maruti_Suzuki,TCS,Wipro,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,NSE Index
2019-01-01,1266.4,2726.65,3103.05,3123.15,665.05,282.7,1713.45,7476.8,1865.61,244.99,222.9,19576.5,408.62,694.8,1439.0,1165.6,3729.45,9903.75,1062.65,350.15,10792.5
2019-02-01,1341.25,2602.75,3251.0,2803.26,757.05,280.85,1768.75,6962.3,1990.27,278.66,212.5,19316.15,458.13,737.15,1730.35,1174.1,3794.8,9898.6,1031.1,342.2,10912.25
2019-03-01,1151.85,2863.5,3077.25,2671.8,741.9,278.2,1711.05,6935.15,1956.4,281.77,217.45,18749.75,450.41,707.55,1796.4,1122.15,3504.8,10950.85,1009.35,366.05,10987.45
2019-04-01,1269.5,2915.65,3049.85,2554.86,755.1,297.25,1715.35,6840.7,1991.94,261.65,234.55,18105.85,475.88,775.65,1835.8,1416.8,3390.2,10791.2,1131.3,389.0,11713.2
2019-05-01,1194.55,3030.55,2783.05,2548.07,730.8,305.0,1721.25,6683.25,2172.1,293.65,221.05,17985.95,473.72,771.0,1953.65,1540.45,3439.15,10260.4,1149.6,374.1,11712.25
2019-06-01,1357.3,3034.6,2970.2,2836.21,744.65,278.55,1788.25,7022.9,2198.47,291.3,237.15,17404.85,490.74,769.95,2310.75,1691.35,3435.95,10969.6,1280.05,386.35,12021.65
2019-07-01,1370.7,2911.95,2737.55,2612.78,731.3,274.95,1841.25,6507.85,2195.77,282.0,212.95,16588.05,453.55,787.05,2244.0,1581.1,3160.6,10771.6,1330.45,387.5,11910.3
2019-08-01,1365.55,2537.65,2600.9,2365.18,768.85,267.55,1507.15,5572.6,2137.44,270.4,196.8,14643.1,398.87,647.75,2217.15,1551.6,3261.95,10749.55,1119.5,357.5,10997.35
2019-09-01,1493.45,2764.2,2707.85,2553.81,814.25,241.55,1609.15,6049.7,2207.59,253.65,193.35,13789.3,529.68,652.6,2036.5,1624.7,3054.05,10157.05,1157.75,331.15,10844.65
2019-10-01,1369.25,2910.0,2919.55,2684.53,793.55,255.9,1505.55,6782.0,2019.68,233.5,199.85,13247.5,580.58,709.55,2064.0,1869.9,3080.15,11989.4,1543.25,380.9,11314.0
2019-11-01,1484.8,3247.35,3266.6,2700.35,685.6,257.65,1721.85,7559.4,2269.65,259.3,202.3,15305.35,603.99,691.85,2569.0,1456.85,3140.5,12242.3,1656.1,398.4,11890.6
2019-12-01,1441.2,3176.0,3057.7,2430.09,696.35,246.4,1689.65,7245.85,2053.25,237.7,204.65,16142.6,661.49,667.45,2633.75,1444.2,2931.25,11400.05,1470.2,470.65,12048.2
2020-01-01,1442.0,3185.0,3027.8,2439.58,731.15,237.7,1750.5,7368.6,2161.7,245.8,196.25,15374.6,759.86,647.15,2530.05,1333.55,2739.65,11447.0,1496.7,481.6,12182.5
2020-02-01,1660.2,3180.05,3200.7,2498.29,775.95,235.15,1940.25,6913.5,2079.05,236.8,204.5,13885.7,930.85,602.8,2847.65,1378.25,2940.55,10991.75,1500.25,511.45,11661.85
2020-03-01,1735.8,2890.0,2970.2,2048.83,731.7,197.55,1910.15,6283.1,2000.15,221.45,205.05,12128.45,765.61,613.05,2593.35,1300.05,2648.4,11137.1,1303.75,528.0,11132.75
2020-04-01,1139.05,2022.35,2688.95,1594.18,641.5,171.7,1428.85,4288.3,1826.1,196.7,155.7,9395.55,715.97,480.45,2035.05,1066.15,2023.65,10269.35,1113.4,273.9,8253.8
2020-05-01,1394.35,2623.3,3165.75,2163.62,715.5,182.05,1592.95,5358.8,2014.45,190.95,171.65,10612.45,914.28,563.5,2547.6,995.25,2346.85,10556.2,1139.75,373.25,9293.5
2020-06-01,1356.95,2710.5,3378.85,2357.49,691.0,197.35,1798.85,5610.8,1972.35,212.8,191.55,9721.15,975.16,496.25,2683.8,965.5,2491.8,9893.3,1089.2,367.5,9826.15
2020-07-01,1349.85,2826.05,3603.8,2543.33,735.95,194.65,1957.9,5838.3,2082.15,219.65,193.6,11418.1,1151.78,579.5,2761.85,988.85,2863.75,10151.65,1096.65,444.4,10430.05
2020-08-01,1674.6,3004.95,3823.6,2672.69,966.0,194.15,2411.59,6262.75,2281.4,280.95,220.1,13078.65,1526.74,583.15,3194.45,979.85,2937.9,10351.85,1162.05,508.9,10891.6
2020-09-01,1634.55,2967.0,3726.05,3001.78,928.6,191.1,2453.05,6839.95,2257.25,271.3,210.55,12814.0,1618.99,615.55,3263.65,1199.15,3032.55,9986.85,1159.85,647.9,11470.25
2020-10-01,2148.05,2881.1,3798.15,3142.82,1008.25,171.7,2538.07,6743.45,2492.3,313.55,217.0,13730.05,1752.41,677.85,3634.7,1249.1,3072.55,9946.7,1264.5,604.3,11416.95
2020-11-01,2119.45,2886.9,3460.4,2785.97,1060.6,165.25,2912.21,6965.15,2664.85,340.7,259.7,11539.28,1859.86,727.9,3548.95,1309.5,3143.6,10086.02,1267.75,654.85,11669.15
2020-12-01,2463.0,3243.65,3615.93,3094.89,1137.85,194.4,3346.22,7101.7,2726.8,352.85,262.0,13175.04,2306.89,823.4,4206.8,1559.75,3018.0,10543.83,1517.55,809.8,13109.05
2021-01-01,2414.85,3481.25,3554.6,3087.33,1260.45,213.85,3691.33,7691.3,2928.25,388.1,250.85,12906.78,2724.38,909.9,4754.7,1713.5,3242.85,10892.44,1601.55,798.3,14018.5
2021-02-01,2663.5,4114.7,3507.73,3324.15,1260.9,215.95,3929.16,7399.8,3139.35,421.5,260.8,16091.87,3036.04,1062.2,4549.6,1640.0,3249.15,11173.1,1686.25,796.0,14281.2
2021-03-01,3081.15,3814.05,3399.18,3338.4,1267.0,206.9,3600.27,7015.0,2924.2,414.4,277.9,15135.3,3896.7,1112.15,4909.8,1674.7,3152.75,12874.96,1908.1,1041.4,14761.55
2021-04-01,2894.05,3743.05,3605.11,2945.69,1385.2,220.05,4103.94,6923.9,3165.0,416.4,311.0,14092.35,3588.05,1058.45,4263.05,1616.6,3209.1,12430.65,1858.25,1198.35,14867.35
2021-05-01,3204.3,3851.85,3426.53,2783.41,1352.05,200.95,3915.15,6597.85,3037.0,487.35,311.65,13433.05,4250.95,1004.7,4864.95,1666.25,3480.05,13394.63,1885.9,1263.2,14634.15
2021-06-01,3239.8,4238.95,3446.75,2966.27,1387.2,215.25,3882.27,7091.15,3153.0,542.8,324.2,15016.33,4107.4,1029.45,4427.8,1745.7,3510.8,12992.6,2059.3,1189.35,15574.85
2021-07-01,3678.45,4204.55,3595.8,2912.21,1560.4,203.0,4008.14,7584.4,3341.5,539.35,340.3,15094.89,4411.5,989.0,5317.15,1742.6,3620.3,13290.9,2019.85,1181.45,15680.0
2021-08-01,4048.15,3841.55,3504.65,2782.2,1631.55,207.3,4702.45,7076.95,3219.4,592.25,418.1,15206.71,4348.6,1185.1,5301.7,1663.15,4285.8,12711.05,1977.95,1101.1,15885.15
2021-09-01,5039.05,3758.3,4015.35,2740.85,1677.75,209.5,5280.6,6784.9,3714.95,642.05,421.5,13925.97,4142.7,1344.75,6215.0,1916.0,4653.5,13756.25,2285.55,1358.3,17076.25
2021-10-01,4459.4,3852.6,3921.1,2847.95,1665.15,235.35,5750.8,7162.3,3730.2,636.25,402.25,15353.26,4844.6,1359.1,6428.65,1976.05,4512.25,14048.3,2148.45,1386.65,17532.05
2021-11-01,4336.6,3726.15,3678.15,2680.7,1700.05,226.85,6802.15,7615.55,3476.4,655.45,409.8,17455.99,5306.1,1288.15,6296.15,2179.3,4409.4,14434.05,2235.65,1445.4,17929.65
2021-12-01,5571.0,3249.55,3535.25,2448.2,1714.9,221.9,6912.2,7273.25,3577.8,634.8,371.4,16226.79,5077.75,1361.0,5948.45,1902.8,4134.6,15124.95,2142.5,1642.35,17166.9
2022-01-01,4990.5,3277.1,3617.55,2476.6,1898.45,219.1,7532.85,7523.9,3817.75,718.7,387.0,17187.34,5517.1,1406.15,5632.95,2014.0,4020.85,15459.15,2366.8,1888.6,17625.7
2022-02-01,4512.05,3534.45,3656.6,2726.75,1772.05,227.75,6295.4,8559.4,3800.65,576.65,380.4,16721.36,4437.8,1187.8,5000.25,1950.9,3571.5,14800.35,2418.1,1686.75,17576.85
2022-03-01,4861.25,3372.3,3391.75,2426.3,1702.8,215.3,5861.3,7814.2,3546.15,555.2,304.15,15424.02,4280.8,1148.85,4568.55,1805.05,3370.05,15599.6,2372.2,1516.25,16605.95
2022-04-01,4506.9,3739.9,3230.65,2240.15,1903.55,253.3,6173.5,7700.05,3758.75,601.8,304.95,14464.91,4361.0,1173.1,4598.75,1998.6,3587.55,14407.75,2367.2,1614.9,17670.45
2022-05-01,4304.75,3623.45,3271.3,2487.3,1541.0,263.15,4716.65,7634.75,3542.4,495.0,378.15,14372.28,3994.85,1289.85,4530.05,1866.85,3503.55,13790.85,2247.1,1845.45,17069.1
2022-06-01,3839.0,3720.1,3551.3,2757.6,1478.55,271.85,4203.3,7939.4,3355.2,470.75,371.65,14448.51,3892.3,1191.15,4080.3,1825.55,3284.35,14106.05,2419.05,1599.95,16522.75
2022-07-01,3736.15,3624.6,3584.35,2763.8,1479.4,284.35,4000.8,8402.6,3315.1,422.0,367.55,15590.55,3595.7,1111.25,3726.5,1650.4,3059.15,13394.05,2407.1,1764.9,15752.05
2022-08-01,4288.1,3973.3,3855.65,2840.8,1551.05,307.5,4769.05,9003.4,3298.8,429.0,375.4,17649.35,3748.2,1287.9,4341.0,1891.4,3160.75,14672.35,2758.85,2023.0,17340.05
2022-09-01,4277.15,4076.3,3718.15,2876.65,1464.2,317.6,4533.85,9024.5,3131.7,410.45,409.8,17663.05,4071.8,1384.95,4257.65,2038.35,3104.05,13997.6,2920.85,2261.15,17542.8
2022-10-01,4365.2,3515.35,3768.95,2525.55,1393.75,324.4,4450.7,8547.0,2984.95,394.5,488.65,15618.9,4299.1,1323.15,3804.6,1796.85,2921.75,14001.8,2707.0,2699.45,16887.35
