Date,Apollo_Hospitals,Bajaj_Auto,Britannia_Industries,Hero_MotoCorp,Infosys,ITC,LTIMindTree,Maruti_Suzuki,TCS,Wipro,Ambuja_Cements,Bosch,Dixon_Tech,Havells_India,InfoEdge_India,InterGlobe_Aviation,Oracle,Procter_and_Gamble,Siemens_Ltd,Tube_Invest_India,NSE Index
2019-01-01,1266.4,2726.65,3103.05,3123.15,665.05,282.7,1713.45,7476.8,1865.61,244.99,222.9,19576.5,408.62,694.8,1439.0,1165.6,3729.45,9903.75,1062.65,350.15,10792.5
2019-01-08,1258.75,2692.0,3116.85,3042.22,669.05,280.6,1733.55,7267.85,1885.71,244.16,218.95,19477.8,402.11,691.8,1430.45,1161.0,3710.95,9895.0,1056.55,353.0,10672.25
2019-01-15,1267.4,2696.9,3092.65,2933.27,676.1,290.4,1755.65,7492.9,1850.07,246.75,212.85,19476.35,419.24,681.75,1628.7,1104.85,3599.1,9982.45,1053.55,335.45,10821.6
2019-01-22,1347.6,2717.45,3175.75,2875.75,732.77,294.05,1768.95,7310.25,1833.59,252.41,216.85,19089.4,440.55,683.45,1677.35,1136.55,3682.75,9896.85,1060.55,335.2,10905.2
2019-01-29,1293.85,2674.1,3203.85,2791.97,727.65,277.3,1756.95,7045.4,1838.94,263.66,212.4,19090.15,448.68,696.2,1729.05,1109.3,3769.65,9914.85,1045.0,331.05,10849.8
2019-02-05,1319.6,2499.7,3208.8,2607.29,725.9,275.5,1731.85,6548.25,1942.67,272.44,204.65,18454.1,444.59,703.35,1705.25,1174.75,3768.95,9919.6,1013.45,340.35,10830.95
2019-02-12,1304.05,2770.15,3181.4,2875.95,763.3,277.7,1849.05,7183.4,2034.24,279.15,214.5,19248.25,442.93,737.5,1738.0,1197.05,3879.7,9977.9,1020.55,339.55,11069.4
2019-02-19,1149.8,2823.95,2923.4,2747.54,754.9,276.85,1789.3,7028.25,2025.03,283.09,205.95,17908.45,433.3,703.45,1654.35,1162.15,3815.45,10129.85,982.75,352.6,10746.05
2019-02-26,1129.6,2774.7,2922.3,2620.02,740.7,275.85,1735.5,6849.9,1877.32,279.15,206.8,18175.65,449.11,695.15,1710.05,1140.0,3484.15,9988.6,966.6,356.75,10789.85
2019-03-05,1149.3,2914.7,3058.6,2674.74,735.25,275.1,1725.85,6968.5,2017.87,280.8,213.95,18817.75,443.07,693.2,1809.8,1112.3,3502.8,10371.2,979.05,351.2,10792.5
2019-03-12,1192.75,2927.6,3026.85,2761.92,732.5,285.75,1649.9,7056.9,1960.51,277.45,220.25,18875.2,469.77,713.7,1733.5,1228.7,3510.5,10668.5,1019.2,379.85,11058.2
2019-03-19,1117.6,3010.0,3126.95,2799.66,708.45,294.9,1632.55,7091.05,1961.4,257.9,229.8,18608.9,500.61,766.6,1899.45,1301.7,3420.0,10395.4,1053.75,383.9,11343.25
2019-03-26,1166.0,2949.65,3088.1,2605.44,738.95,298.9,1660.95,6673.55,1975.66,261.55,227.45,18392.8,501.29,757.3,1906.15,1423.7,3400.65,10295.3,1061.7,370.8,11456.9
2019-04-02,1153.75,2980.1,3096.9,2539.58,729.7,293.1,1671.0,6518.0,1929.43,254.55,232.25,17959.3,471.68,749.3,1870.0,1401.3,3370.3,10701.0,1064.75,372.65,11570.0
2019-04-09,1259.75,2847.3,2990.1,2576.78,753.3,296.15,1703.25,7072.9,2038.66,261.65,226.75,18005.95,475.32,770.55,1851.2,1365.25,3508.35,10836.35,1160.8,385.25,11598.0
2019-04-16,1246.25,2942.9,2958.8,2590.71,752.7,294.7,1648.05,7186.35,2000.37,281.0,223.9,17788.65,480.8,757.5,1914.55,1394.0,3558.2,10757.75,1165.65,376.05,11596.7
2019-04-23,1271.6,3069.5,2997.75,2737.65,717.05,304.4,1650.2,7447.45,2108.02,284.8,233.4,18173.5,466.07,757.7,1905.45,1554.4,3528.55,10695.9,1184.4,372.3,11594.45
2019-04-30,1228.8,3075.8,2978.2,2608.19,736.45,306.45,1698.4,7016.7,2140.77,293.05,224.1,18005.75,462.38,774.05,2013.9,1472.6,3538.7,10556.55,1177.6,379.3,11641.8
2019-05-07,1194.55,3030.55,2783.05,2548.07,730.8,305.0,1721.25,6683.25,2172.1,293.65,221.05,17985.95,473.72,771.0,1953.65,1540.45,3439.15,10260.4,1149.6,374.1,11712.25
2019-05-14,1170.3,2957.75,2649.5,2496.15,719.35,300.65,1696.1,6650.15,2110.77,290.85,213.35,17328.85,457.99,734.15,1952.65,1574.45,3440.35,10424.3,1089.05,371.05,11301.8
2019-05-21,1156.45,2914.45,2687.75,2489.85,716.1,297.05,1758.1,6493.75,2054.44,283.0,209.75,17004.85,451.52,721.15,1904.85,1610.35,3417.25,10615.2,1073.9,370.95,11257.1
2019-05-28,1162.95,3047.2,2852.65,2695.81,709.75,299.75,1781.2,6899.8,2041.06,283.1,220.55,16809.3,462.08,755.55,1923.8,1509.1,3415.0,10759.8,1169.0,379.8,11657.05
2019-06-04,1203.3,2925.5,2917.0,2721.62,727.8,288.1,1825.95,6891.45,2066.35,285.7,233.85,17017.65,488.19,730.95,2049.9,1640.45,3394.9,10900.4,1252.5,395.0,11945.9
2019-06-11,1342.15,2991.65,2901.35,2784.78,735.6,275.75,1780.9,6988.7,2123.76,291.5,221.75,17268.45,486.48,781.25,2304.9,1670.85,3338.9,10735.6,1241.65,394.8,11870.65
2019-06-18,1381.75,2944.5,2996.9,2724.17,753.8,279.95,1789.45,6852.0,2216.71,298.0,220.55,16901.2,455.41,781.9,2212.0,1650.95,3313.55,11099.05,1259.85,395.15,11914.05
2019-06-25,1351.75,2822.9,2875.7,2602.44,751.9,277.2,1734.1,6424.65,2215.73,294.05,206.45,16259.5,431.3,784.0,2012.05,1609.15,3206.35,10684.55,1269.3,380.1,11831.75
2019-07-02,1307.95,2868.7,2732.9,2569.94,739.2,277.4,1792.05,6480.3,2210.14,286.15,219.35,16524.95,445.79,788.15,2215.85,1575.8,3182.25,10818.35,1253.1,397.15,11841.55
2019-07-09,1341.6,2897.75,2794.7,2583.82,731.3,276.7,1735.2,6533.8,2193.91,282.85,214.95,16715.2,467.78,790.45,2273.6,1579.45,3207.15,10929.65,1331.75,387.2,11946.75
2019-07-16,1318.15,2740.4,2769.55,2396.59,717.25,273.15,1590.95,5927.9,2066.99,266.95,208.85,15915.45,452.25,726.55,2225.0,1398.05,3144.45,10921.9,1212.8,384.9,11582.9
2019-07-23,1383.8,2696.9,2797.8,2519.36,794.15,272.9,1618.6,6075.7,2075.86,259.6,219.25,15999.55,440.67,729.85,2242.8,1465.25,3324.85,10903.15,1220.7,416.45,11596.9
2019-07-30,1335.45,2522.6,2641.45,2399.98,786.3,270.85,1537.2,5768.0,2055.81,264.2,215.7,14673.0,440.25,695.8,2145.8,1595.0,3239.35,10554.95,1182.6,376.5,11252.15
2019-08-06,1351.6,2516.5,2605.0,2352.75,793.65,270.2,1513.6,5469.7,2162.59,265.3,201.9,14438.8,425.89,645.3,2244.9,1557.2,3394.6,10902.35,1144.75,346.35,10980.0
2019-08-13,1314.65,2605.1,2540.55,2501.69,776.1,253.65,1600.35,5775.0,2170.18,262.55,204.9,13976.4,374.69,644.55,2153.4,1498.95,3259.85,10437.85,1101.45,350.4,11032.45
2019-08-20,1360.2,2713.9,2478.9,2630.4,774.8,248.75,1626.35,5816.0,2161.31,251.05,214.0,13371.1,470.13,654.55,2179.4,1599.5,2985.55,10295.4,1162.8,351.55,11047.8
2019-08-27,1466.0,2764.8,2384.5,2710.39,799.45,241.45,1598.95,6228.9,2143.47,252.4,201.1,13687.95,442.91,650.65,2139.3,1624.8,2850.2,10287.05,1151.9,340.15,10741.35
2019-09-03,1521.4,2766.75,2703.1,2564.85,802.5,245.95,1639.85,6103.4,2195.48,249.25,205.0,14198.45,538.57,666.2,2004.35,1659.25,3006.45,10054.9,1177.95,340.05,10948.3
2019-09-10,1496.9,2735.7,2635.45,2562.45,821.3,243.25,1647.05,5830.75,2201.51,256.05,190.9,13394.55,521.05,636.0,2118.0,1641.2,3061.75,10101.85,1167.8,330.9,10847.9
2019-09-17,1497.2,2908.4,2666.4,2756.23,820.1,243.75,1638.4,6597.3,2111.9,248.15,197.35,14249.25,520.54,665.1,1963.1,1664.05,3009.55,10171.9,1224.75,341.85,10982.8
2019-09-24,1433.9,2777.05,2613.85,2572.44,829.85,239.25,1585.7,6095.05,2096.75,244.3,195.8,13615.75,509.66,650.0,1983.3,1677.8,2910.2,10466.4,1247.5,343.3,10704.8
2019-10-01,1427.55,2941.0,3036.0,2700.4,792.65,247.55,1494.15,6638.5,2047.63,238.8,210.1,14082.4,564.67,730.4,2057.15,1803.55,2953.95,11578.95,1442.5,399.55,11571.2
2019-10-08,1379.1,2897.9,2902.95,2663.66,785.6,261.65,1505.05,6754.05,2019.98,235.85,196.35,13563.7,584.57,702.0,2122.0,1826.05,3084.05,11729.15,1525.65,385.0,11174.75
2019-10-15,1425.05,2891.85,3058.5,2600.65,783.65,247.1,1500.1,6719.55,1980.61,237.75,192.35,13269.9,600.17,671.45,2392.8,1796.45,3099.85,11363.0,1588.2,374.0,11234.55
2019-10-22,1483.2,3023.7,3176.75,2598.65,771.45,243.65,1528.2,6975.0,2006.4,248.9,202.7,14128.95,603.65,671.65,2258.65,1725.8,3152.95,11582.85,1611.25,364.85,11586.35
2019-10-29,1513.75,3162.65,3294.7,2709.04,650.6,251.05,1645.35,7440.25,2070.1,254.35,196.8,14601.15,597.27,673.15,2349.35,1654.55,3055.3,11905.15,1673.2,366.05,11582.6
2019-11-05,1431.0,3180.75,3352.5,2697.71,650.65,253.25,1697.95,7721.3,2194.85,255.2,199.2,15654.8,602.16,668.2,2406.95,1409.75,3088.75,12241.1,1640.95,372.15,11844.1
2019-11-12,1414.95,3246.3,3231.75,2661.21,696.1,262.9,1667.35,7389.0,2201.85,258.5,201.55,15681.05,590.5,687.05,2492.0,1462.45,3130.4,11881.4,1677.4,446.4,11966.05
2019-11-19,1419.0,3237.35,3119.55,2590.31,704.4,259.45,1629.4,7137.3,2100.95,256.45,200.15,15331.65,597.88,692.65,2563.5,1481.35,3119.0,11207.9,1675.2,441.95,11840.45
2019-11-26,1410.95,3161.05,3120.35,2465.44,712.85,249.3,1693.35,7045.45,2108.8,250.4,201.4,14972.75,646.49,665.75,2638.95,1425.75,3056.4,11039.3,1579.0,448.1,11999.1
2019-12-03,1458.4,3178.15,3055.25,2491.05,690.6,249.15,1679.1,7125.0,2046.65,237.55,200.3,16596.45,644.41,670.7,2590.95,1413.1,2911.5,11292.65,1493.9,458.7,12100.7
2019-12-10,1404.4,3259.75,3048.3,2418.96,698.35,244.05,1617.35,7138.8,2051.0,236.8,202.05,15657.6,657.87,670.0,2553.05,1399.6,2964.4,11300.25,1477.15,489.65,12043.2
2019-12-17,1373.95,3232.5,3059.35,2326.69,714.55,235.6,1649.5,6963.65,2012.85,238.15,195.85,14969.25,690.73,647.4,2499.45,1328.75,2899.2,11229.65,1464.75,482.65,11910.15
2019-12-24,1363.65,3199.1,3071.95,2301.67,729.7,241.05,1649.0,7195.15,2164.95,244.75,198.55,15160.65,709.69,642.4,2606.1,1315.15,2950.85,11320.35,1495.05,478.4,12221.65
2019-12-31,1375.45,3226.75,3091.05,2429.19,733.4,238.75,1770.15,7327.8,2215.6,252.25,196.55,15363.75,749.49,648.1,2563.55,1306.95,2875.65,11442.5,1535.7,488.1,12126.55
2020-01-07,1442.0,3185.0,3027.8,2439.58,731.15,237.7,1750.5,7368.6,2161.7,245.8,196.25,15374.6,759.86,647.15,2530.05,1333.55,2739.65,11447.0,1496.7,481.6,12182.5
2020-01-14,1478.7,3037.95,3036.6,2344.71,727.9,235.35,1833.1,7073.6,2205.85,255.2,199.0,14828.0,847.01,640.4,2539.6,1364.05,2669.4,11099.3,1485.15,484.9,12025.35
2020-01-21,1493.3,3101.6,3105.15,2407.97,775.65,243.25,1877.95,7386.8,2206.9,257.2,209.3,15133.3,829.12,650.75,2545.85,1423.25,2957.15,11206.75,1511.0,505.55,12343.3
2020-01-28,1626.2,3097.05,3111.25,2395.29,762.5,238.45,1908.75,7302.65,2171.05,247.1,207.6,14935.5,831.78,616.95,2567.9,1438.8,2949.6,11250.1,1583.1,523.5,12106.9
2020-02-04,1677.75,3060.9,3181.25,2465.34,778.0,230.75,1948.1,6997.05,2183.75,244.05,216.15,14689.55,884.85,616.2,2765.35,1453.75,2914.8,11112.55,1506.8,512.4,12129.5
2020-02-11,1671.05,3162.8,3232.5,2458.55,787.85,215.65,1940.65,7199.6,2107.75,240.25,206.8,14013.25,952.71,608.05,2961.75,1413.0,2992.75,11601.4,1477.4,522.2,12089.15
2020-02-18,1697.95,3145.45,3134.7,2393.04,773.55,212.6,1996.45,7033.75,2153.4,241.25,212.0,14199.5,923.83,618.85,2999.35,1391.0,2900.1,11444.6,1494.75,519.4,12201.2
2020-02-25,1774.9,3082.5,3066.45,2249.45,797.65,203.85,1962.6,6781.1,2215.75,244.05,200.85,14552.9,900.71,600.5,2787.1,1471.05,2859.65,11256.8,1394.1,486.05,12125.9
2020-03-03,1790.45,2947.4,3033.55,2181.04,798.4,201.8,1997.55,6414.55,2156.15,244.1,211.6,13796.85,829.68,643.6,2649.6,1376.9,2785.0,11177.3,1382.75,552.15,11678.5
2020-03-10,1725.7,2692.25,3026.5,2051.93,747.0,193.85,1961.1,6386.05,2036.2,223.7,211.15,13155.6,806.99,638.55,2788.8,1228.45,2660.55,10852.0,1356.45,527.8,11251.0
2020-03-17,1640.9,2573.35,2996.5,1953.27,704.45,177.2,1870.85,6201.1,1972.35,214.4,193.7,12201.65,856.87,610.2,2530.7,1213.2,2425.05,10471.6,1286.6,505.9,10458.4
2020-03-24,1426.75,2270.45,2686.0,1838.53,554.95,149.15,1490.65,5603.95,1658.0,173.1,171.4,10469.75,766.13,569.85,2101.9,976.7,2015.45,10003.95,1135.95,450.0,8468.8
