Symbol,Date,Expiry,Strike Price,Stock Price,Call Price,Put Price
AMBUJACEM,28-Dec-22,29-Dec-22,520,518.4,3.7,4.1
AMBUJACEM,28-Dec-22,29-Dec-22,505,518.4,16.8,1.25
AMBUJACEM,28-Dec-22,29-Dec-22,360,518.4,153.2,1.45
AMBUJACEM,28-Dec-22,29-Dec-22,670,518.4,0.05,153
AMBUJACEM,28-Dec-22,29-Dec-22,295,518.4,215.9,0.1
AMBUJACEM,28-Dec-22,29-Dec-22,485,518.4,40.95,0.25
AMBUJACEM,28-Dec-22,29-Dec-22,660,518.4,0.05,146.9
AMBUJACEM,28-Dec-22,29-Dec-22,390,518.4,125.9,3.65
AMBUJACEM,28-Dec-22,29-Dec-22,465,518.4,68,0.4
AMBUJACEM,28-Dec-22,29-Dec-22,290,518.4,220.8,0.1
AMBUJACEM,28-Dec-22,29-Dec-22,460,518.4,71.25,0.2
AMBUJACEM,28-Dec-22,29-Dec-22,405,518.4,112.95,5.5
AMBUJACEM,28-Dec-22,29-Dec-22,515,518.4,6.85,2.75
AMBUJACEM,28-Dec-22,29-Dec-22,595,518.4,0.1,78.6
AMBUJACEM,28-Dec-22,29-Dec-22,495,518.4,28.5,0.5
AMBUJACEM,28-Dec-22,29-Dec-22,605,518.4,0.1,43.35
AMBUJACEM,28-Dec-22,29-Dec-22,430,518.4,92.75,0.1
AMBUJACEM,28-Dec-22,29-Dec-22,310,518.4,201.2,0.2
AMBUJACEM,28-Dec-22,29-Dec-22,510,518.4,11.35,1.85
AMBUJACEM,28-Dec-22,29-Dec-22,625,518.4,0.1,119.5
AMBUJACEM,28-Dec-22,29-Dec-22,330,518.4,181.8,0.45
AMBUJACEM,28-Dec-22,29-Dec-22,325,518.4,186.6,0.35
AMBUJACEM,28-Dec-22,29-Dec-22,560,518.4,0.1,41.95
AMBUJACEM,28-Dec-22,29-Dec-22,335,518.4,176.95,0.55
AMBUJACEM,28-Dec-22,29-Dec-22,585,518.4,0.1,61.5
AMBUJACEM,28-Dec-22,29-Dec-22,620,518.4,0.05,61.85
AMBUJACEM,28-Dec-22,29-Dec-22,550,518.4,0.25,32.1
AMBUJACEM,28-Dec-22,29-Dec-22,415,518.4,104.65,7.05
AMBUJACEM,28-Dec-22,29-Dec-22,305,518.4,206.1,0.15
AMBUJACEM,28-Dec-22,29-Dec-22,440,518.4,85.25,0.1
AMBUJACEM,28-Dec-22,29-Dec-22,630,518.4,0.1,46.85
AMBUJACEM,28-Dec-22,29-Dec-22,345,518.4,167.4,0.85
AMBUJACEM,28-Dec-22,29-Dec-22,590,518.4,0.05,69.15
AMBUJACEM,28-Dec-22,29-Dec-22,420,518.4,100.6,0.1
AMBUJACEM,28-Dec-22,29-Dec-22,655,518.4,0.1,145.5
AMBUJACEM,28-Dec-22,29-Dec-22,555,518.4,0.1,35.35
AMBUJACEM,28-Dec-22,29-Dec-22,455,518.4,74.6,0.1
AMBUJACEM,28-Dec-22,29-Dec-22,355,518.4,157.9,1.2
AMBUJACEM,28-Dec-22,29-Dec-22,635,518.4,0.1,128
AMBUJACEM,28-Dec-22,29-Dec-22,435,518.4,88.95,11.05
AMBUJACEM,28-Dec-22,29-Dec-22,315,518.4,196.35,0.25
AMBUJACEM,28-Dec-22,29-Dec-22,645,518.4,0.05,136.7
AMBUJACEM,28-Dec-22,29-Dec-22,650,518.4,0.05,86.25
AMBUJACEM,28-Dec-22,29-Dec-22,300,518.4,211,0.1
AMBUJACEM,28-Dec-22,29-Dec-22,570,518.4,0.15,51.2
AMBUJACEM,28-Dec-22,29-Dec-22,610,518.4,0.1,84
AMBUJACEM,28-Dec-22,29-Dec-22,615,518.4,0.05,33
AMBUJACEM,28-Dec-22,29-Dec-22,535,518.4,0.55,17.15
AMBUJACEM,28-Dec-22,29-Dec-22,480,518.4,39.9,0.2
AMBUJACEM,28-Dec-22,29-Dec-22,540,518.4,0.4,22.05
AMBUJACEM,28-Dec-22,29-Dec-22,340,518.4,172.15,0.7
AMBUJACEM,28-Dec-22,29-Dec-22,285,518.4,225.7,0.05
AMBUJACEM,28-Dec-22,29-Dec-22,410,518.4,108.75,0.25
AMBUJACEM,28-Dec-22,29-Dec-22,395,518.4,121.5,4.2
AMBUJACEM,28-Dec-22,29-Dec-22,530,518.4,1.15,11.8
AMBUJACEM,28-Dec-22,29-Dec-22,375,518.4,139.35,2.35
AMBUJACEM,28-Dec-22,29-Dec-22,575,518.4,0.1,54.65
AMBUJACEM,28-Dec-22,29-Dec-22,385,518.4,130.3,3.15
AMBUJACEM,28-Dec-22,29-Dec-22,470,518.4,64.85,0.2
AMBUJACEM,28-Dec-22,29-Dec-22,640,518.4,0.05,132.35
AMBUJACEM,28-Dec-22,29-Dec-22,500,518.4,20.9,0.85
AMBUJACEM,28-Dec-22,29-Dec-22,320,518.4,191.45,0.5
AMBUJACEM,28-Dec-22,29-Dec-22,400,518.4,117.2,0.1
AMBUJACEM,28-Dec-22,29-Dec-22,475,518.4,61.75,0.1
AMBUJACEM,28-Dec-22,29-Dec-22,380,518.4,134.8,2.75
AMBUJACEM,28-Dec-22,29-Dec-22,450,518.4,59.5,0.15
AMBUJACEM,28-Dec-22,29-Dec-22,490,518.4,29,0.45
AMBUJACEM,28-Dec-22,29-Dec-22,545,518.4,0.3,27.95
AMBUJACEM,28-Dec-22,29-Dec-22,525,518.4,2.15,7.75
AMBUJACEM,28-Dec-22,29-Dec-22,600,518.4,0.1,80.2
AMBUJACEM,28-Dec-22,29-Dec-22,665,518.4,0.05,154.45
AMBUJACEM,28-Dec-22,29-Dec-22,370,518.4,143.9,2
AMBUJACEM,28-Dec-22,29-Dec-22,580,518.4,0.1,61.25
AMBUJACEM,28-Dec-22,29-Dec-22,365,518.4,148.55,1.7
AMBUJACEM,28-Dec-22,29-Dec-22,565,518.4,0.05,46.85
AMBUJACEM,28-Dec-22,29-Dec-22,675,518.4,0.05,163.5
AMBUJACEM,28-Dec-22,29-Dec-22,350,518.4,162.6,1
AMBUJACEM,28-Dec-22,29-Dec-22,425,518.4,96.65,0.2
AMBUJACEM,28-Dec-22,29-Dec-22,445,518.4,81.6,0.4
AMBUJACEM,28-Dec-22,25-Jan-23,310,518.4,222.65,0.1
AMBUJACEM,28-Dec-22,25-Jan-23,490,518.4,48.15,10.2
AMBUJACEM,28-Dec-22,25-Jan-23,635,518.4,13.45,110.75
AMBUJACEM,28-Dec-22,25-Jan-23,420,518.4,119.75,1.4
AMBUJACEM,28-Dec-22,25-Jan-23,600,518.4,3.6,80.5
AMBUJACEM,28-Dec-22,25-Jan-23,405,518.4,132.75,3.7
AMBUJACEM,28-Dec-22,25-Jan-23,325,518.4,208,0.2
AMBUJACEM,28-Dec-22,25-Jan-23,415,518.4,124,4.8
AMBUJACEM,28-Dec-22,25-Jan-23,655,518.4,10.35,127.3
AMBUJACEM,28-Dec-22,25-Jan-23,610,518.4,3.5,50
AMBUJACEM,28-Dec-22,25-Jan-23,525,518.4,21.55,23.65
AMBUJACEM,28-Dec-22,25-Jan-23,630,518.4,2,106.7
