Symbol,Date,Expiry,Strike Price,Stock Price,Call Price,Put Price
APOLLOHOSP,28-Dec-22,29-Dec-22,2800,4588.65,1638.75,4.85
APOLLOHOSP,28-Dec-22,29-Dec-22,4750,4588.65,2.8,159.8
APOLLOHOSP,28-Dec-22,29-Dec-22,3300,4588.65,1174.45,33
APOLLOHOSP,28-Dec-22,29-Dec-22,3900,4588.65,701.2,0.1
APOLLOHOSP,28-Dec-22,29-Dec-22,3450,4588.65,1045.2,51.5
APOLLOHOSP,28-Dec-22,29-Dec-22,4100,4588.65,573.2,0.25
APOLLOHOSP,28-Dec-22,29-Dec-22,4600,4588.65,19.55,25.25
APOLLOHOSP,28-Dec-22,29-Dec-22,4350,4588.65,436.95,2.05
APOLLOHOSP,28-Dec-22,29-Dec-22,4000,4588.65,660.15,0.3
APOLLOHOSP,28-Dec-22,29-Dec-22,4300,4588.65,320,1.4
APOLLOHOSP,28-Dec-22,29-Dec-22,4450,4588.65,208.9,3.55
APOLLOHOSP,28-Dec-22,29-Dec-22,3250,4588.65,1218.8,28.15
APOLLOHOSP,28-Dec-22,29-Dec-22,4050,4588.65,603.6,0.6
APOLLOHOSP,28-Dec-22,29-Dec-22,5550,4588.65,0.05,1165.9
APOLLOHOSP,28-Dec-22,29-Dec-22,5450,4588.65,0.25,1081.6
APOLLOHOSP,28-Dec-22,29-Dec-22,4650,4588.65,9.2,69.15
APOLLOHOSP,28-Dec-22,29-Dec-22,5250,4588.65,0.8,919.2
APOLLOHOSP,28-Dec-22,29-Dec-22,3350,4588.65,1130.7,38.5
APOLLOHOSP,28-Dec-22,29-Dec-22,2950,4588.65,1495.5,9.35
APOLLOHOSP,28-Dec-22,29-Dec-22,3100,4588.65,1355.15,16.75
APOLLOHOSP,28-Dec-22,29-Dec-22,4200,4588.65,515.55,0.75
APOLLOHOSP,28-Dec-22,29-Dec-22,4250,4588.65,588,1
APOLLOHOSP,28-Dec-22,29-Dec-22,3700,4588.65,845.05,0.1
APOLLOHOSP,28-Dec-22,29-Dec-22,5050,4588.65,0.9,276.35
APOLLOHOSP,28-Dec-22,29-Dec-22,2700,4588.65,1735.4,3
APOLLOHOSP,28-Dec-22,29-Dec-22,3400,4588.65,1087.6,44.65
APOLLOHOSP,28-Dec-22,29-Dec-22,4550,4588.65,54.1,13.3
APOLLOHOSP,28-Dec-22,29-Dec-22,4400,4588.65,199.2,2.55
APOLLOHOSP,28-Dec-22,29-Dec-22,3600,4588.65,922.6,76.65
APOLLOHOSP,28-Dec-22,29-Dec-22,4900,4588.65,1.55,315
APOLLOHOSP,28-Dec-22,29-Dec-22,3500,4588.65,1003.55,59.1
APOLLOHOSP,28-Dec-22,29-Dec-22,2750,4588.65,1686.95,3.85
APOLLOHOSP,28-Dec-22,29-Dec-22,3850,4588.65,735.75,2.75
APOLLOHOSP,28-Dec-22,29-Dec-22,4850,4588.65,1.75,195.3
APOLLOHOSP,28-Dec-22,29-Dec-22,3200,4588.65,1263.75,23.85
APOLLOHOSP,28-Dec-22,29-Dec-22,3800,4588.65,792,0.3
APOLLOHOSP,28-Dec-22,29-Dec-22,5000,4588.65,0.95,346
APOLLOHOSP,28-Dec-22,29-Dec-22,4500,4588.65,99.65,7.4
APOLLOHOSP,28-Dec-22,29-Dec-22,5300,4588.65,0.65,958.85
APOLLOHOSP,28-Dec-22,29-Dec-22,3000,4588.65,1448.35,11.45
APOLLOHOSP,28-Dec-22,29-Dec-22,2900,4588.65,1543,7.6
APOLLOHOSP,28-Dec-22,29-Dec-22,3950,4588.65,667.5,0.5
APOLLOHOSP,28-Dec-22,29-Dec-22,5100,4588.65,0.8,440.6
APOLLOHOSP,28-Dec-22,29-Dec-22,3750,4588.65,807.65,109.4
APOLLOHOSP,28-Dec-22,29-Dec-22,4700,4588.65,4.75,111.05
APOLLOHOSP,28-Dec-22,29-Dec-22,3150,4588.65,1309.2,20.05
APOLLOHOSP,28-Dec-22,29-Dec-22,5400,4588.65,0.15,1040.15
APOLLOHOSP,28-Dec-22,29-Dec-22,5200,4588.65,0.8,879.95
APOLLOHOSP,28-Dec-22,29-Dec-22,3650,4588.65,883.35,86.65
APOLLOHOSP,28-Dec-22,29-Dec-22,4800,4588.65,2.05,210.6
APOLLOHOSP,28-Dec-22,29-Dec-22,5350,4588.65,0.6,999.25
APOLLOHOSP,28-Dec-22,29-Dec-22,4150,4588.65,543.85,3.1
APOLLOHOSP,28-Dec-22,29-Dec-22,2850,4588.65,1590.75,6.1
APOLLOHOSP,28-Dec-22,29-Dec-22,5150,4588.65,0.75,841.3
APOLLOHOSP,28-Dec-22,29-Dec-22,3550,4588.65,962.65,67.45
APOLLOHOSP,28-Dec-22,29-Dec-22,3050,4588.65,1401.55,13.9
APOLLOHOSP,28-Dec-22,29-Dec-22,4950,4588.65,1.2,292.8
APOLLOHOSP,28-Dec-22,29-Dec-22,5500,4588.65,0.45,1123.5
APOLLOHOSP,28-Dec-22,25-Jan-23,3700,4588.65,871.95,4.5
APOLLOHOSP,28-Dec-22,25-Jan-23,3950,4588.65,688.35,143.6
APOLLOHOSP,28-Dec-22,25-Jan-23,3500,4588.65,1035,47.4
APOLLOHOSP,28-Dec-22,25-Jan-23,5200,4588.65,21.1,834.65
APOLLOHOSP,28-Dec-22,25-Jan-23,3300,4588.65,1209.8,25.4
APOLLOHOSP,28-Dec-22,25-Jan-23,2850,4588.65,1631.35,4.1
APOLLOHOSP,28-Dec-22,25-Jan-23,3150,4588.65,1346.85,14.85
APOLLOHOSP,28-Dec-22,25-Jan-23,5450,4588.65,103.6,1034.95
APOLLOHOSP,28-Dec-22,25-Jan-23,4200,4588.65,530.05,28.4
APOLLOHOSP,28-Dec-22,25-Jan-23,3250,4588.65,1255,21.4
APOLLOHOSP,28-Dec-22,25-Jan-23,4750,4588.65,101.75,224.65
APOLLOHOSP,28-Dec-22,25-Jan-23,4600,4588.65,168.05,142.35
APOLLOHOSP,28-Dec-22,25-Jan-23,3050,4588.65,1440.45,10
APOLLOHOSP,28-Dec-22,25-Jan-23,4300,4588.65,474.3,274
APOLLOHOSP,28-Dec-22,25-Jan-23,3400,4588.65,1121.1,35.1
APOLLOHOSP,28-Dec-22,25-Jan-23,5550,4588.65,11,1118.85
APOLLOHOSP,28-Dec-22,25-Jan-23,2900,4588.65,1583.25,5.2
APOLLOHOSP,28-Dec-22,25-Jan-23,3850,4588.65,759,115.8
APOLLOHOSP,28-Dec-22,25-Jan-23,3650,4588.65,911.45,71.5
APOLLOHOSP,28-Dec-22,25-Jan-23,2950,4588.65,1535.35,6.55
APOLLOHOSP,28-Dec-22,25-Jan-23,3800,4588.65,795.6,4
APOLLOHOSP,28-Dec-22,25-Jan-23,3600,4588.65,951.85,62.65
APOLLOHOSP,28-Dec-22,25-Jan-23,4100,4588.65,590.1,18.6
APOLLOHOSP,28-Dec-22,25-Jan-23,4050,4588.65,621.75,175.4
APOLLOHOSP,28-Dec-22,25-Jan-23,4800,4588.65,89.25,265
APOLLOHOSP,28-Dec-22,25-Jan-23,4700,4588.65,123.85,202.75
APOLLOHOSP,28-Dec-22,25-Jan-23,5300,4588.65,14.7,913.1
APOLLOHOSP,28-Dec-22,25-Jan-23,5000,4588.65,43.9,403
APOLLOHOSP,28-Dec-22,25-Jan-23,2800,4588.65,1679.65,3.2
APOLLOHOSP,28-Dec-22,25-Jan-23,4500,4588.65,231.65,99
APOLLOHOSP,28-Dec-22,25-Jan-23,5250,4588.65,139.05,873.6
APOLLOHOSP,28-Dec-22,25-Jan-23,3100,4588.65,1393.45,12.25
