Symbol,Date,Expiry,Strike Price,Stock Price,Call Price,Put Price
MARUTI,28-Dec-22,29-Dec-22,7100,8421.05,1714.85,83
MARUTI,28-Dec-22,29-Dec-22,6700,8421.05,2066.05,40.25
MARUTI,28-Dec-22,29-Dec-22,9700,8421.05,0.25,1302
MARUTI,28-Dec-22,29-Dec-22,7300,8421.05,1549.05,114.2
MARUTI,28-Dec-22,29-Dec-22,5800,8421.05,2916.9,4.65
MARUTI,28-Dec-22,29-Dec-22,9500,8421.05,0.2,1100.65
MARUTI,28-Dec-22,29-Dec-22,6600,8421.05,2157.25,32.95
MARUTI,28-Dec-22,29-Dec-22,5500,8421.05,3209.55,1.85
MARUTI,28-Dec-22,29-Dec-22,10300,8421.05,0.2,1686.5
MARUTI,28-Dec-22,29-Dec-22,7400,8421.05,815,0.2
MARUTI,28-Dec-22,29-Dec-22,6400,8421.05,2342.75,21.45
MARUTI,28-Dec-22,29-Dec-22,5900,8421.05,2819.9,6.15
MARUTI,28-Dec-22,29-Dec-22,8300,8421.05,110.2,7.4
MARUTI,28-Dec-22,29-Dec-22,10600,8421.05,0.15,1940.2
MARUTI,28-Dec-22,29-Dec-22,10800,8421.05,0.4,2114.8
MARUTI,28-Dec-22,29-Dec-22,8000,8421.05,400,0.55
MARUTI,28-Dec-22,29-Dec-22,6500,8421.05,2249.5,26.7
MARUTI,28-Dec-22,29-Dec-22,10500,8421.05,0.3,1854.5
MARUTI,28-Dec-22,29-Dec-22,9200,8421.05,0.15,780
MARUTI,28-Dec-22,29-Dec-22,9600,8421.05,0.15,1175
MARUTI,28-Dec-22,29-Dec-22,6800,8421.05,1976.1,48.8
MARUTI,28-Dec-22,29-Dec-22,9300,8421.05,0.25,898.65
MARUTI,28-Dec-22,29-Dec-22,7800,8421.05,460,0.35
MARUTI,28-Dec-22,29-Dec-22,10400,8421.05,0.4,1769.9
MARUTI,28-Dec-22,29-Dec-22,7000,8421.05,1800.4,1.2
MARUTI,28-Dec-22,29-Dec-22,7200,8421.05,1631.05,0.2
MARUTI,28-Dec-22,29-Dec-22,10900,8421.05,0.4,2203.5
MARUTI,28-Dec-22,29-Dec-22,9900,8421.05,0.1,1366.95
MARUTI,28-Dec-22,29-Dec-22,6300,8421.05,2436.85,17.05
MARUTI,28-Dec-22,29-Dec-22,8800,8421.05,1.45,390.5
MARUTI,28-Dec-22,29-Dec-22,9100,8421.05,0.3,696.9
MARUTI,28-Dec-22,29-Dec-22,5600,8421.05,3111.75,2.55
MARUTI,28-Dec-22,29-Dec-22,8400,8421.05,33.55,28.65
MARUTI,28-Dec-22,29-Dec-22,6000,8421.05,2723.35,8.1
MARUTI,28-Dec-22,29-Dec-22,8200,8421.05,212,2.7
MARUTI,28-Dec-22,29-Dec-22,10000,8421.05,0.25,1600
MARUTI,28-Dec-22,29-Dec-22,7700,8421.05,1241.95,0.2
MARUTI,28-Dec-22,29-Dec-22,7900,8421.05,338.8,0.3
MARUTI,28-Dec-22,29-Dec-22,10700,8421.05,0.4,2027
MARUTI,28-Dec-22,29-Dec-22,10200,8421.05,0.3,1604.4
MARUTI,28-Dec-22,29-Dec-22,6900,8421.05,1887.5,58.7
MARUTI,28-Dec-22,29-Dec-22,8700,8421.05,2.45,293.05
MARUTI,28-Dec-22,29-Dec-22,8100,8421.05,308.25,0.9
MARUTI,28-Dec-22,29-Dec-22,9800,8421.05,0.25,1290.8
MARUTI,28-Dec-22,29-Dec-22,8900,8421.05,0.75,493.6
MARUTI,28-Dec-22,29-Dec-22,6100,8421.05,2627.25,10.5
MARUTI,28-Dec-22,29-Dec-22,7600,8421.05,1315.25,0.05
MARUTI,28-Dec-22,29-Dec-22,7500,8421.05,1391.05,0.1
MARUTI,28-Dec-22,29-Dec-22,10100,8421.05,0.35,1523.65
MARUTI,28-Dec-22,29-Dec-22,5700,8421.05,3014.2,3.45
MARUTI,28-Dec-22,29-Dec-22,9000,8421.05,0.6,592.75
MARUTI,28-Dec-22,29-Dec-22,9400,8421.05,0.25,997.1
MARUTI,28-Dec-22,29-Dec-22,8500,8421.05,10.75,106.35
MARUTI,28-Dec-22,29-Dec-22,6200,8421.05,2531.75,13.45
MARUTI,28-Dec-22,29-Dec-22,8600,8421.05,4.3,196.9
MARUTI,28-Dec-22,25-Jan-23,6700,8421.05,2467.75,19.1
MARUTI,28-Dec-22,25-Jan-23,10400,8421.05,237.4,1429.85
MARUTI,28-Dec-22,25-Jan-23,10600,8421.05,198.2,1587.45
MARUTI,28-Dec-22,25-Jan-23,6500,8421.05,2657.5,12.05
MARUTI,28-Dec-22,25-Jan-23,8700,8421.05,109.55,337.85
MARUTI,28-Dec-22,25-Jan-23,6000,8421.05,3140.65,3.15
MARUTI,28-Dec-22,25-Jan-23,7500,8421.05,1748.4,14.3
MARUTI,28-Dec-22,25-Jan-23,7600,8421.05,1664.85,16
MARUTI,28-Dec-22,25-Jan-23,5800,8421.05,3336,1.7
MARUTI,28-Dec-22,25-Jan-23,10300,8421.05,259.1,1353.15
MARUTI,28-Dec-22,25-Jan-23,8000,8421.05,517.05,54.3
MARUTI,28-Dec-22,25-Jan-23,6600,8421.05,2562.3,15.25
MARUTI,28-Dec-22,25-Jan-23,8800,8421.05,82,408.45
MARUTI,28-Dec-22,25-Jan-23,6900,8421.05,2281.1,29.3
MARUTI,28-Dec-22,25-Jan-23,5900,8421.05,3238.25,2.35
MARUTI,28-Dec-22,25-Jan-23,7400,8421.05,1833.7,73.9
MARUTI,28-Dec-22,25-Jan-23,7000,8421.05,2189.2,8.1
MARUTI,28-Dec-22,25-Jan-23,10200,8421.05,8.05,1092
MARUTI,28-Dec-22,25-Jan-23,8100,8421.05,442.3,72.45
MARUTI,28-Dec-22,25-Jan-23,9300,8421.05,20.65,690.75
MARUTI,28-Dec-22,25-Jan-23,9400,8421.05,23.6,747.25
MARUTI,28-Dec-22,25-Jan-23,7800,8421.05,1503.15,29.95
MARUTI,28-Dec-22,25-Jan-23,9700,8421.05,11.95,1225
MARUTI,28-Dec-22,25-Jan-23,9200,8421.05,26.3,765
MARUTI,28-Dec-22,25-Jan-23,10800,8421.05,164.95,1751
MARUTI,28-Dec-22,25-Jan-23,8400,8421.05,238.25,172.7
MARUTI,28-Dec-22,25-Jan-23,8500,8421.05,188.8,220
MARUTI,28-Dec-22,25-Jan-23,7300,8421.05,1920.5,62.3
MARUTI,28-Dec-22,25-Jan-23,5600,8421.05,3532,0.85
MARUTI,28-Dec-22,25-Jan-23,7700,8421.05,1583.05,22.65
MARUTI,28-Dec-22,25-Jan-23,9800,8421.05,9.5,995.95
MARUTI,28-Dec-22,25-Jan-23,6300,8421.05,2849.55,7.25
MARUTI,28-Dec-22,25-Jan-23,7900,8421.05,1425.25,39.15
MARUTI,28-Dec-22,25-Jan-23,10900,8421.05,10,1834.65
MARUTI,28-Dec-22,25-Jan-23,10100,8421.05,307.15,1204.4
MARUTI,28-Dec-22,25-Jan-23,9900,8421.05,12.05,1063.5
MARUTI,28-Dec-22,25-Jan-23,7200,8421.05,2008.8,52.2
MARUTI,28-Dec-22,25-Jan-23,5700,8421.05,3433.95,1.2
MARUTI,28-Dec-22,25-Jan-23,6800,8421.05,2374,23.75
MARUTI,28-Dec-22,25-Jan-23,10500,8421.05,5,1507.75
MARUTI,28-Dec-22,25-Jan-23,6100,8421.05,3043.3,4.2
MARUTI,28-Dec-22,25-Jan-23,9100,8421.05,34.5,700
MARUTI,28-Dec-22,25-Jan-23,8200,8421.05,363.45,99.2
MARUTI,28-Dec-22,25-Jan-23,6400,8421.05,2753.25,9.4
MARUTI,28-Dec-22,25-Jan-23,8300,8421.05,296.9,131.4
MARUTI,28-Dec-22,25-Jan-23,9600,8421.05,15.95,867.2
MARUTI,28-Dec-22,25-Jan-23,6200,8421.05,2946.25,5.55
MARUTI,28-Dec-22,25-Jan-23,7100,8421.05,2098.4,43.4
MARUTI,28-Dec-22,25-Jan-23,10000,8421.05,7.15,1520
MARUTI,28-Dec-22,25-Jan-23,9000,8421.05,46.95,570.05
MARUTI,28-Dec-22,25-Jan-23,10700,8421.05,180.9,1668.55
MARUTI,28-Dec-22,25-Jan-23,8900,8421.05,61.5,486.85
MARUTI,28-Dec-22,25-Jan-23,8600,8421.05,144.4,274.25
MARUTI,28-Dec-22,25-Jan-23,5500,8421.05,3630.15,0.6
MARUTI,28-Dec-22,25-Jan-23,9500,8421.05,14.9,1040
MARUTI,28-Dec-22,23-Feb-23,10300,8421.05,233.35,1397.9
MARUTI,28-Dec-22,23-Feb-23,10200,8421.05,255.1,1321.3
MARUTI,28-Dec-22,23-Feb-23,7200,8421.05,1939.55,54.75
MARUTI,28-Dec-22,23-Feb-23,9500,8421.05,46.3,837.65
MARUTI,28-Dec-22,23-Feb-23,8300,8421.05,429.15,273.4
MARUTI,28-Dec-22,23-Feb-23,9900,8421.05,330.75,1101.8
MARUTI,28-Dec-22,23-Feb-23,10000,8421.05,32.15,1172.95
MARUTI,28-Dec-22,23-Feb-23,9300,8421.05,537.9,718.8
MARUTI,28-Dec-22,23-Feb-23,7000,8421.05,2119.05,37.5
MARUTI,28-Dec-22,23-Feb-23,7100,8421.05,2028.65,45.5
MARUTI,28-Dec-22,23-Feb-23,9200,8421.05,580.45,662.95
MARUTI,28-Dec-22,23-Feb-23,9700,8421.05,27.3,965.5
MARUTI,28-Dec-22,23-Feb-23,10100,8421.05,278.6,1246.4
MARUTI,28-Dec-22,23-Feb-23,9000,8421.05,126.95,558.65
MARUTI,28-Dec-22,23-Feb-23,8100,8421.05,1214.45,215
