Symbol,Date,Expiry,Strike Price,Stock Price,Call Price,Put Price
TCS,28-Dec-22,29-Dec-22,3360,3257.1,0.3,101.5
TCS,28-Dec-22,29-Dec-22,3900,3257.1,0.05,650
TCS,28-Dec-22,29-Dec-22,3780,3257.1,0.25,740.75
TCS,28-Dec-22,29-Dec-22,2500,3257.1,551.5,0.3
TCS,28-Dec-22,29-Dec-22,4200,3257.1,0.55,942
TCS,28-Dec-22,29-Dec-22,3140,3257.1,98.3,0.55
TCS,28-Dec-22,29-Dec-22,3040,3257.1,176.3,0.2
TCS,28-Dec-22,29-Dec-22,3640,3257.1,0.1,243.6
TCS,28-Dec-22,29-Dec-22,3020,3257.1,185.85,0.2
TCS,28-Dec-22,29-Dec-22,2600,3257.1,465.75,29.25
TCS,28-Dec-22,29-Dec-22,2620,3257.1,449.3,32.5
TCS,28-Dec-22,29-Dec-22,3160,3257.1,98,0.9
TCS,28-Dec-22,29-Dec-22,2700,3257.1,386.15,48.2
TCS,28-Dec-22,29-Dec-22,3180,3257.1,84.1,1.8
TCS,28-Dec-22,29-Dec-22,3620,3257.1,0.2,186.2
TCS,28-Dec-22,29-Dec-22,3080,3257.1,158.35,0.2
TCS,28-Dec-22,29-Dec-22,3120,3257.1,147,0.4
TCS,28-Dec-22,29-Dec-22,3500,3257.1,0.15,246.45
TCS,28-Dec-22,29-Dec-22,3980,3257.1,1.45,929.35
TCS,28-Dec-22,29-Dec-22,2400,3257.1,642.1,8.65
TCS,28-Dec-22,29-Dec-22,3340,3257.1,0.65,83.5
TCS,28-Dec-22,29-Dec-22,3740,3257.1,0.05,703.9
TCS,28-Dec-22,29-Dec-22,4100,3257.1,0.05,608.1
TCS,28-Dec-22,29-Dec-22,3860,3257.1,0.35,815.4
TCS,28-Dec-22,29-Dec-22,2680,3257.1,401.5,43.85
TCS,28-Dec-22,29-Dec-22,2440,3257.1,605.4,11.3
TCS,28-Dec-22,29-Dec-22,2840,3257.1,287.5,87.45
TCS,28-Dec-22,29-Dec-22,3420,3257.1,0.2,158.9
TCS,28-Dec-22,29-Dec-22,2520,3257.1,533.95,18.65
TCS,28-Dec-22,29-Dec-22,3280,3257.1,5.1,27.85
TCS,28-Dec-22,29-Dec-22,2980,3257.1,205.9,0.8
TCS,28-Dec-22,29-Dec-22,3580,3257.1,0.35,167.5
TCS,28-Dec-22,29-Dec-22,2760,3257.1,342.05,63.15
TCS,28-Dec-22,29-Dec-22,3680,3257.1,0.15,649.35
TCS,28-Dec-22,29-Dec-22,2580,3257.1,482.45,26.25
TCS,28-Dec-22,29-Dec-22,2660,3257.1,417.15,39.8
TCS,28-Dec-22,29-Dec-22,2360,3257.1,679.35,0.05
TCS,28-Dec-22,29-Dec-22,3820,3257.1,0.2,777.9
TCS,28-Dec-22,29-Dec-22,2380,3257.1,660.65,7.5
TCS,28-Dec-22,29-Dec-22,2560,3257.1,499.4,23.5
TCS,28-Dec-22,29-Dec-22,3600,3257.1,0.15,346.65
TCS,28-Dec-22,29-Dec-22,3400,3257.1,0.25,147.35
TCS,28-Dec-22,29-Dec-22,3720,3257.1,0.4,685.6
TCS,28-Dec-22,29-Dec-22,3540,3257.1,0.25,275.1
TCS,28-Dec-22,29-Dec-22,2940,3257.1,227.45,1.1
TCS,28-Dec-22,29-Dec-22,3940,3257.1,1,891.15
TCS,28-Dec-22,29-Dec-22,4220,3257.1,2.3,1161.45
TCS,28-Dec-22,29-Dec-22,4180,3257.1,1,1122.5
TCS,28-Dec-22,29-Dec-22,4240,3257.1,2.1,1180.9
TCS,28-Dec-22,29-Dec-22,2640,3257.1,433.1,36
TCS,28-Dec-22,29-Dec-22,3240,3257.1,24.4,7.85
TCS,28-Dec-22,29-Dec-22,3800,3257.1,0.1,546
TCS,28-Dec-22,29-Dec-22,4000,3257.1,0.25,740
TCS,28-Dec-22,29-Dec-22,2540,3257.1,516.55,0.5
TCS,28-Dec-22,29-Dec-22,3380,3257.1,0.2,125.3
TCS,28-Dec-22,29-Dec-22,2880,3257.1,262.4,0.85
TCS,28-Dec-22,29-Dec-22,3100,3257.1,157.6,0.35
TCS,28-Dec-22,29-Dec-22,3200,3257.1,59.2,2.75
TCS,28-Dec-22,29-Dec-22,2460,3257.1,587.25,12.9
TCS,28-Dec-22,29-Dec-22,2820,3257.1,300.6,80.8
TCS,28-Dec-22,29-Dec-22,3300,3257.1,2.45,46.85
TCS,28-Dec-22,29-Dec-22,3220,3257.1,40.35,3.95
TCS,28-Dec-22,29-Dec-22,3000,3257.1,263,0.15
TCS,28-Dec-22,29-Dec-22,3320,3257.1,1.2,64
TCS,28-Dec-22,29-Dec-22,4160,3257.1,3.05,1103.05
TCS,28-Dec-22,29-Dec-22,3880,3257.1,10,834.25
TCS,28-Dec-22,29-Dec-22,3060,3257.1,167.15,0.2
TCS,28-Dec-22,29-Dec-22,2960,3257.1,216.5,0.4
TCS,28-Dec-22,29-Dec-22,3560,3257.1,0.1,289.25
TCS,28-Dec-22,29-Dec-22,4140,3257.1,3.3,1083.6
TCS,28-Dec-22,29-Dec-22,4020,3257.1,0.6,967.7
TCS,28-Dec-22,29-Dec-22,2740,3257.1,356.5,57.9
TCS,28-Dec-22,29-Dec-22,3760,3257.1,0.1,722.25
TCS,28-Dec-22,29-Dec-22,2900,3257.1,250.4,0.05
TCS,28-Dec-22,29-Dec-22,3260,3257.1,11.1,14.75
TCS,28-Dec-22,29-Dec-22,3440,3257.1,0.2,183.15
TCS,28-Dec-22,29-Dec-22,4040,3257.1,0.15,986.95
TCS,28-Dec-22,29-Dec-22,4060,3257.1,4.7,1006.2
TCS,28-Dec-22,29-Dec-22,3920,3257.1,0.25,872.15
TCS,28-Dec-22,29-Dec-22,2480,3257.1,569.3,14.65
TCS,28-Dec-22,29-Dec-22,3520,3257.1,0.15,257.25
TCS,28-Dec-22,29-Dec-22,4120,3257.1,3.6,1064.25
TCS,28-Dec-22,29-Dec-22,4080,3257.1,4.3,1025.5
TCS,28-Dec-22,29-Dec-22,3840,3257.1,0.3,796.65
TCS,28-Dec-22,29-Dec-22,2780,3257.1,327.9,68.75
TCS,28-Dec-22,29-Dec-22,2920,3257.1,238.75,0.7
TCS,28-Dec-22,29-Dec-22,3960,3257.1,7.2,910.2
TCS,28-Dec-22,29-Dec-22,3700,3257.1,0.2,440
TCS,28-Dec-22,29-Dec-22,3660,3257.1,0.25,631.4
TCS,28-Dec-22,29-Dec-22,2420,3257.1,623.65,9.9
TCS,28-Dec-22,29-Dec-22,3460,3257.1,0.2,196
TCS,28-Dec-22,29-Dec-22,2860,3257.1,274.8,94.4
TCS,28-Dec-22,29-Dec-22,3480,3257.1,0.15,224
TCS,28-Dec-22,29-Dec-22,2800,3257.1,314,0.1
TCS,28-Dec-22,29-Dec-22,2720,3257.1,371.1,52.85
TCS,28-Dec-22,25-Jan-23,3040,3257.1,270.65,21.9
TCS,28-Dec-22,25-Jan-23,2660,3257.1,558.15,18.4
TCS,28-Dec-22,25-Jan-23,3600,3257.1,6.25,328.3
TCS,28-Dec-22,25-Jan-23,4140,3257.1,7.75,924.4
TCS,28-Dec-22,25-Jan-23,4000,3257.1,1.3,720
TCS,28-Dec-22,25-Jan-23,3020,3257.1,283,18.95
TCS,28-Dec-22,25-Jan-23,3620,3257.1,53.5,458.45
TCS,28-Dec-22,25-Jan-23,2580,3257.1,629.8,11.3
TCS,28-Dec-22,25-Jan-23,3200,3257.1,123.25,50.05
TCS,28-Dec-22,25-Jan-23,3800,3257.1,2.8,528
TCS,28-Dec-22,25-Jan-23,2440,3257.1,760.5,4.25
TCS,28-Dec-22,25-Jan-23,3760,3257.1,33.1,575.85
TCS,28-Dec-22,25-Jan-23,2480,3257.1,722.6,5.7
TCS,28-Dec-22,25-Jan-23,3480,3257.1,14,350.75
TCS,28-Dec-22,25-Jan-23,2860,3257.1,394,51.05
TCS,28-Dec-22,25-Jan-23,2980,3257.1,308.8,15
